Symbol,ASC_Count,RAD_Count,Theory_Count,ASC_vs_RAD_Match,ASC_vs_Theory_Match,RAD_vs_Theory_Match,Status
NR,1453,182,54,,,,OK
SB,4691,186,45,,,,OK
SN,4093,110,0,,,,OK
SP,4249,52,0,,,,OK
TY,3449,6,36,,,,OK
US,3698,10,36,,,,OK
ZA,1365,61,36,,,,OK
ZC,4224,267,45,,,,OK
ZF,3079,135,0,,,,OK
ZG,4450,161,45,,,,OK
ZH,4382,15,0,,,,OK
ZI,4433,175,45,,,,OK
ZK,4190,78,0,,,,OK
ZL,4225,283,72,,,,OK
ZN,4492,27,0,,,,OK
ZO,1632,227,45,,,,OK
ZP,3011,105,36,,,,OK
ZR,1453,211,0,,,,OK
ZT,4356,285,54,,,,OK
ZU,4601,50,0,,,,OK
ZW,3770,277,0,,,,OK
ZZ,3791,376,63,,,,OK
