Symbol,RollDate,PrevClose_c,NewClose_C,Ratio_c_over_C
AD,1988-03-07,72.94,72.24,1.0096899224806202
AD,1988-06-07,80.17,79.05,1.014168247944339
AD,1988-09-07,80.07,79.15,1.0116234996841438
AD,1988-12-07,86.3,85.3,1.0117233294255568
AD,1989-03-07,80.78,79.46,1.0166121318902595
AD,1989-06-07,75.25,73.63,1.0220019013988864
AD,1989-09-07,76.32,74.72,1.0214132762312633
AD,1989-12-07,78.06,76.29,1.023200943767204
AD,1990-03-07,75.85,74.51,1.0179841631995703
AD,1990-06-07,77.68,76.5,1.0154248366013072
AD,1990-09-07,82.05,81.07,1.012088318736894
AD,1990-12-07,77.25,76.45,1.0104643557880968
AD,1991-03-07,76.45,75.65,1.0105750165234633
AD,1991-06-07,75.14,74.42,1.0096748185971514
AD,1991-09-06,78.85,78.11,1.0094738189732428
AD,1991-12-06,77.81,77.27,1.0069884819464217
AD,1992-03-06,75.55,74.98,1.0076020272072552
AD,1992-06-05,76.29,75.87,1.0055357848952156
AD,1992-09-04,72.01,71.61,1.005585812037425
AD,1992-12-07,69.36,69.0,1.0052173913043478
AD,1993-03-05,70.9,70.52,1.0053885422575157
AD,1993-06-07,67.16,66.83,1.0049379021397575
AD,1993-09-07,65.03,64.74,1.0044794562866852
AD,1993-12-07,66.69,66.48,1.0031588447653428
AD,1994-03-07,71.77,71.65,1.0016748080949056
AD,1994-06-07,73.38,73.35,1.0004089979550101
AD,1994-09-07,74.3,74.16,1.0018878101402373
AD,1994-12-07,76.89,76.64,1.0032620041753653
AD,1995-03-07,73.79,73.42,1.005039498774176
AD,1995-06-07,72.02,71.73,1.0040429387982712
AD,1995-09-07,75.27,74.98,1.003867698052814
AD,1995-12-07,73.91,73.61,1.0040755332155957
AD,1996-03-07,76.14,75.73,1.0054139706853293
AD,1996-06-07,79.13,78.74,1.0049530099060198
AD,1996-09-06,80.1,79.89,1.0026286143447238
AD,1996-12-06,79.61,79.45,1.0020138451856513
AD,1997-03-07,78.73,78.65,1.0010171646535282
AD,1997-06-06,76.26,76.33,0.9990829293855628
AD,1997-09-05,73.09,73.25,0.9978156996587031
AD,1997-12-05,67.14,67.28,0.9979191438763377
AD,1998-03-06,66.8,66.92,0.9982068141063957
AD,1998-06-05,60.01,60.05,0.9993338884263114
AD,1998-09-04,58.7,58.74,0.9993190330268982
AD,1998-12-07,61.92,62.01,0.9985486211901307
AD,1999-03-05,62.81,62.85,0.9993635640413684
AD,1999-06-07,65.98,66.02,0.9993941229930325
AD,1999-09-07,64.94,65.04,0.9984624846248461
AD,1999-12-07,63.72,63.83,0.998276672411092
AD,2000-03-07,60.36,60.42,0.9990069513406157
AD,2000-06-07,59.27,59.37,0.998315647633485
AD,2000-09-07,55.69,55.71,0.9996409980254891
AD,2000-12-07,54.7,54.76,0.9989043097151206
AD,2001-03-07,50.95,50.93,1.0003926958570588
AD,2001-06-07,51.91,51.78,1.0025106218617226
AD,2001-09-07,51.92,51.76,1.0030911901081918
AD,2001-12-07,51.47,51.19,1.0054698183238915
AD,2002-03-07,52.52,52.22,1.005744925315971
AD,2002-06-07,57.17,56.73,1.0077560373699983
AD,2002-09-06,54.72,54.31,1.0075492542809794
AD,2002-12-06,56.06,55.6,1.008273381294964
AD,2003-03-07,61.37,60.85,1.0085456039441247
AD,2003-06-06,65.91,65.34,1.0087235996326904
AD,2003-09-05,64.71,64.12,1.0092014971927634
AD,2003-12-05,73.56,72.79,1.01057837615057
AD,2004-03-05,75.84,75.02,1.010930418555052
AD,2004-06-07,70.63,69.93,1.0100100100100098
AD,2004-09-07,69.36,68.75,1.0088727272727274
AD,2004-12-07,77.43,76.88,1.0071540062434965
AD,2005-03-07,79.16,78.63,1.006740429861376
AD,2005-06-07,76.93,76.48,1.0058838912133892
AD,2005-09-07,76.66,76.33,1.004323332896633
AD,2005-12-07,74.76,74.57,1.002547941531447
AD,2006-03-07,73.3,73.17,1.001776684433511
AD,2006-06-07,74.05,73.96,1.0012168739859384
AD,2006-09-07,75.86,75.72,1.0018489170628633
AD,2006-12-07,78.85,78.66,1.002415458937198
AD,2007-03-07,77.9,77.71,1.0024449877750612
AD,2007-06-07,84.19,83.97,1.0026199833273788
AD,2007-09-07,82.66,82.4,1.003155339805825
AD,2007-12-07,87.72,87.27,1.0051564111378481
AD,2008-03-07,92.54,91.34,1.0131377271731992
AD,2008-06-06,96.28,95.12,1.0121951219512195
AD,2008-09-05,81.07,80.22,1.0105958613812016
AD,2008-12-05,64.41,64.04,1.00577763897564
AD,2009-03-06,63.83,63.52,1.0048803526448362
AD,2009-06-05,79.5,78.93,1.0072215887495248
AD,2009-09-04,85.0,84.48,1.006155303030303
AD,2009-12-07,91.15,90.3,1.0094130675526025
AD,2010-03-05,90.71,89.81,1.010021155773299
AD,2010-06-07,81.34,80.49,1.010560318051932
AD,2010-09-07,91.16,90.17,1.0109792613951425
AD,2010-12-07,98.49,97.37,1.0115025161754132
AD,2011-03-07,101.05,99.91,1.0114102692423181
AD,2011-06-07,107.27,105.94,1.012554276005286
AD,2011-09-07,106.32,105.18,1.0108385624643468
AD,2011-12-07,102.66,101.65,1.0099360550909984
AD,2012-03-07,105.6,104.52,1.010332950631458
AD,2012-06-07,99.39,98.6,1.0080121703853957
AD,2012-09-07,103.86,103.01,1.0082516260557226
AD,2012-12-07,104.81,104.08,1.0070138355111453
AD,2013-03-07,102.58,102.0,1.0056862745098039
AD,2013-06-07,94.94,94.34,1.0063599745601017
AD,2013-09-06,91.85,91.3,1.0060240963855422
AD,2013-12-06,90.93,90.38,1.0060854171276832
AD,2014-03-07,90.62,90.07,1.0061063617186634
AD,2014-06-06,93.34,92.75,1.0063611859838275
AD,2014-09-05,93.71,93.12,1.0063359106529208
AD,2014-12-05,83.2,82.66,1.0065327849020083
AD,2015-03-06,77.18,76.76,1.0054715997915582
AD,2015-06-05,76.16,75.78,1.0050145157033517
AD,2015-09-08,70.26,69.93,1.0047190047190047
AD,2015-12-07,72.61,72.28,1.0045655783065854
AD,2016-03-04,74.68,74.37,1.0041683474519296
AD,2016-06-07,74.54,74.27,1.0036353844082404
AD,2016-09-07,76.7,76.53,1.0022213511041422
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2017-03-07,75.86,75.72,1.0018489170628633
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2017-03-07,75.86,75.72,1.0018489170628633
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2017-03-07,75.86,75.72,1.0018489170628633
AD,2017-12-07,75.05,75.02,1.0003998933617702
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2017-03-07,75.86,75.72,1.0018489170628633
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2017-03-07,75.86,75.72,1.0018489170628633
AD,2017-03-07,75.86,75.72,1.0018489170628633
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
AD,2016-12-07,74.73,74.59,1.0018769272020378
