Symbol,RollDate,PrevClose_c,NewClose_C,Ratio_c_over_C
AP,2009-03-11,3229.0,3232.0,0.9990717821782178
AP,2009-06-10,4020.0,3998.0,1.0055027513756878
AP,2009-09-09,4526.0,4538.0,0.997355663287792
AP,2009-12-09,4630.0,4617.0,1.0028156811782543
AP,2010-03-10,4819.0,4841.0,0.9954554844040487
AP,2010-06-09,4402.0,4391.0,1.0025051241175131
AP,2010-09-08,4538.0,4560.0,0.9951754385964913
AP,2010-12-08,4700.0,4697.0,1.0006387055567383
AP,2011-03-09,4774.0,4802.0,0.9941690962099126
AP,2011-06-08,4541.0,4529.0,1.0026495915213072
AP,2011-09-07,4196.0,4207.0,0.9973853101972903
AP,2011-12-07,4308.0,4290.0,1.0041958041958041
AP,2012-03-07,4141.0,4154.0,0.996870486278286
AP,2012-06-06,4062.0,4021.0,1.010196468540164
AP,2012-09-12,4364.0,4369.0,0.9988555733577478
AP,2012-12-12,4596.0,4571.0,1.005469262743382
AP,2013-03-06,5122.0,5131.0,0.9982459559540051
AP,2013-06-12,4730.0,4693.0,1.0078840826763265
AP,2013-09-11,5231.0,5234.0,0.9994268246083301
AP,2013-12-11,5115.0,5082.0,1.0064935064935066
AP,2014-03-12,5373.0,5377.0,0.9992560907569277
AP,2014-06-11,5459.0,5416.0,1.0079394387001477
AP,2014-09-10,5577.0,5576.0,1.0001793400286945
AP,2014-12-10,5251.0,5208.0,1.0082565284178187
AP,2015-03-11,5786.0,5784.0,1.0003457814661134
AP,2015-06-10,5475.0,5421.0,1.0099612617598228
AP,2015-09-09,5215.0,5201.0,1.002691790040377
AP,2015-12-09,5081.0,5031.0,1.0099383820314052
AP,2016-03-09,5155.0,5141.0,1.002723205602023
AP,2016-06-08,5374.0,5325.0,1.0092018779342724
AP,2016-09-07,5414.0,5399.0,1.0027782922763475
AP,2016-12-07,5481.0,5430.0,1.0093922651933702
AP,2017-03-08,5747.0,5732.0,1.0026168876482904
AP,2017-06-07,5664.0,5606.0,1.0103460577952195
AP,2017-09-06,5674.0,5659.0,1.002650644990281
AP,2017-12-06,5951.0,5897.0,1.009157198575547
AP,2018-03-07,5897.0,5884.0,1.0022093813732156
AP,2018-06-06,6024.0,5964.0,1.0100603621730382
AP,2018-09-12,6179.0,6173.0,1.000971974728657
AP,2018-12-12,5655.0,5596.0,1.010543245175125
AP,2019-03-06,6247.0,6234.0,1.002085338466474
AP,2019-06-12,6550.0,6478.0,1.0111145415251621
AP,2019-09-11,6637.0,6619.0,1.002719444024777
AP,2019-12-11,6751.0,6683.0,1.0101750710758641
AP,2020-03-11,5728.0,5698.0,1.0052650052650052
AP,2020-06-10,6129.0,6080.0,1.0080592105263158
AP,2020-09-09,5860.0,5850.0,1.0017094017094017
AP,2020-12-09,6727.0,6657.0,1.010515247108307
AP,2021-03-10,6708.0,6680.0,1.004191616766467
AP,2021-06-09,7275.0,7178.0,1.0135135135135136
AP,2021-09-08,7513.0,7484.0,1.003874933190807
AP,2021-12-08,7417.0,7318.0,1.0135282864170538
AP,2022-03-09,7037.0,7004.0,1.0047115933752142
AP,2020-09-09,5860.0,5850.0,1.0017094017094017
AP,2020-12-09,6727.0,6657.0,1.010515247108307
AP,2021-03-10,6708.0,6680.0,1.004191616766467
AP,2021-06-09,7275.0,7178.0,1.0135135135135136
AP,2021-09-08,7513.0,7484.0,1.003874933190807
AP,2021-12-08,7417.0,7318.0,1.0135282864170538
AP,2022-03-09,7037.0,7004.0,1.0047115933752142
AP,2020-09-09,5860.0,5850.0,1.0017094017094017
AP,2020-12-09,6727.0,6657.0,1.010515247108307
AP,2021-03-10,6708.0,6680.0,1.004191616766467
AP,2021-06-09,7275.0,7178.0,1.0135135135135136
AP,2021-09-08,7513.0,7484.0,1.003874933190807
AP,2021-12-08,7417.0,7318.0,1.0135282864170538
AP,2022-03-09,7037.0,7004.0,1.0047115933752142
AP,2020-09-09,5860.0,5850.0,1.0017094017094017
AP,2020-12-09,6727.0,6657.0,1.010515247108307
AP,2021-03-10,6708.0,6680.0,1.004191616766467
AP,2021-09-08,7513.0,7484.0,1.003874933190807
AP,2021-12-08,7417.0,7318.0,1.0135282864170538
AP,2022-03-09,7037.0,7004.0,1.0047115933752142
AP,2022-03-09,7037.0,7004.0,1.0047115933752142
AP,2021-03-10,6708.0,6680.0,1.004191616766467
AP,2021-09-08,7513.0,7484.0,1.003874933190807
AP,2021-12-08,7417.0,7318.0,1.0135282864170538
AP,2022-03-09,7037.0,7004.0,1.0047115933752142
AP,2022-03-09,7037.0,7004.0,1.0047115933752142
AP,2021-03-10,6708.0,6680.0,1.004191616766467
AP,2021-09-08,7513.0,7484.0,1.003874933190807
AP,2021-12-08,7417.0,7318.0,1.0135282864170538
AP,2022-03-09,7037.0,7004.0,1.0047115933752142
AP,2022-03-09,7037.0,7004.0,1.0047115933752142
AP,2021-09-08,7513.0,7484.0,1.003874933190807
AP,2021-12-08,7417.0,7318.0,1.0135282864170538
AP,2022-03-09,7037.0,7004.0,1.0047115933752142
AP,2022-03-09,7037.0,7004.0,1.0047115933752142
AP,2021-09-08,7513.0,7484.0,1.003874933190807
AP,2021-12-08,7417.0,7318.0,1.0135282864170538
AP,2022-03-09,7037.0,7004.0,1.0047115933752142
AP,2022-03-09,7037.0,7004.0,1.0047115933752142
AP,2021-09-08,7513.0,7484.0,1.003874933190807
AP,2021-09-08,7513.0,7484.0,1.003874933190807
AP,2021-12-08,7417.0,7318.0,1.0135282864170538
AP,2022-03-09,7037.0,7004.0,1.0047115933752142
AP,2022-03-09,7037.0,7004.0,1.0047115933752142
