Symbol,RollDate,PrevClose_c,NewClose_C,Ratio_c_over_C
DT,1990-02-21,82.57,82.19,1.004623433507726
DT,1990-05-21,82.77,82.31,1.0055886283562143
DT,1990-08-21,81.49,81.2,1.0035714285714286
DT,1990-11-21,83.2,83.11,1.0010829021778367
DT,1991-02-21,85.6,85.77,0.9980179549959193
DT,1991-05-21,85.49,85.69,0.9976660053681876
DT,1991-08-21,84.74,84.93,0.9977628635346755
DT,1991-11-21,85.91,86.38,0.9945589256772401
DT,1992-02-21,87.71,88.29,0.9934307396081095
DT,1992-05-21,87.94,88.24,0.9966001813236628
DT,1992-08-21,88.15,88.73,0.9934633156767723
DT,1992-11-20,91.5,92.01,0.9944571242256276
DT,1993-02-19,94.67,95.04,0.9961069023569024
DT,1993-05-21,93.8,94.04,0.9974478945129731
DT,1993-08-20,97.18,97.3,0.9987667009249744
DT,1993-11-19,99.79,99.9,0.9988988988988989
DT,1994-02-21,97.83,97.61,1.0022538674316157
DT,1994-05-20,94.68,94.21,1.0049888546863393
DT,1994-08-19,91.23,90.4,1.0091814159292036
DT,1994-11-21,90.45,89.64,1.0090361445783134
DT,1995-02-21,90.4,89.94,1.005114520791639
DT,1995-05-19,94.4,93.83,1.0060748161568795
DT,1995-08-21,95.09,94.56,1.0056049069373942
DT,1995-11-21,97.72,97.13,1.0060743333676516
DT,1996-02-21,97.3,96.49,1.0083946522955747
DT,1996-05-21,96.7,95.8,1.0093945720250523
DT,1996-08-21,97.83,96.88,1.0098059454995871
DT,1996-11-21,101.14,100.18,1.0095827510481132
DT,1997-02-21,103.23,102.41,1.0080070305634217
DT,1997-05-21,100.73,99.67,1.0106350958161934
DT,1997-08-21,102.02,101.15,1.008601087493821
DT,1997-11-21,103.54,102.85,1.0067087992221684
DT,1998-02-20,107.61,107.04,1.0053251121076232
DT,1998-05-21,107.41,107.0,1.0038317757009345
DT,1998-08-21,112.76,111.74,1.009128333631645
DT,1998-11-20,113.96,114.35,0.9965894184521207
DT,1999-02-19,115.55,114.64,1.0079378925331473
DT,1999-08-20,108.94,107.79,1.0106688932182948
DT,1999-11-19,106.66,106.26,1.0037643515904384
DT,2000-02-18,103.19,102.41,1.0076164437066693
DT,2000-05-19,103.56,103.37,1.0018380574634806
DT,2000-08-21,105.0,104.74,1.0024823372159635
DT,2000-11-21,105.81,105.91,0.9990558020961194
DT,2001-02-21,108.5,108.15,1.0032362459546924
DT,2001-05-21,106.61,106.61,1.0
DT,2001-08-21,108.96,108.52,1.0040545521562845
DT,2001-11-22,109.77,109.57,1.0018253171488547
DT,2002-02-21,107.43,106.7,1.006841611996251
DT,2002-05-21,105.69,105.37,1.0030369175287084
DT,2002-08-21,109.89,109.24,1.0059502013914317
DT,2002-11-21,111.26,110.83,1.0038798159343139
DT,2003-02-21,116.16,115.33,1.0071967397901673
DT,2003-05-21,117.76,117.21,1.0046924323863153
DT,2003-08-21,113.77,112.83,1.0083311176105645
DT,2003-11-25,112.26,111.72,1.0048335123523093
DT,2004-02-25,115.52,114.55,1.0084679179397642
DT,2004-05-25,113.02,112.53,1.0043543943837199
DT,2004-08-25,115.6,114.65,1.0082860880941997
DT,2004-11-25,118.18,117.51,1.0057016424134115
DT,2005-02-25,118.61,117.7,1.007731520815633
DT,2005-05-25,121.95,121.7,1.0020542317173378
DT,2005-08-25,123.58,122.66,1.0075004076308496
DT,2005-11-25,120.5,120.76,0.9978469691950976
DT,2006-02-24,120.36,119.53,1.0069438634652388
DT,2006-05-25,116.82,116.98,0.9986322448281757
DT,2006-08-25,118.01,117.35,1.0056242011077974
DT,2006-11-24,118.32,118.52,0.9983125210934863
DT,2007-02-23,115.45,114.93,1.0045244931697555
DT,2007-05-25,112.23,112.23,1.0
DT,2007-08-24,113.55,113.18,1.0032691288213464
DT,2007-11-23,115.23,115.71,0.9958516982110449
DT,2008-02-25,116.08,115.62,1.0039785504238021
DT,2008-05-26,112.83,112.99,0.9985839454819011
DT,2008-08-25,114.62,114.33,1.0025365170996239
DT,2008-11-25,120.81,121.06,0.9979349083099289
DT,2009-02-25,125.4,124.04,1.0109642050951306
DT,2009-05-25,119.94,119.23,1.0059548771282394
DT,2009-08-25,122.53,121.16,1.0113073621657314
DT,2009-11-25,122.8,122.38,1.0034319333224384
DT,2010-02-23,123.83,122.37,1.0119310288469396
DT,2010-05-21,128.37,127.4,1.007613814756672
DT,2010-08-23,132.83,131.38,1.011036687471457
DT,2010-11-23,128.65,128.62,1.000233245218473
DT,2011-02-23,124.22,122.73,1.0121404709524973
DT,2011-05-23,125.12,124.92,1.0016010246557798
DT,2011-08-23,135.09,133.54,1.0116070091358396
DT,2011-11-23,135.59,135.61,0.9998525182508664
DT,2011-11-24,135.59,135.61,0.9998525182508664
DT,2012-02-23,139.04,137.46,1.011494252873563
DT,2012-05-23,143.9,142.76,1.0079854300924629
DT,2012-08-23,143.52,141.85,1.011772999647515
DT,2012-11-23,142.12,143.8,0.988317107093185
DT,2013-02-22,143.6,141.75,1.0130511463844796
DT,2013-05-23,144.51,144.64,0.9991012168141593
DT,2013-08-23,139.6,137.6,1.0145348837209303
DT,2013-11-22,141.04,141.19,0.9989376018131595
DT,2014-02-21,143.92,142.02,1.0133783974088155
DT,2014-05-23,146.04,144.87,1.0080762062538826
DT,2014-05-26,146.04,144.87,1.0080762062538826
DT,2014-08-22,150.45,148.55,1.012790306294177
DT,2014-11-21,152.02,152.85,0.9945698397121362
DT,2015-02-23,158.89,156.73,1.013781662732087
DT,2015-05-22,153.89,153.53,1.0023448186022275
DT,2015-08-21,155.81,156.1,0.9981422165278668
DT,2015-11-23,157.61,159.39,0.9888324236150324
DT,2016-02-23,165.53,162.87,1.0163320439614416
DT,2016-05-23,163.57,162.57,1.0061511964077012
DT,2016-08-23,167.7,164.99,1.0164252378932055
DT,2016-11-24,161.0,162.81,0.988882746760027
DT,2017-02-23,165.77,162.5,1.020123076923077
DT,2017-05-23,160.72,162.51,0.9889852932127254
DT,2017-08-23,164.84,161.96,1.017782168436651
DT,2017-11-23,163.09,162.79,1.0018428650408502
DT,2018-02-23,159.64,156.98,1.0169448337367817
DT,2018-05-23,159.68,159.52,1.0010030090270812
DT,2018-08-23,163.13,160.64,1.0155004980079683
DT,2018-11-23,161.05,161.85,0.9950571516836578
DT,2019-02-22,166.64,164.1,1.015478366849482
DT,2019-05-23,167.31,169.64,0.9862650318321151
DT,2019-08-23,178.81,176.0,1.015965909090909
DT,2019-11-22,171.24,173.22,0.9885694492552823
DT,2020-02-21,174.91,172.15,1.0160325297705488
DT,2020-05-22,173.1,176.29,0.9819048159282999
DT,2020-08-21,177.18,174.25,1.0168149210903874
DT,2020-11-23,175.42,177.8,0.9866141732283463
DT,2021-02-23,174.35,171.45,1.0169145523476233
DT,2021-05-21,169.15,170.68,0.9910358565737052
DT,2021-08-23,176.94,174.03,1.016721254956042
DT,2021-11-23,170.68,172.08,0.9918642491864249
DT,2022-02-23,165.98,163.1,1.0176578786020847
DT,2022-05-23,153.04,153.5,0.9970032573289902
