Symbol,RollDate,PrevClose_c,NewClose_C,Ratio_c_over_C
ER,2002-12-11,393.7,393.6,1.0002540650406504
ER,2003-03-12,346.0,345.5,1.0014471780028944
ER,2003-06-12,458.0,457.8,1.000436871996505
ER,2003-09-11,506.6,506.3,1.0005925340707091
ER,2003-12-10,528.5,528.5,1.0
ER,2004-03-10,573.0,572.8,1.0003491620111733
ER,2004-06-09,567.4,566.4,1.001765536723164
ER,2004-09-08,559.3,558.8,1.0008947745168217
ER,2004-12-08,632.3,633.7,0.9977907527221082
ER,2005-03-09,630.8,632.9,0.996681940274925
ER,2005-06-08,620.3,622.3,0.9967861160212116
ER,2005-09-07,676.4,679.7,0.9951449168750919
ER,2005-12-07,684.7,689.4,0.9931824775166813
ER,2006-03-08,722.7,727.9,0.992856161560654
ER,2006-06-07,705.8,711.7,0.991709990164395
ER,2006-09-08,709.3,715.0,0.992027972027972
ER,2006-12-06,795.7,802.8,0.9911559541604386
ER,2007-03-07,775.1,781.9,0.9913032357078911
ER,2007-06-06,840.5,848.3,0.990805139691147
ER,2007-09-12,778.3,783.7,0.99310960826847
ER,2007-12-12,772.4,776.3,0.9949761690068273
ER,2008-03-12,667.4,667.1,1.0004497076900014
ER,2008-06-11,718.1,718.0,1.0001392757660168
ER,2008-09-10,716.8,716.1,1.0009775171065494
ER,2009-03-11,364.8,362.3,1.0069003588186585
ER,2009-06-10,525.2,522.7,1.0047828582360818
ER,2009-09-09,584.9,582.5,1.0041201716738197
ER,2009-12-09,596.9,594.5,1.0040370058873003
ER,2010-03-10,674.6,672.1,1.0037196845707483
ER,2010-06-09,618.2,615.7,1.0040604190352445
ER,2010-09-08,634.7,632.4,1.0036369386464263
ER,2010-12-08,765.8,763.5,1.0030124426981009
ER,2011-03-09,818.1,815.6,1.003065228052967
ER,2011-06-08,786.8,783.6,1.0040837161817253
ER,2011-09-07,708.3,704.8,1.0049659477866062
ER,2011-12-07,747.0,743.3,1.0049778016951434
ER,2012-03-07,795.1,791.3,1.004802224188045
ER,2012-06-06,765.6,761.6,1.0052521008403361
ER,2012-09-12,846.5,842.4,1.0048670465337133
ER,2012-12-12,829.2,825.8,1.0041172196657788
ER,2013-03-06,927.9,924.7,1.0034605818103168
ER,2013-06-12,969.5,966.2,1.003415441937487
ER,2013-09-11,1055.8,1052.2,1.0034214027751378
ER,2013-12-11,1101.6,1098.3,1.0030046435400164
ER,2014-03-12,1191.4,1187.5,1.0032842105263158
ER,2014-06-11,1166.0,1161.2,1.0041336548398208
ER,2014-09-10,1164.3,1159.3,1.0043129474683
ER,2014-12-10,1161.7,1157.4,1.003715223777432
ER,2015-03-11,1215.3,1210.4,1.004048248512888
ER,2015-06-10,1266.7,1261.6,1.0040424857324035
ER,2015-09-09,1147.7,1141.8,1.0051672797337539
ER,2015-12-09,1142.4,1137.5,1.0043076923076923
ER,2016-03-09,1073.7,1068.7,1.004678581454103
ER,2016-06-08,1188.7,1183.6,1.0043088881378845
ER,2016-09-07,1260.4,1256.0,1.003503184713376
ER,2016-12-07,1362.1,1360.2,1.001396853403911
ER,2017-03-08,1364.3,1364.4,0.9999267077103487
ER,2017-06-07,1394.8,1394.2,1.000430354325061
ER,2017-09-06,1401.6,1400.9,1.0004996787779283
ER,2017-12-06,1508.2,1511.1,0.9980808682416783
ER,2018-03-07,1573.3,1577.5,0.997337559429477
ER,2018-06-06,1678.2,1682.54,0.9974205665244215
ER,2018-09-12,1716.6,1721.6,0.9970957249070632
ER,2018-12-12,1455.6,1459.7,0.9971912036719873
ER,2019-03-06,1537.0,1542.2,0.9966281934898197
ER,2019-06-12,1521.6,1525.3,0.9975742476889792
ER,2019-09-11,1577.0,1579.0,0.9987333755541482
ER,2019-12-11,1633.9,1636.6,0.9983502382989125
ER,2020-03-11,1262.7,1258.7,1.003177881941686
ER,2020-06-10,1466.2,1463.0,1.0021872863978127
ER,2020-09-09,1524.2,1520.5,1.0024334100624794
ER,2020-12-09,1903.5,1901.2,1.0012097622554177
ER,2021-03-10,2234.6,2332.0,0.9582332761578044
ER,2021-06-09,2322.5,2305.9,1.0071989244980268
ER,2021-09-08,2250.1,2245.7,1.0019592999955471
ER,2021-12-08,2269.8,2267.9,1.0008377794435381
ER,2022-03-09,2014.3,2011.2,1.001541368337311
ER,2022-06-08,1889.5,1889.9,0.9997883485898724
ER,2022-09-07,1830.6,1837.1,0.9964618148168308
ER,2022-12-07,1808.0,1822.2,0.9922072220392931
ER,2023-03-08,1880.3,1897.8,0.9907787965012119
ER,2023-09-06,1876.5,1895.8,0.9898196012237578
ER,2023-12-06,1854.8,1874.4,0.989543320529236
ER,2024-03-06,2069.7,2093.7,0.9885370396905001
ER,2024-06-12,2060.0,2083.2,0.9888632872503841
ER,2024-09-11,2106.0,2126.4,0.9904063205417607
ER,2024-12-11,2399.7,2426.1,0.9891183380734512
ER,2025-03-12,2027.7,2044.6,0.9917343245622616
ER,2025-06-11,2150.4,2167.7,0.9920191908474422
ER,2025-09-10,2379.7,2397.7,0.9924928056053718
ER,2025-12-10,2563.9,2584.1,0.9921829650555319
ER,2026-03-11,2545.0,2562.0,0.9933645589383294
