Symbol,RollDate,PrevClose_c,NewClose_C,Ratio_c_over_C
GS,1990-02-21,85.4375,86.375,0.9891461649782923
GS,1990-05-21,83.75,84.375,0.9925925925925926
GS,1990-08-21,80.0312,80.5313,0.9937899922142074
GS,1990-11-21,85.9063,86.3125,0.9952938450398262
GS,1991-02-21,92.8438,93.4375,0.9936460200668896
GS,1991-05-21,90.9688,91.2188,0.9972593368910795
GS,1991-08-21,93.375,93.5313,0.9983289016617967
GS,1991-11-21,94.5313,94.7188,0.9980204563402408
GS,1992-02-21,97.4375,97.75,0.9968030690537084
GS,1992-05-21,99.625,99.875,0.9974968710888611
GS,1992-08-21,97.25,97.5,0.9974358974358974
GS,1992-11-20,99.9688,99.4375,1.0053430546825897
GS,1993-02-19,103.438,105.063,0.9845330896700075
GS,1993-05-21,104.125,103.25,1.0084745762711864
GS,1993-08-20,112.844,112.313,1.0047278587518809
GS,1993-11-19,115.781,115.094,1.0059690340069858
GS,1994-02-21,114.344,113.563,1.0068772399461092
GS,1994-05-20,106.156,105.094,1.0101052391192649
GS,1994-08-19,100.563,100.188,1.0037429632291293
GS,1994-11-21,102.406,101.656,1.0073778232470292
GS,1995-02-21,101.031,101.188,0.9984484326204689
GS,1995-05-19,106.125,105.719,1.0038403692808293
GS,1995-08-21,106.375,105.875,1.0047225501770956
GS,1995-11-21,108.313,107.719,1.0055143475152946
GS,1996-02-21,107.969,107.219,1.0069950288661524
GS,1996-05-21,106.438,105.469,1.0091875337776979
GS,1996-08-21,107.469,106.688,1.0073204109178164
GS,1996-11-21,110.688,110.031,1.005971044523816
GS,1997-02-21,113.313,112.844,1.004156180213392
GS,1997-05-21,112.938,113.188,0.997791285295261
GS,1997-08-21,114.938,114.594,1.0030019023683614
GS,1997-11-21,118.688,119.156,0.9960723757091544
GS,1998-02-20,123.656,107.844,1.1466191906828382
GS,1998-05-21,108.38,108.6,0.9979742173112339
GS,1998-08-21,111.23,111.43,0.9982051512160101
GS,1998-11-20,115.91,116.04,0.9988796966563254
GS,1999-02-19,117.27,118.27,0.9915447704405175
GS,1999-08-20,110.38,109.49,1.0081285962188329
GS,1999-11-19,109.64,114.84,0.9547196098920236
GS,2000-02-18,110.69,110.43,1.002354432672281
GS,2000-05-19,111.27,111.07,1.0018006662465113
GS,2000-08-21,112.53,112.25,1.0024944320712694
GS,2000-11-21,114.35,114.0,1.0030701754385964
GS,2001-02-21,114.73,116.29,0.9865852609854674
GS,2001-05-21,113.98,113.39,1.005203280712585
GS,2001-08-21,115.68,115.0,1.0059130434782608
GS,2001-11-22,116.24,115.77,1.0040597736892114
GS,2002-02-21,114.16,113.27,1.007857332038492
GS,2002-05-21,111.51,110.74,1.006953223767383
GS,2002-08-21,115.21,117.77,0.9782627154623418
GS,2002-11-21,118.71,117.98,1.0061874894049838
GS,2003-02-21,122.13,121.4,1.0060131795716638
GS,2003-05-21,122.88,123.27,0.9968362131905573
GS,2003-08-21,118.41,117.57,1.0071446797652464
GS,2003-11-25,114.16,105.92,1.0777945619335347
GS,2004-02-25,108.81,108.36,1.0041528239202657
GS,2004-05-25,105.71,105.34,1.003512435921777
GS,2004-08-25,106.97,106.71,1.0024365101677444
GS,2004-11-25,109.24,110.83,0.9856537038707931
GS,2005-02-25,109.67,109.45,1.0020100502512563
GS,2005-05-25,113.23,113.03,1.0017694417411307
GS,2005-08-25,113.73,113.45,1.0024680475980607
GS,2005-11-25,113.32,113.76,0.9961322081575245
GS,2006-02-24,113.86,113.56,1.0026417752729835
GS,2006-05-25,110.45,110.17,1.002541526731415
GS,2006-08-25,110.12,109.92,1.0018195050946144
GS,2006-11-24,109.9,109.81,1.0008195974865677
GS,2007-02-23,106.93,108.5,0.9855299539170508
GS,2007-05-25,105.68,105.67,1.0000946342386676
GS,2007-11-23,110.03,110.01,1.000181801654395
GS,2008-02-25,108.49,108.36,1.0011997046880767
GS,2008-05-23,106.46,106.3,1.001505174035748
GS,2008-08-22,108.97,110.8125,0.9833728144388043
GS,2008-11-25,116.77,116.12,1.0055976575955907
GS,2009-02-25,122.03,120.84,1.0098477325388944
GS,2009-05-22,118.66,117.6,1.009013605442177
GS,2009-08-25,120.07,118.47,1.013505528825863
GS,2009-11-23,118.5,116.92,1.0135135135135136
GS,2010-02-23,114.46,112.97,1.0131893423032663
GS,2010-05-21,119.94,118.57,1.0115543560765792
GS,2010-08-23,125.15,123.81,1.0108230352960181
GS,2010-11-23,121.83,120.54,1.0107018417122946
GS,2011-02-23,117.25,115.95,1.011211729193618
GS,2011-05-23,121.25,119.98,1.0105850975162527
GS,2011-08-23,129.45,128.16,1.010065543071161
GS,2011-11-23,131.11,115.15,1.1386018237082067
GS,2012-02-23,116.02,114.54,1.0129212502182643
GS,2012-05-23,119.41,118.36,1.0088712402838798
GS,2012-08-23,120.95,119.95,1.008336807002918
GS,2012-11-23,119.42,118.66,1.0064048542052926
GS,2013-02-22,116.06,115.04,1.008866481223922
GS,2013-05-23,117.56,116.84,1.0061622731941116
GS,2013-11-22,109.46,108.54,1.0084761378293716
GS,2014-02-21,109.71,108.78,1.0085493656922229
GS,2014-05-23,110.9,109.98,1.0083651573013275
GS,2014-05-26,110.9,109.98,1.0083651573013275
GS,2014-11-21,117.14,116.31,1.007136101796922
GS,2015-02-23,119.23,118.43,1.0067550451743645
GS,2015-05-22,117.45,116.6,1.0072898799313894
GS,2015-08-21,119.15,118.27,1.0074406020123448
GS,2015-11-23,118.06,117.18,1.007509813961427
GS,2016-02-23,121.84,121.02,1.0067757395471824
GS,2016-05-23,120.97,122.63,0.9864633450216097
GS,2016-08-23,132.53,131.45,1.0082160517306962
GS,2016-11-24,123.75,123.11,1.0051986028754771
GS,2017-02-23,127.22,126.1,1.0088818398096748
GS,2017-05-23,128.53,127.44,1.0085530445699937
GS,2017-08-23,128.08,127.08,1.0078690588605603
GS,2017-11-23,125.0,124.1,1.0072522159548751
GS,2018-02-23,121.95,120.94,1.0083512485530015
GS,2018-05-23,122.3,121.34,1.0079116532058678
GS,2018-08-23,123.3,122.39,1.007435247977776
GS,2018-11-23,123.1,122.28,1.0067059208374223
GS,2019-02-22,124.22,127.47,0.9745038048168196
GS,2019-05-23,129.8,128.87,1.007216574842865
GS,2019-11-22,132.0,132.64,0.9951749095295538
GS,2020-02-21,134.49,133.72,1.0057583009273108
GS,2020-05-22,138.51,137.56,1.0069060773480663
GS,2020-08-21,137.16,136.19,1.007122402525883
GS,2020-11-23,134.95,134.04,1.0067890182035213
GS,2021-02-23,129.85,128.87,1.0076045627376424
