Symbol,RollDate,PrevClose_c,NewClose_C,Ratio_c_over_C
HG,1989-02-21,137.0,130.0,1.0538461538461539
HG,1989-04-21,140.85,134.95,1.0437198962578733
HG,1989-06-21,110.85,109.65,1.0109439124487003
HG,1989-08-21,128.95,126.0,1.0234126984126983
HG,1989-11-21,111.8,106.3,1.0517403574788335
HG,1990-02-21,114.2,108.2,1.055452865064695
HG,1990-04-20,112.55,106.5,1.0568075117370892
HG,1990-06-21,110.6,108.6,1.01841620626151
HG,1990-08-21,131.75,124.7,1.0565356856455492
HG,1990-11-21,115.1,110.8,1.0388086642599277
HG,1991-02-21,111.15,107.55,1.0334728033472804
HG,1991-04-19,110.85,109.0,1.0169724770642201
HG,1991-06-21,100.9,99.8,1.0110220440881765
HG,1991-08-21,100.65,99.3,1.0135951661631422
HG,1991-11-21,103.45,102.45,1.009760858955588
HG,1992-02-21,101.1,100.4,1.0069721115537849
HG,1992-04-21,99.5,99.75,0.9974937343358395
HG,1992-06-19,104.75,104.95,0.9980943306336351
HG,1992-08-21,113.3,114.15,0.9925536574682434
HG,1992-11-20,95.4,96.45,0.9891135303265941
HG,1993-02-19,98.75,99.45,0.9929612870789342
HG,1993-04-21,82.8,83.45,0.9922109047333733
HG,1993-06-21,84.4,84.9,0.9941107184923439
HG,1993-08-20,84.95,85.35,0.9953134153485649
HG,1993-11-19,74.3,75.0,0.9906666666666666
HG,1994-02-18,86.0,86.25,0.9971014492753624
HG,1994-04-21,88.7,88.8,0.9988738738738739
HG,1994-06-21,111.75,111.95,0.9982134881643591
HG,1994-08-19,108.4,108.5,0.999078341013825
HG,1994-11-21,136.35,129.3,1.0545243619489557
HG,1995-02-21,133.4,130.7,1.0206579954093344
HG,1995-04-21,131.65,129.9,1.0134719014626636
HG,1995-06-21,140.8,138.0,1.020289855072464
HG,1995-08-21,140.05,136.15,1.0286448769739258
HG,1995-11-21,131.75,125.1,1.0531574740207834
HG,1996-02-21,114.05,112.45,1.0142285460204534
HG,1996-04-19,123.0,120.5,1.020746887966805
HG,1996-06-21,91.2,88.2,1.034013605442177
HG,1996-08-21,91.4,89.9,1.0166852057842046
HG,1996-11-21,105.85,101.45,1.043371118777723
HG,1997-02-21,113.3,109.7,1.03281677301732
HG,1997-04-21,107.2,106.05,1.010843941537011
HG,1997-06-20,118.1,116.1,1.0172265288544358
HG,1997-08-21,99.1,99.1,1.0
HG,1997-11-21,84.0,84.8,0.9905660377358491
HG,1998-02-20,74.15,75.05,0.9880079946702199
HG,1998-04-21,84.15,84.55,0.9952690715552929
HG,1998-06-19,75.65,75.95,0.9960500329163924
HG,1998-08-21,73.05,73.55,0.9932019034670292
HG,1998-11-20,72.2,73.1,0.9876880984952121
HG,1999-02-19,61.9,62.8,0.9856687898089173
HG,1999-04-21,69.1,70.0,0.9871428571428571
HG,1999-06-21,66.0,67.0,0.9850746268656716
HG,1999-08-20,74.05,75.2,0.9847074468085105
HG,1999-11-19,78.55,80.0,0.9818749999999999
HG,2000-02-18,83.2,84.3,0.9869513641755635
HG,2000-04-20,76.6,77.5,0.9883870967741935
HG,2000-06-21,82.45,83.15,0.9915814792543596
HG,2000-08-21,85.4,86.4,0.9884259259259259
HG,2000-11-21,82.8,83.55,0.9910233393177738
HG,2001-02-21,80.05,80.75,0.9913312693498452
HG,2001-04-20,77.5,78.25,0.9904153354632588
HG,2001-06-21,72.15,72.9,0.9897119341563786
HG,2001-08-21,67.15,68.15,0.9853264856933236
HG,2001-11-21,67.7,68.55,0.987600291757841
HG,2002-02-21,71.45,72.05,0.991672449687717
HG,2002-04-19,73.3,73.95,0.991210277214334
HG,2002-06-21,74.3,75.0,0.9906666666666666
HG,2002-08-21,67.6,68.35,0.9890270665691295
HG,2002-11-21,73.95,74.8,0.9886363636363638
HG,2003-02-21,77.75,78.3,0.9929757343550447
HG,2003-04-21,72.9,73.25,0.9952218430034131
HG,2003-06-20,77.4,77.85,0.9942196531791909
HG,2003-08-21,80.25,80.95,0.9913526868437307
HG,2003-11-21,89.45,90.25,0.9911357340720222
HG,2004-02-20,130.85,130.25,1.0046065259117083
HG,2004-04-21,122.75,122.85,0.9991859991859993
HG,2004-06-21,119.5,120.0,0.9958333333333333
HG,2004-08-20,126.85,126.65,1.0015791551519937
HG,2004-11-19,143.2,141.75,1.0102292768959436
HG,2005-02-18,149.2,148.75,1.0030252100840336
