Symbol,RollDate,PrevClose_c,NewClose_C,Ratio_c_over_C
JO,1973-02-23,44.2,44.95,0.9833147942157954
JO,1973-04-24,41.85,41.75,1.0023952095808384
JO,1973-06-22,43.5,43.65,0.9965635738831615
JO,1973-08-24,47.65,48.15,0.9896157840083074
JO,1973-10-24,55.5,56.1,0.9893048128342246
JO,1973-12-21,55.75,57.65,0.9670424978317433
JO,1974-02-22,49.45,51.25,0.9648780487804879
JO,1974-04-24,47.5,48.9,0.9713701431492843
JO,1974-06-24,50.4,52.0,0.9692307692307692
JO,1974-08-23,51.8,53.45,0.9691300280636107
JO,1974-10-24,52.1,54.35,0.9586016559337627
JO,1974-12-24,51.0,53.4,0.9550561797752809
JO,1975-02-24,47.35,48.85,0.9692937563971341
JO,1975-04-24,48.75,50.6,0.9634387351778656
JO,1975-06-24,52.25,54.3,0.9622467771639043
JO,1975-08-22,59.8,61.9,0.9660743134087237
JO,1975-10-24,61.55,62.85,0.9793158313444709
JO,1975-12-24,59.15,61.0,0.9696721311475409
JO,1976-02-24,62.65,64.6,0.9698142414860682
JO,1976-04-23,59.3,60.7,0.9769357495881383
JO,1976-06-24,52.25,52.4,0.9971374045801527
JO,1976-08-24,47.55,48.25,0.9854922279792746
JO,1976-10-22,48.0,48.0,1.0
JO,1976-12-23,42.4,42.8,0.9906542056074766
JO,1977-02-24,72.5,73.0,0.9931506849315068
JO,1977-04-22,79.65,80.35,0.9912881144990667
JO,1977-06-24,95.0,94.95,1.0005265929436544
JO,1977-08-24,112.45,107.95,1.0416859657248727
JO,1977-10-24,127.25,122.2,1.0413256955810146
JO,1977-12-23,108.5,108.4,1.0009225092250922
JO,1978-02-24,126.75,125.35,1.011168727562824
JO,1978-04-24,117.25,115.55,1.0147122457810471
JO,1978-06-23,125.0,119.5,1.0460251046025104
JO,1978-08-24,121.1,111.7,1.0841539838854073
JO,1978-10-24,133.9,130.85,1.023309132594574
JO,1978-12-22,113.7,116.45,0.9763847144697295
