Symbol,RollDate,PrevClose_c,NewClose_C,Ratio_c_over_C
RL,1993-03-10,230.3,231.7,0.9939577039274925
RL,1993-06-09,229.25,230.75,0.9934994582881906
RL,1993-09-08,242.5,243.6,0.9954844006568144
RL,1993-12-08,254.85,256.75,0.992599805258033
RL,1994-03-09,266.3,268.45,0.99199105978767
RL,1994-06-08,249.7,251.5,0.9928429423459244
RL,1994-09-07,257.1,258.95,0.9928557636609385
RL,1994-12-07,240.0,241.75,0.9927611168562565
RL,1995-03-08,254.5,256.4,0.9925897035881436
RL,1995-06-07,275.0,278.25,0.9883198562443846
RL,1995-09-13,314.85,319.3,0.9860632633886627
RL,1995-12-13,313.7,319.7,0.9812324053800437
RL,1996-03-13,321.4,325.9,0.9861920834611844
RL,1996-06-12,359.75,364.75,0.9862919808087731
RL,1996-09-11,335.4,338.3,0.9914277268696422
RL,1996-12-11,358.5,363.1,0.9873313136876892
RL,1997-03-12,362.0,365.5,0.9904240766073872
RL,1997-06-11,389.55,393.5,0.9899618805590852
RL,1997-09-10,435.4,441.0,0.9873015873015872
RL,1997-12-10,433.5,439.5,0.9863481228668942
RL,1998-03-11,467.85,473.6,0.9878589527027027
RL,1998-06-10,449.75,454.65,0.9892224788298691
RL,1998-09-09,350.0,353.3,0.9906594961788847
RL,1998-12-09,403.0,407.7,0.9884719156242335
RL,1999-03-10,400.65,404.0,0.9917079207920791
RL,1999-06-09,447.85,452.1,0.9905994249059943
RL,1999-09-08,434.7,439.3,0.9895287958115183
RL,1999-12-08,467.65,473.65,0.9873324184524438
RL,2000-03-08,595.95,604.2,0.9863455809334657
RL,2000-06-07,518.0,525.0,0.9866666666666667
RL,2000-09-13,535.4,542.85,0.9862761352123054
RL,2000-12-13,468.85,475.5,0.9860147213459517
RL,2001-03-07,484.85,489.3,0.9909053750255468
RL,2001-06-13,505.4,509.0,0.9929273084479371
RL,2001-09-10,439.9,442.1,0.9950237502827414
RL,2001-12-12,475.25,475.95,0.9985292572749238
RL,2002-03-13,495.25,496.45,0.9975828381508712
RL,2002-06-12,461.5,462.1,0.998701579744644
RL,2002-09-11,390.75,391.05,0.9992328346758726
RL,2002-12-11,393.65,393.55,1.0002540973192733
RL,2003-03-12,346.0,345.45,1.001592126212187
RL,2003-06-11,456.0,455.5,1.0010976948408343
RL,2003-09-10,501.9,501.65,1.0004983554270905
RL,2003-12-10,528.5,528.45,1.0000946163307787
RL,2004-03-10,573.0,572.75,1.0004364906154517
RL,2004-06-09,567.4,566.4,1.001765536723164
RL,2004-09-08,559.25,558.8,1.0008052970651398
RL,2004-12-08,632.3,633.65,0.9978694863094768
RL,2005-03-09,630.75,632.85,0.9966816781227779
RL,2005-06-08,620.25,622.25,0.9967858577742065
RL,2005-09-07,676.4,679.7,0.9951449168750919
RL,2005-12-07,684.7,689.35,0.9932545151229419
RL,2006-03-08,722.7,727.9,0.992856161560654
RL,2006-06-07,705.8,711.7,0.991709990164395
RL,2006-09-08,709.25,715.0,0.9919580419580419
RL,2006-12-06,795.7,802.8,0.9911559541604386
RL,2007-03-07,775.1,781.9,0.9913032357078911
RL,2007-06-06,840.5,848.3,0.990805139691147
RL,2007-09-12,778.3,783.7,0.99310960826847
RL,2007-12-12,772.4,776.25,0.9950402576489533
RL,2008-03-12,667.4,667.1,1.0004497076900014
RL,2008-06-11,718.1,718.0,1.0001392757660168
RL,2008-09-10,716.8,716.1,1.0009775171065494
