Symbol,RollDate,PrevClose_c,NewClose_C,Ratio_c_over_C
SP,1982-06-09,108.6,108.0,1.0055555555555555
SP,1982-09-08,122.65,123.25,0.995131845841785
SP,1982-12-08,141.35,142.1,0.9947220267417312
SP,1983-03-09,152.85,153.8,0.9938231469440831
SP,1983-06-08,160.95,161.5,0.996594427244582
SP,1983-09-07,168.65,170.1,0.9914756025867137
SP,1983-12-07,166.75,169.05,0.9863945578231292
SP,1984-03-07,154.95,157.1,0.9863144493952896
SP,1984-06-13,152.1,154.5,0.9844660194174757
SP,1984-09-12,165.3,168.35,0.981882981882982
SP,1984-12-12,163.3,166.65,0.9798979897989799
SP,1985-03-13,178.1,182.85,0.9740224227508887
SP,1985-06-12,187.85,191.5,0.9809399477806788
SP,1985-09-11,184.6,186.3,0.9908749329039184
SP,1985-12-11,207.1,209.95,0.9864253393665159
SP,1986-03-12,232.85,235.65,0.9881179715680033
SP,1986-06-11,240.7,242.4,0.9929867986798679
SP,1986-09-10,247.5,248.65,0.995375025135733
SP,1986-12-10,251.1,252.15,0.9958358120166567
SP,1987-03-11,289.95,291.65,0.994171095491171
SP,1987-06-10,297.25,299.0,0.9941471571906354
SP,1987-09-09,314.1,316.75,0.9916337805840569
SP,1987-12-09,239.65,240.45,0.9966729049698483
SP,1988-03-09,269.65,271.15,0.9944680066383921
SP,1988-06-08,272.45,274.25,0.993436645396536
SP,1988-09-07,266.1,268.5,0.9910614525139666
SP,1988-12-07,278.45,281.45,0.989340913128442
SP,1989-03-08,295.15,298.9,0.9874539979926397
SP,1989-06-07,327.65,332.1,0.986600421559771
SP,1989-09-13,344.75,349.4,0.9866914710933029
SP,1989-12-13,353.4,357.95,0.9872887274759045
SP,1990-03-07,336.95,340.9,0.9884130243473159
SP,1990-06-13,365.15,370.4,0.9858261339092873
SP,1990-09-12,322.15,325.7,0.9891003991403131
SP,1990-12-12,331.55,334.1,0.9923675546243639
SP,1991-03-13,375.8,379.05,0.9914259332541882
SP,1991-06-12,377.1,379.9,0.992629639378784
SP,1991-09-11,384.7,387.4,0.9930304594734125
SP,1991-12-11,377.95,379.4,0.9961781760674749
SP,1992-03-11,404.65,406.0,0.9966748768472906
SP,1992-06-10,407.6,408.5,0.997796817625459
SP,1992-09-09,416.65,416.8,0.9996401151631477
SP,1992-12-09,435.75,436.3,0.9987393994957597
SP,1993-03-10,456.4,457.0,0.9986870897155361
SP,1993-06-09,446.4,447.2,0.998211091234347
SP,1993-09-08,456.65,457.45,0.9982511749918024
SP,1993-12-08,465.9,466.95,0.9977513652425313
SP,1994-03-09,467.2,468.5,0.9972251867662754
SP,1994-06-08,457.25,459.25,0.9956450734893849
SP,1994-09-07,470.65,473.0,0.9950317124735729
SP,1994-12-07,452.1,455.1,0.99340804218853
SP,1995-03-08,483.45,487.35,0.9919975377039089
SP,1995-06-07,533.25,537.75,0.9916317991631799
SP,1995-09-13,579.45,584.2,0.9918692228688806
SP,1995-12-13,621.35,627.55,0.9901203091387142
SP,1996-03-13,637.5,643.75,0.9902912621359223
SP,1996-06-12,669.7,675.6,0.9912670219064535
SP,1996-09-11,667.0,673.0,0.9910846953937593
SP,1996-12-11,739.55,746.55,0.9906235349273323
SP,1997-03-12,803.7,811.4,0.9905102292334238
SP,1997-06-11,870.55,879.4,0.9899363202183307
SP,1997-09-10,915.25,925.05,0.9894059780552403
SP,1997-12-10,970.2,981.2,0.9887892376681614
SP,1998-03-11,1068.6,1080.1,0.989352837700213
SP,1998-06-10,1113.1,1125.2,0.9892463562033416
SP,1998-09-09,1003.0,1013.2,0.9899328859060402
SP,1998-12-09,1184.5,1196.6,0.9898880160454622
SP,1999-03-10,1289.0,1301.4,0.9904717996004302
SP,1999-06-09,1318.8,1332.0,0.9900900900900901
SP,1999-09-08,1345.9,1361.3,0.9886872842136194
SP,1999-12-08,1405.4,1424.1,0.9868688996559232
