Symbol,RollDate,PrevClose_c,NewClose_C,Ratio_c_over_C
SS,1991-12-02,89.29,89.71,0.9953182476869915
SS,1992-03-02,89.7,90.02,0.9964452343923573
SS,1992-06-02,90.01,90.34,0.9963471330529112
SS,1992-09-02,89.46,89.39,1.0007830853563038
SS,1992-12-02,92.74,93.39,0.9930399400364064
SS,1993-03-02,94.02,94.51,0.9948153634536027
SS,1993-06-02,94.05,94.26,0.9977721196690006
SS,1993-09-02,94.09,94.45,0.9961884595023822
SS,1993-12-02,94.64,94.85,0.9977859778597786
SS,1994-03-02,94.83,94.88,0.9994730185497471
SS,1994-06-02,94.71,94.3,1.0043478260869565
SS,1994-09-02,94.29,93.39,1.0096370061034372
SS,1994-12-02,93.56,92.77,1.0085156839495528
SS,1995-03-02,93.16,92.44,1.0077888360017309
SS,1995-06-02,93.36,93.23,1.0013944009439022
SS,1995-09-01,93.27,93.39,0.998715065852875
SS,1995-12-01,93.6,93.85,0.9973361747469366
SS,1996-03-01,93.94,94.09,0.9984057816983738
SS,1996-05-31,93.9,93.78,1.00127959053103
SS,1996-09-02,94.27,94.27,1.0
SS,1996-12-02,93.57,93.31,1.0027864108884363
SS,1997-02-28,93.71,93.44,1.0028895547945205
SS,1997-06-02,93.36,93.16,1.0021468441391155
SS,1997-09-02,92.73,92.57,1.0017284217349034
SS,1997-12-02,92.28,92.22,1.0006506180871828
SS,1998-03-02,92.42,92.49,0.9992431614228566
SS,1998-06-02,92.5,92.64,0.9984887737478411
SS,1998-09-02,92.44,92.73,0.9968726410007548
SS,1998-12-02,93.27,94.01,0.9921284969684075
SS,1999-03-02,94.67,94.87,0.9978918520080109
SS,1999-06-02,94.72,94.77,0.9994724068798143
SS,1999-09-02,94.75,94.24,1.005411714770798
SS,1999-12-02,94.04,93.74,1.0032003413697461
SS,2000-03-02,93.72,93.44,1.0029965753424657
SS,2000-06-02,93.72,93.58,1.0014960461637101
SS,2000-09-01,93.71,93.58,1.0013891857234452
SS,2000-12-01,93.99,94.1,0.9988310308182784
SS,2001-03-02,94.39,94.67,0.9970423576634625
SS,2001-06-01,94.81,94.9,0.9990516332982086
SS,2001-08-31,95.05,95.13,0.9991590455166615
SS,2001-11-30,96.05,96.04,1.0001041232819659
SS,2002-03-01,95.92,95.63,1.0030325211753635
SS,2002-05-31,95.72,95.3,1.0044071353620148
SS,2002-09-02,96.02,96.09,0.9992715162868143
SS,2002-12-02,95.96,95.91,1.0005213220727764
SS,2003-02-28,96.4,96.62,0.997723038708342
SS,2003-06-02,96.43,96.55,0.998757120662869
SS,2003-09-02,96.33,96.15,1.0018720748829952
SS,2003-12-02,95.95,95.58,1.0038711027411593
SS,2004-03-02,95.73,95.51,1.0023034237252644
SS,2004-06-02,95.27,94.87,1.004216295983978
SS,2004-09-02,95.06,94.94,1.0012639561828525
SS,2004-12-02,95.14,95.12,1.0002102607232968
SS,2005-03-02,94.98,94.86,1.0012650221378874
SS,2005-06-02,95.16,95.32,0.9983214435585397
SS,2005-09-02,95.44,95.6,0.9983263598326361
SS,2005-09-05,95.44,95.6,0.9983263598326361
SS,2005-12-02,95.39,95.42,0.9996856005030392
SS,2006-03-02,95.42,95.42,1.0
SS,2006-06-02,95.28,95.18,1.0010506408909434
SS,2006-09-01,94.99,94.84,1.0015816111345424
SS,2006-12-01,94.73,94.68,1.0005280946345585
SS,2007-03-02,94.44,94.34,1.0010599957600168
SS,2007-06-01,94.12,93.92,1.002129471890971
SS,2007-08-31,93.43,93.69,0.9972248905966486
SS,2007-09-03,93.43,93.69,0.9972248905966486
SS,2007-11-30,93.57,94.19,0.9934175602505574
SS,2008-02-29,94.24,94.67,0.995457906411746
SS,2008-06-02,94.135,94.13,1.0000531180282588
SS,2008-09-02,94.26,94.345,0.9990990513540728
SS,2008-12-02,96.9,97.73,0.9915072137521743
SS,2009-03-02,98.15,98.27,0.998778874529358
SS,2009-06-02,98.79,98.91,0.9987867758568396
SS,2009-09-02,99.37,99.25,1.0012090680100756
SS,2009-12-02,99.37,99.26,1.0011082006850696
SS,2010-03-02,99.34,99.25,1.0009068010075568
SS,2010-06-02,99.24,99.05,1.0019182231196366
SS,2010-09-02,99.26,99.2,1.0006048387096775
