Symbol,RollDate,PrevClose_c,NewClose_C,Ratio_c_over_C
XU,2001-06-13,4350.0,4386.0,0.9917920656634747
XU,2001-09-12,3264.0,3295.0,0.9905918057663126
XU,2001-12-12,3685.0,3709.0,0.9935292531679698
XU,2002-03-13,3685.0,3665.0,1.005457025920873
XU,2002-06-12,3178.0,3188.0,0.9968632371392723
XU,2002-09-11,2706.0,2726.0,0.9926632428466617
XU,2002-12-11,2510.0,2524.0,0.9944532488114105
XU,2003-03-12,1840.0,1801.0,1.0216546363131593
XU,2003-06-11,2444.0,2438.0,1.0024610336341264
XU,2003-09-10,2575.0,2585.0,0.9961315280464217
XU,2003-12-10,2670.0,2679.0,0.9966405375139977
XU,2004-03-10,2907.0,2866.0,1.0143056524773204
XU,2004-06-09,2778.0,2777.0,1.000360100828232
XU,2004-09-08,2744.0,2754.0,0.9963689179375453
XU,2004-12-08,2922.0,2929.0,0.99761010583817
XU,2005-03-09,3076.0,3032.0,1.0145118733509235
XU,2005-06-08,3124.0,3125.0,0.99968
XU,2005-09-07,3353.0,3362.0,0.9973230220107079
XU,2005-12-07,3502.0,3517.0,0.9957350014216662
XU,2006-03-08,3730.0,3675.0,1.014965986394558
XU,2006-06-07,3563.0,3571.0,0.9977597311677401
XU,2006-09-08,3755.0,3770.0,0.9960212201591512
XU,2006-12-06,4000.0,4023.0,0.9942828734775043
XU,2007-03-07,4012.0,3945.0,1.0169835234474018
XU,2007-06-06,4419.0,4452.0,0.9925876010781671
XU,2007-09-12,4205.0,4229.0,0.9943248995034287
XU,2007-12-12,4459.0,4505.0,0.9897891231964484
XU,2008-03-12,3616.0,3535.0,1.0229137199434228
XU,2008-06-11,3500.0,3527.0,0.9923447689254323
XU,2008-09-10,3250.0,3263.0,0.9960159362549801
XU,2008-12-10,2511.0,2524.0,0.9948494453248812
XU,2009-03-11,1920.0,1849.0,1.0383991346673878
XU,2009-06-10,2496.0,2499.0,0.9987995198079231
XU,2009-09-09,2816.0,2801.0,1.0053552302749018
XU,2009-12-09,2823.0,2819.0,1.0014189428875488
XU,2010-03-10,2901.0,2831.0,1.024726245143059
XU,2010-06-09,2515.0,2508.0,1.0027910685805423
XU,2010-09-08,2743.0,2727.0,1.0058672533920059
XU,2010-12-08,2820.0,2818.0,1.000709723207949
XU,2011-03-09,2936.0,2864.0,1.0251396648044693
XU,2011-06-08,2738.0,2735.0,1.0010968921389396
XU,2011-09-07,2165.0,2153.0,1.0055736182071529
XU,2011-12-07,2365.0,2356.0,1.0038200339558574
XU,2012-03-07,2466.0,2394.0,1.0300751879699248
XU,2012-06-06,2147.0,2132.0,1.0070356472795496
XU,2012-09-12,2563.0,2549.0,1.0054923499411534
XU,2012-12-12,2628.0,2620.0,1.0030534351145037
XU,2013-03-06,2689.0,2625.0,1.0243809523809524
XU,2013-06-12,2649.0,2646.0,1.0011337868480725
XU,2013-09-11,2870.0,2856.0,1.0049019607843137
XU,2013-12-11,2935.0,2931.0,1.0013647219379052
XU,2014-03-12,3075.0,3007.0,1.022613900897905
XU,2014-06-11,3289.0,3284.0,1.001522533495737
XU,2014-09-10,3255.0,3242.0,1.0040098704503393
XU,2014-12-10,3128.0,3126.0,1.000639795265515
XU,2015-03-11,3652.0,3578.0,1.0206819452207938
XU,2015-06-10,3521.0,3516.0,1.0014220705346986
XU,2015-09-09,3220.0,3211.0,1.0028028651510432
XU,2015-12-09,3246.0,3241.0,1.0015427337241591
XU,2016-03-09,3013.0,2935.0,1.0265758091993187
XU,2016-06-08,3020.0,3008.0,1.0039893617021276
XU,2016-09-07,3086.0,3072.0,1.0045572916666667
