Symbol,RollDate,PrevClose_c,NewClose_C,Ratio_c_over_C
ZH,1980-01-10,79.75,81.6,0.9773284313725491
ZH,1980-02-08,76.25,78.5,0.9713375796178344
ZH,1980-03-10,73.55,74.6,0.9859249329758714
ZH,1980-04-10,78.0,78.75,0.9904761904761905
ZH,1980-05-09,78.3,80.05,0.9781386633354153
ZH,1980-06-10,77.35,79.45,0.9735682819383259
ZH,1980-07-10,77.5,78.9,0.9822560202788339
ZH,1980-08-08,75.0,76.0,0.9868421052631579
ZH,1980-09-10,77.25,78.56,0.9833248472505092
ZH,1980-10-10,81.0,82.89,0.9771986970684039
ZH,1980-11-10,87.7,89.93,0.9752029356165907
ZH,1980-12-10,91.39,93.9,0.973269435569755
ZH,1981-01-09,102.7,104.15,0.986077772443591
ZH,1981-02-10,101.8,101.7,1.0009832841691249
ZH,1981-03-10,96.35,96.5,0.9984455958549222
ZH,1981-04-10,95.85,96.39,0.9943977591036414
ZH,1981-05-08,92.55,92.63,0.9991363489150383
ZH,1981-06-10,90.75,91.0,0.9972527472527473
ZH,1981-07-10,93.5,94.72,0.9871199324324325
ZH,1981-08-10,94.8,96.07,0.9867804725720829
ZH,1981-09-10,93.75,94.75,0.9894459102902374
ZH,1981-10-09,98.38,99.94,0.9843906343806283
ZH,1981-11-10,101.68,102.72,0.9898753894080997
ZH,1981-12-10,98.1,98.25,0.998473282442748
ZH,1982-01-08,95.26,92.37,1.0312872144635705
ZH,1982-02-10,84.06,80.26,1.0473461250934462
ZH,1982-03-10,78.33,72.58,1.0792229264260127
ZH,1982-04-08,86.04,86.24,0.9976808905380335
ZH,1982-05-10,92.07,92.89,0.9911723543976746
ZH,1982-06-10,95.35,95.23,1.001260107109104
ZH,1982-07-09,90.45,90.23,1.0024382134545051
ZH,1982-08-10,91.89,92.94,0.9887023886378309
ZH,1982-09-10,94.94,95.75,0.9915404699738903
ZH,1982-10-08,100.5,100.95,0.9955423476968797
ZH,1982-11-10,97.93,97.72,1.0021489971346706
ZH,1982-12-10,88.23,88.24,0.9998866727107889
ZH,1983-01-10,81.89,80.78,1.0137410250061896
ZH,1983-02-10,75.53,73.18,1.0321125990707842
ZH,1983-03-10,70.37,69.24,1.0163200462160602
ZH,1983-04-08,79.24,78.73,1.0064778356407975
ZH,1983-05-10,75.9,75.13,1.0102489019033676
ZH,1983-06-10,79.68,80.17,0.993887988025446
ZH,1983-07-08,81.75,82.81,0.9871996135732399
ZH,1983-08-10,85.2,86.87,0.9807758719926326
ZH,1983-09-09,83.09,84.2,0.9868171021377672
ZH,1983-10-10,82.83,84.03,0.9857193859335951
ZH,1983-11-10,82.28,82.3,0.9997569866342649
ZH,1983-12-09,78.65,77.7,1.0122265122265122
ZH,1984-01-10,83.05,79.29,1.0474208601336863
ZH,1984-02-10,81.9,76.97,1.0640509289333508
ZH,1984-03-09,79.31,78.32,1.0126404494382024
ZH,1984-04-10,79.74,77.9,1.0236200256739407
ZH,1984-05-10,82.0,80.67,1.0164869220280153
ZH,1984-06-08,78.61,79.67,0.9866951173591063
ZH,1984-07-10,76.98,77.98,0.9871761990253911
ZH,1984-08-10,76.0,77.18,0.9847110650427571
ZH,1984-09-10,79.7,80.77,0.9867525071189799
ZH,1984-10-10,80.34,81.58,0.9848001961265016
ZH,1984-11-09,78.71,79.78,0.9865881173226372
ZH,1984-12-10,77.1,77.19,0.9988340458608628
ZH,1985-01-10,75.27,71.43,1.0537589248215034
ZH,1985-02-08,73.67,70.69,1.0421558919224785
ZH,1985-03-08,74.14,71.91,1.0310109859546657
