Symbol,RollDate,PrevClose_c,NewClose_C,Ratio_c_over_C
ZU,1984-01-10,29.45,29.24,1.0071819425444597
ZU,1984-02-10,29.83,29.65,1.006070826306914
ZU,1984-03-09,30.99,30.84,1.004863813229572
ZU,1984-04-10,30.78,30.67,1.003586566677535
ZU,1984-05-10,30.34,30.37,0.9990121830754033
ZU,1984-06-08,30.37,30.45,0.9973727422003285
ZU,1984-07-10,29.4,29.62,0.9925725860904793
ZU,1984-08-10,29.08,29.26,0.9938482570061516
ZU,1984-09-10,29.36,29.63,0.9908876139048262
ZU,1984-10-10,29.33,29.48,0.9949118046132971
ZU,1984-11-09,28.53,28.41,1.0042238648363253
ZU,1984-12-10,27.45,27.3,1.0054945054945055
ZU,1985-01-10,25.76,25.8,0.9984496124031008
ZU,1985-02-08,27.59,26.92,1.024888558692422
ZU,1985-03-08,27.74,27.14,1.0221075902726602
ZU,1985-04-10,29.24,28.73,1.0177514792899407
ZU,1985-05-10,27.38,26.78,1.022404779686333
ZU,1985-06-10,26.81,25.96,1.0327426810477658
ZU,1985-07-10,27.55,26.88,1.0249255952380953
ZU,1985-08-09,27.37,26.85,1.019366852886406
ZU,1985-09-10,27.89,27.18,1.0261221486387049
ZU,1985-10-10,28.66,27.86,1.0287150035893755
ZU,1985-11-08,30.45,29.47,1.0332541567695963
ZU,1985-12-10,25.23,25.53,0.9882491186839013
ZU,1986-01-10,25.79,24.64,1.046672077922078
ZU,1986-02-10,16.78,16.74,1.002389486260454
ZU,1986-03-10,12.85,13.18,0.9749620637329287
ZU,1986-04-10,13.48,13.31,1.0127723516153269
ZU,1986-05-09,15.86,15.26,1.0393184796854522
ZU,1986-06-10,12.56,12.53,1.0023942537909019
ZU,1986-07-10,11.25,10.99,1.0236578707916288
ZU,1986-08-08,14.83,14.65,1.0122866894197953
ZU,1986-09-10,14.88,14.87,1.000672494956288
ZU,1986-10-10,14.93,15.14,0.9861294583883751
ZU,1986-11-10,15.34,15.43,0.9941672067401167
ZU,1986-12-10,15.13,15.24,0.9927821522309712
ZU,1987-01-09,18.77,18.77,1.0
ZU,1987-02-10,18.45,18.34,1.0059978189749181
ZU,1987-03-10,18.12,18.0,1.0066666666666668
ZU,1987-04-10,18.11,17.7,1.0231638418079096
ZU,1987-05-08,19.26,18.94,1.016895459345301
ZU,1987-06-10,19.82,19.65,1.0086513994910942
ZU,1987-07-10,21.33,20.82,1.0244956772334293
ZU,1987-08-10,20.73,20.49,1.0117130307467057
ZU,1987-09-10,19.67,19.46,1.0107913669064748
ZU,1987-10-09,19.7,19.55,1.0076726342710998
ZU,1987-11-10,18.94,18.88,1.003177966101695
ZU,1987-12-10,18.51,18.16,1.019273127753304
ZU,1988-01-08,17.31,17.14,1.0099183197199533
ZU,1988-02-10,17.13,17.09,1.0023405500292568
ZU,1988-03-10,16.0,15.95,1.0031347962382446
ZU,1988-04-08,16.88,16.76,1.007159904534606
ZU,1988-05-10,17.46,17.61,0.991482112436116
ZU,1988-06-10,16.73,16.81,0.9952409280190364
ZU,1988-07-08,15.46,15.63,0.9891234804862444
ZU,1988-08-10,15.71,15.86,0.9905422446406054
ZU,1988-09-09,14.18,14.05,1.009252669039146
ZU,1988-10-10,13.6,13.29,1.0233258088788564
ZU,1988-11-10,13.98,13.95,1.0021505376344086
ZU,1988-12-09,15.84,15.6,1.0153846153846153
