symbol,rule_type,roll_count,contract_months,delivery_months_num,num_months,sample_roll_dates,data_start,data_end
LB,DM_1,285,"F,H,K,N,U,X","1,3,5,7,9,11",6.0,1974-05-01 | 1974-07-01 | 1974-09-03 | 1974-11-01 | 1975-01-02,1974-01-02,2026-03-27
LX,DM_13,99,"H,M,U,Z","3,6,9,12",4.0,1990-03-15 | 1990-06-15 | 1990-09-17 | 1990-12-17 | 1991-03-15,1990-01-02,2026-03-27
FF,DM_22,10,"F,H,N,U,V,X","1,3,7,9,10,11",6.0,1988-11-22 | 1989-03-22 | 1994-11-22 | 1995-01-23 | 2001-09-24,1988-10-03,2026-03-27
NK,DM_3,56,"H,M,U,Z","3,6,9,12",4.0,1991-03-04 | 1991-06-03 | 1991-09-03 | 1991-12-03 | 1992-03-03,1991-01-02,2026-03-27
SS,DM_3,9,"H,U,Z","3,9,12",3.0,1992-12-03 | 1993-03-03 | 1994-09-05 | 1994-12-05 | 1995-03-03,1991-09-24,2021-12-17
FC,DM_5,15,"K,M","5,6",2.0,2020-05-21 | 2020-05-22 | 2020-05-26 | 2020-05-27 | 2020-05-28,1978-01-03,2020-06-12
ZF,DM_5,137,"F,H,J,K,Q,U,V,X","1,3,4,5,8,9,10,11",8.0,1999-09-13 | 1999-10-12 | 1999-11-12 | 2000-05-12 | 2000-10-12,1978-01-03,2026-03-27
CR,DM_6,81,"F,G,H,J,K,M,N,Q,U,X,Z","1,2,3,4,5,6,7,8,9,11,12",11.0,1987-09-01 | 1987-12-01 | 1988-09-01 | 1988-12-01 | 1989-07-03,1987-01-02,2013-04-05
AD,DM_8,324,"F,G,H,J,K,M,N,Q,U,V,X,Z","1,2,3,4,5,6,7,8,9,10,11,12",12.0,2019-04-11 | 2019-04-12 | 2019-04-15 | 2019-04-18 | 2019-04-24,1988-01-04,2021-01-22
AN,DM_8,67,"H,M,U,Z","3,6,9,12",4.0,1988-03-08 | 1988-06-08 | 1988-09-08 | 1988-12-08 | 1989-03-08,1988-01-04,2026-03-27
BN,DM_8,67,"H,M,U,Z","3,6,9,12",4.0,1976-03-08 | 1976-06-08 | 1976-09-08 | 1976-12-08 | 1977-03-08,1976-01-02,2026-03-27
CN,DM_8,32,"H,M,U,Z","3,6,9,12",4.0,1980-03-10 | 1980-12-08 | 1981-09-08 | 1981-12-08 | 1982-06-08,1978-01-03,2026-03-27
DX,DM_8,34,"H,M,U,Z","3,6,9,12",4.0,1986-09-08 | 1986-12-08 | 1987-03-09 | 1987-06-08 | 1990-03-08,1986-01-02,2026-03-27
FN,DM_8,95,"H,M,U,Z","3,6,9,12",4.0,1976-03-08 | 1976-06-08 | 1977-06-08 | 1977-09-08 | 1977-12-08,1975-02-13,2026-03-27
FX,DM_8,179,"F,G,H,M,N,U,V,X,Z","1,2,3,6,7,9,10,11,12",9.0,2021-12-15 | 2021-12-16 | 2021-12-20 | 2021-12-22 | 2021-12-23,1975-02-13,2026-03-27
JN,DM_8,110,"H,M,U,Z","3,6,9,12",4.0,1978-03-08 | 1978-06-08 | 1978-09-08 | 1978-12-08 | 1979-03-08,1978-01-03,2026-03-27
MP,DM_8,120,"H,M,U,Z","3,6,9,12",4.0,1995-06-08 | 1995-09-08 | 1995-12-08 | 1996-03-08 | 1996-06-10,1995-05-03,2026-03-27
SF,DM_8,210,"F,G,H,J,K,M,N,Q,U,V,Z","1,2,3,4,5,6,7,8,9,10,12",11.0,2019-06-19 | 2019-06-20 | 2019-06-21 | 2019-06-24 | 2019-06-25,1976-01-02,2021-01-04
SN,DM_8,124,"H,M,U,Z","3,6,9,12",4.0,1976-03-08 | 1976-06-08 | 1976-09-08 | 1976-12-08 | 1977-03-08,1976-01-02,2026-03-27
