Symbol,Status,Rolls,Rows
EC,OK,166,10408
EN,OK,107,6743
LB,OK,418,13158
MP,OK,248,7759
ZB,NO_RULE,0,0
ZO,OK,205,12906
FX,OK,408,12553
ZM,NO_RULE,0,0
BG,OK,71,4319
ER,OK,94,5909
PL,OK,191,11750
CB,OK,127,7934
RL,ERROR: index 0 is out of bounds for axis 0 with size 0,0,0
MD,OK,137,8535
DA,OK,114,7174
US,OK,193,12134
ZZ,OK,225,14169
ND,OK,77,4827
KC,OK,209,13086
TU,OK,142,8931
O_,OK,179,11081
GS,OK,146,9150
CA,OK,109,6958
YM,OK,96,6044
ZU,NO_RULE,0,0
PA,OK,151,9239
CN,OK,386,12150
JO,OK,213,13348
ZL,OK,229,14410
ZW,NO_RULE,0,0
MW,OK,181,11385
CR,OK,210,6578
ZC,OK,225,14163
FN,OK,409,12876
ZA,OK,173,10858
HS,NO_RULE,0,0
ZF,OK,386,12157
DX,OK,322,10209
ZN,NO_RULE,0,0
ZG,OK,205,12879
ED,OK,165,10088
CC,OK,181,11326
FC,OK,337,10411
BN,OK,402,12669
FA,OK,130,7905
TY,OK,173,10884
AD,OK,264,8024
SI,OK,190,11711
SC,OK,111,6940
UZ,OK,109,6913
ZR,NO_RULE,0,0
CT,OK,213,13361
DT,OK,146,9212
LX,OK,290,9142
NR,OK,136,8568
BO,OK,207,12798
JN,OK,386,12153
NG,OK,117,7234
TA,OK,151,9269
HG,OK,127,7740
AN,OK,306,9642
SP,OK,158,9943
BC,OK,70,4218
UB,OK,109,6913
SB,OK,205,12831
DJ,OK,71,4451
ZK,NO_RULE,0,0
HO,OK,162,9996
S_,OK,203,12584
ZT,OK,221,13918
ZH,NO_RULE,0,0
NK,OK,282,8985
SN,OK,402,12648
CL,OK,149,9309
ES,OK,115,7192
KW,OK,197,12394
ZP,OK,213,13369
FB,OK,149,9363
SM,OK,203,12587
LC,OK,199,12305
FF,OK,300,9355
W_,OK,229,14472
ZD,OK,69,4319
XU,OK,100,6348
ZI,OK,213,13375
UA,OK,151,9269
SF,OK,360,11037
AX,OK,114,7195
LH,OK,203,12557
C_,OK,199,12335
SS,OK,242,7601
GI,OK,266,8368
ZS,NO_RULE,0,0
GC,OK,183,11262
XX,OK,91,5778
