contract,asset,version,context,sigma,status,action,original_included,effective_context_source,distribution_aligned,exists,test_rows_total,test_rows_nonpositive,test_rows_positive,cleaned_rows,window_length,invalid_reason,nonpositive_in_test,t3_asset_score10,t3_asset_score15,t3_asset_annual_gap,t3_asset_calmar_gap,t3_all_score10,t3_all_score15,t3_all_annual_gap,t3_all_calmar_gap,t3_asset_ER,t3_asset_ER_gap,t3_asset_stdR,t3_asset_stdR_gap,t3_asset_DD,t3_asset_DD_gap,t3_asset_Sharpe,t3_asset_Sharpe_gap,t3_asset_Sortino,t3_asset_Sortino_gap,t3_asset_MDD,t3_asset_MDD_gap,t3_asset_Calmar,t3_asset_Calmar_gap,t3_asset_pct_posve,t3_asset_pct_posve_gap,t3_asset_Ave_P_L,t3_asset_Ave_P_L_gap,t3_all_ER,t3_all_ER_gap,t3_all_stdR,t3_all_stdR_gap,t3_all_DD,t3_all_DD_gap,t3_all_Sharpe,t3_all_Sharpe_gap,t3_all_Sortino,t3_all_Sortino_gap,t3_all_MDD,t3_all_MDD_gap,t3_all_Calmar,t3_all_Calmar_gap,t3_all_pct_posve,t3_all_pct_posve_gap,t3_all_Ave_P_L,t3_all_Ave_P_L_gap,t2_asset_score10,t2_asset_score15,t2_asset_annual_gap,t2_asset_calmar_gap,t2_all_score10,t2_all_score15,t2_all_annual_gap,t2_all_calmar_gap,t2_asset_ER,t2_asset_ER_gap,t2_asset_stdR,t2_asset_stdR_gap,t2_asset_DD,t2_asset_DD_gap,t2_asset_Sharpe,t2_asset_Sharpe_gap,t2_asset_Sortino,t2_asset_Sortino_gap,t2_asset_MDD,t2_asset_MDD_gap,t2_asset_Calmar,t2_asset_Calmar_gap,t2_asset_pct_posve,t2_asset_pct_posve_gap,t2_asset_Ave_P_L,t2_asset_Ave_P_L_gap,t2_all_ER,t2_all_ER_gap,t2_all_stdR,t2_all_stdR_gap,t2_all_DD,t2_all_DD_gap,t2_all_Sharpe,t2_all_Sharpe_gap,t2_all_Sortino,t2_all_Sortino_gap,t2_all_MDD,t2_all_MDD_gap,t2_all_Calmar,t2_all_Calmar_gap,t2_all_pct_posve,t2_all_pct_posve_gap,t2_all_Ave_P_L,t2_all_Ave_P_L_gap,combined_rank,error
CC,Commodity,DROP,baseline_50,0.058,drop-candidate,drop,True,RAD_REGEN,False,True,0,0,0,0,0,,False,5.0,6.0,144.1275,4.9834,4.0,4.0,4220.2294,502.8858,-0.24,19.4631,0.381,7.5243,0.26,0.7752,-0.631,12.7248,-0.924,19.7917,0.637,156.8548,-0.124,4.6154,0.491,3.8055,0.937,5.0659,0.037,384.6154,0.333,8.2645,0.235,2.1739,0.112,411.1111,0.158,377.193,0.265,616.2162,-0.054,500.0,0.518,0.1927,0.946,2.938,2.0,4.0,144.1275,11.7703,2.0,2.0,4220.2294,517.3825,-0.063,91.1268,0.1,89.7855,0.068,88.7417,-0.631,13.0854,-0.924,21.4953,0.637,82.0,-0.124,11.4286,0.491,3.8055,0.937,5.2578,0.011,80.0,0.1,89.7436,0.071,88.1271,0.112,93.1034,0.158,71.7391,0.265,273.2394,-0.054,515.3846,0.518,0.3846,0.946,1.3934,"(1, 7.6109936575052926, np.float64(10.323692327865885), np.float64(110.58984781170244), 288.25499017029586, 238.85483870967744, 16.753782194956113, np.int64(-10))",
CC,Commodity,NON,baseline_50,0.058,diagnostic-only,swap,True,RAD_REGEN,False,True,2266,0,2266,4316,2266,,False,5.0,5.0,130.1477,7.8809,4.0,4.0,4095.1884,500.9878,-0.23,22.8188,0.374,9.2233,0.256,0.7752,-0.614,15.0761,-0.897,22.1354,0.62,150.0,-0.12,7.6923,0.491,3.8055,0.939,4.8632,0.038,392.3077,0.331,8.8154,0.233,1.3043,0.114,416.6667,0.163,385.9649,0.258,597.2973,-0.054,500.0,0.522,0.578,0.934,1.6322,2.0,3.0,130.1477,14.4608,2.0,2.0,4095.1884,516.0685,-0.061,91.4085,0.1,89.7855,0.068,88.7417,-0.614,15.427,-0.897,23.7893,0.62,77.1429,-0.12,14.2857,0.491,3.8055,0.939,5.0556,0.011,80.0,0.1,89.7436,0.07,88.2943,0.114,96.5517,0.163,77.1739,0.258,263.3803,-0.054,515.3846,0.522,0.3846,0.934,0.1072,"(1, 7.6109936575052926, np.float64(9.9188336135177), np.float64(114.22724265053408), 260.29545067187235, 227.14285714285717, 22.341680654969405, np.int64(-8))",
CC,Commodity,NON_FWD_ANCHORED,baseline_50,0.058,promotable,swap,True,RAD_REGEN,False,True,2266,0,2266,4316,2266,,False,5.0,6.0,133.8876,7.2167,4.0,4.0,4204.1811,513.0988,-0.232,22.1477,0.374,9.2233,0.256,0.7752,-0.619,14.3845,-0.904,21.5278,0.625,152.0161,-0.121,6.9231,0.49,3.5941,0.94,4.7619,0.037,384.6154,0.331,8.8154,0.233,1.3043,0.111,408.3333,0.158,377.193,0.26,602.7027,-0.055,511.1111,0.522,0.578,0.933,1.5234,2.0,4.0,133.8876,13.8441,2.0,2.0,4204.1811,524.453,-0.062,91.2676,0.1,89.7855,0.068,88.7417,-0.619,14.7383,-0.904,23.1946,0.625,78.5714,-0.121,13.5714,0.49,3.5941,0.94,4.9545,0.011,80.0,0.1,89.7436,0.07,88.2943,0.111,91.3793,0.158,71.7391,0.26,266.1972,-0.055,523.0769,0.522,0.3846,0.933,0.0,"(1, 7.188160676532776, np.float64(9.716404256343598), np.float64(113.4152566405142), 267.77510937343357, 230.58755760368666, 21.06072504097848, np.int64(-10))",
CC,Commodity,RAD_RAW,baseline_50,0.058,promotable,swap,True,RAD_REGEN,False,True,2266,0,2266,4316,2266,,False,5.0,6.0,134.3697,7.1159,4.0,4.0,4217.5634,514.8282,-0.232,22.1477,0.374,9.2233,0.256,0.7752,-0.62,14.2462,-0.905,21.441,0.626,152.4194,-0.121,6.9231,0.49,3.5941,0.941,4.6606,0.037,384.6154,0.331,8.8154,0.233,1.3043,0.111,408.3333,0.158,377.193,0.26,602.7027,-0.055,511.1111,0.522,0.578,0.933,1.5234,2.0,4.0,134.3697,13.7504,2.0,2.0,4217.5634,525.6503,-0.062,91.2676,0.1,89.7855,0.069,88.5762,-0.62,14.6006,-0.905,23.1096,0.626,78.8571,-0.121,13.5714,0.49,3.5941,0.941,4.8534,0.011,80.0,0.1,89.7436,0.07,88.2943,0.111,91.3793,0.158,71.7391,0.26,266.1972,-0.055,523.0769,0.522,0.3846,0.933,0.0,"(1, 7.188160676532776, np.float64(9.513974899169495), np.float64(113.4152566405142), 268.73936457184277, 231.27649769585253, 20.86629685487098, np.int64(-10))",
CC,Commodity,RAD_REGEN,baseline_50,0.058,promotable,swap,True,RAD_REGEN,False,True,2266,0,2266,4316,2266,,False,5.0,6.0,134.6354,7.0071,4.0,4.0,4225.8372,517.8749,-0.232,22.1477,0.374,9.2233,0.256,0.7752,-0.621,14.1079,-0.907,21.2674,0.626,152.4194,-0.121,6.9231,0.491,3.8055,0.938,4.9645,0.037,384.6154,0.331,8.8154,0.232,0.8696,0.111,408.3333,0.157,375.4386,0.259,600.0,-0.056,522.2222,0.522,0.578,0.933,1.5234,2.0,4.0,134.6354,13.6494,2.0,2.0,4225.8372,527.7596,-0.062,91.2676,0.1,89.7855,0.068,88.7417,-0.621,14.4628,-0.907,22.9397,0.626,78.8571,-0.121,13.5714,0.491,3.8055,0.938,5.1567,0.011,80.0,0.1,89.7436,0.07,88.2943,0.111,91.3793,0.157,70.6522,0.259,264.7887,-0.056,530.7692,0.522,0.3846,0.933,0.0,"(1, 7.6109936575052926, np.float64(10.121262970691802), np.float64(113.4152566405142), 269.2708811032834, 231.27649769585253, 20.656499678825476, np.int64(-10))",
CC,Commodity,REV,baseline_50,0.058,invalid,swap,True,,,True,2266,2254,12,613,0,no-stable-window,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,version-unusable-in-context
CC,Commodity,DROP,baseline_50,0.059,drop-candidate,drop,True,RAD_REGEN,False,True,0,0,0,0,0,,False,5.0,6.0,144.1275,4.9834,4.0,4.0,4220.2294,502.8858,-0.244,18.1208,0.387,6.068,0.265,2.7132,-0.631,12.7248,-0.924,19.7917,0.637,156.8548,-0.124,4.6154,0.491,3.8055,0.937,5.0659,0.038,392.3077,0.339,6.6116,0.239,3.913,0.112,411.1111,0.158,377.193,0.265,616.2162,-0.054,500.0,0.518,0.1927,0.946,2.938,2.0,4.0,144.1275,11.7703,2.0,2.0,4220.2294,517.3825,-0.063,91.1268,0.1,89.7855,0.068,88.7417,-0.631,13.0854,-0.924,21.4953,0.637,82.0,-0.124,11.4286,0.491,3.8055,0.937,5.2578,0.011,80.0,0.1,89.7436,0.071,88.1271,0.112,93.1034,0.158,71.7391,0.265,273.2394,-0.054,515.3846,0.518,0.3846,0.946,1.3934,"(1, 7.6109936575052926, np.float64(10.323692327865885), np.float64(109.2475659325078), 288.25499017029586, 238.85483870967744, 16.753782194956113, np.int64(-10))",
CC,Commodity,NON,baseline_50,0.059,diagnostic-only,swap,True,RAD_REGEN,False,True,2266,0,2266,4316,2266,,False,5.0,5.0,130.1477,7.8809,4.0,4.0,4095.1884,500.9878,-0.234,21.4765,0.381,7.5243,0.261,1.1628,-0.614,15.0761,-0.897,22.1354,0.62,150.0,-0.12,7.6923,0.491,3.8055,0.939,4.8632,0.038,392.3077,0.336,7.438,0.237,3.0435,0.114,416.6667,0.163,385.9649,0.258,597.2973,-0.054,500.0,0.522,0.578,0.934,1.6322,2.0,3.0,130.1477,14.4608,2.0,2.0,4095.1884,516.0685,-0.061,91.4085,0.1,89.7855,0.068,88.7417,-0.614,15.427,-0.897,23.7893,0.62,77.1429,-0.12,14.2857,0.491,3.8055,0.939,5.0556,0.011,80.0,0.1,89.7436,0.07,88.2943,0.114,96.5517,0.163,77.1739,0.258,263.3803,-0.054,515.3846,0.522,0.3846,0.934,0.1072,"(1, 7.6109936575052926, np.float64(9.9188336135177), np.float64(112.88496077133945), 260.29545067187235, 227.14285714285717, 22.341680654969448, np.int64(-8))",
CC,Commodity,NON_FWD_ANCHORED,baseline_50,0.059,promotable,swap,True,RAD_REGEN,False,True,2266,0,2266,4316,2266,,False,5.0,6.0,133.8876,7.2167,4.0,4.0,4204.1811,513.0988,-0.236,20.8054,0.381,7.5243,0.261,1.1628,-0.619,14.3845,-0.904,21.5278,0.625,152.0161,-0.121,6.9231,0.49,3.5941,0.94,4.7619,0.037,384.6154,0.336,7.438,0.237,3.0435,0.111,408.3333,0.158,377.193,0.26,602.7027,-0.055,511.1111,0.522,0.578,0.933,1.5234,2.0,4.0,133.8876,13.8441,2.0,2.0,4204.1811,524.453,-0.062,91.2676,0.1,89.7855,0.068,88.7417,-0.619,14.7383,-0.904,23.1946,0.625,78.5714,-0.121,13.5714,0.49,3.5941,0.94,4.9545,0.011,80.0,0.1,89.7436,0.07,88.2943,0.111,91.3793,0.158,71.7391,0.26,266.1972,-0.055,523.0769,0.522,0.3846,0.933,0.0,"(1, 7.188160676532776, np.float64(9.716404256343598), np.float64(112.07297476131959), 267.77510937343357, 230.58755760368666, 21.060725040978458, np.int64(-10))",
CC,Commodity,RAD_RAW,baseline_50,0.059,promotable,swap,True,RAD_REGEN,False,True,2266,0,2266,4316,2266,,False,5.0,6.0,134.3697,7.1159,4.0,4.0,4217.5634,514.8282,-0.236,20.8054,0.381,7.5243,0.261,1.1628,-0.62,14.2462,-0.905,21.441,0.626,152.4194,-0.121,6.9231,0.49,3.5941,0.941,4.6606,0.037,384.6154,0.336,7.438,0.237,3.0435,0.111,408.3333,0.158,377.193,0.26,602.7027,-0.055,511.1111,0.522,0.578,0.933,1.5234,2.0,4.0,134.3697,13.7504,2.0,2.0,4217.5634,525.6503,-0.062,91.2676,0.1,89.7855,0.069,88.5762,-0.62,14.6006,-0.905,23.1096,0.626,78.8571,-0.121,13.5714,0.49,3.5941,0.941,4.8534,0.011,80.0,0.1,89.7436,0.07,88.2943,0.111,91.3793,0.158,71.7391,0.26,266.1972,-0.055,523.0769,0.522,0.3846,0.933,0.0,"(1, 7.188160676532776, np.float64(9.513974899169495), np.float64(112.07297476131959), 268.73936457184277, 231.27649769585253, 20.86629685487098, np.int64(-10))",
