episode,cycle,round,ticker,reward,steps,epsilon_end,mean_loss,last_loss,learn_steps,target_updates,replay_size
11,1,2,CA,-9.502215,2283,0.290004,0.001399,0.002044,4950,4,5000
11,1,2,EN,-31.023509,2243,0.290004,0.001399,0.002044,4950,4,5000
11,1,2,ER,-9.664096,2262,0.290004,0.001399,0.002044,4950,4,5000
11,1,2,ES,-14.265211,2244,0.290004,0.001399,0.002044,4950,4,5000
11,1,2,LX,-15.981574,2259,0.290004,0.001399,0.002044,4950,4,5000
11,1,2,MD,-11.646301,2241,0.290004,0.001399,0.002044,4950,4,5000
11,1,2,SC,-14.088468,2243,0.290004,0.001399,0.002044,4950,4,5000
11,1,2,SP,-13.117663,2242,0.290004,0.001399,0.002044,4950,4,5000
11,1,2,XU,-8.987931,2268,0.290004,0.001399,0.002044,4950,4,5000
11,1,2,XX,-16.345527,2268,0.290004,0.001399,0.002044,4950,4,5000
11,1,2,YM,-16.420591,2244,0.290004,0.001399,0.002044,4950,4,5000
22,2,2,CA,-8.600166,2283,0.280009,0.00174,0.000499,11149,11,5000
22,2,2,EN,-21.222355,2243,0.280009,0.00174,0.000499,11149,11,5000
22,2,2,ER,-11.160275,2262,0.280009,0.00174,0.000499,11149,11,5000
22,2,2,ES,-8.27932,2244,0.280009,0.00174,0.000499,11149,11,5000
22,2,2,LX,-11.813751,2259,0.280009,0.00174,0.000499,11149,11,5000
22,2,2,MD,-8.946657,2241,0.280009,0.00174,0.000499,11149,11,5000
22,2,2,SC,-10.748204,2243,0.280009,0.00174,0.000499,11149,11,5000
22,2,2,SP,-10.419346,2242,0.280009,0.00174,0.000499,11149,11,5000
22,2,2,XU,-8.118065,2268,0.280009,0.00174,0.000499,11149,11,5000
22,2,2,XX,-12.245716,2268,0.280009,0.00174,0.000499,11149,11,5000
22,2,2,YM,-12.013547,2244,0.280009,0.00174,0.000499,11149,11,5000
33,3,2,CA,-7.795835,2283,0.270013,0.001845,0.001772,17348,17,5000
33,3,2,EN,-21.394665,2243,0.270013,0.001845,0.001772,17348,17,5000
33,3,2,ER,-9.794509,2262,0.270013,0.001845,0.001772,17348,17,5000
33,3,2,ES,-8.923141,2244,0.270013,0.001845,0.001772,17348,17,5000
33,3,2,LX,-9.167278,2259,0.270013,0.001845,0.001772,17348,17,5000
