episode,cycle,round,ticker,reward,steps,epsilon_end,mean_loss,last_loss,learn_steps,target_updates,replay_size
9,1,1,AN,-10.474118,1112,0.290009,0.002053,0.002429,1245,1,5000
9,1,1,BN,-12.803109,1111,0.290009,0.002053,0.002429,1245,1,5000
9,1,1,CN,-16.062167,1104,0.290009,0.002053,0.002429,1245,1,5000
9,1,1,DX,-19.51362,1115,0.290009,0.002053,0.002429,1245,1,5000
9,1,1,FN,-17.44607,1105,0.290009,0.002053,0.002429,1245,1,5000
9,1,1,JN,-21.286315,1106,0.290009,0.002053,0.002429,1245,1,5000
9,1,1,MP,-19.056967,1103,0.290009,0.002053,0.002429,1245,1,5000
9,1,1,NK,-8.901633,1115,0.290009,0.002053,0.002429,1245,1,5000
9,1,1,SN,-22.274644,1106,0.290009,0.002053,0.002429,1245,1,5000
18,2,1,AN,-5.043566,1112,0.280018,0.000928,0.000461,3739,3,5000
18,2,1,BN,-6.670132,1111,0.280018,0.000928,0.000461,3739,3,5000
18,2,1,CN,-6.557302,1104,0.280018,0.000928,0.000461,3739,3,5000
18,2,1,DX,-7.948258,1115,0.280018,0.000928,0.000461,3739,3,5000
18,2,1,FN,-9.656555,1105,0.280018,0.000928,0.000461,3739,3,5000
18,2,1,JN,-8.004039,1106,0.280018,0.000928,0.000461,3739,3,5000
18,2,1,MP,-7.986678,1103,0.280018,0.000928,0.000461,3739,3,5000
18,2,1,NK,-3.337054,1115,0.280018,0.000928,0.000461,3739,3,5000
18,2,1,SN,-10.979163,1106,0.280018,0.000928,0.000461,3739,3,5000
27,3,1,AN,-5.702343,1112,0.270027,0.000904,0.000644,6233,6,5000
27,3,1,BN,-7.911556,1111,0.270027,0.000904,0.000644,6233,6,5000
27,3,1,CN,-7.40782,1104,0.270027,0.000904,0.000644,6233,6,5000
27,3,1,DX,-9.148796,1115,0.270027,0.000904,0.000644,6233,6,5000
27,3,1,FN,-8.428293,1105,0.270027,0.000904,0.000644,6233,6,5000
27,3,1,JN,-8.612671,1106,0.270027,0.000904,0.000644,6233,6,5000
27,3,1,MP,-7.616262,1103,0.270027,0.000904,0.000644,6233,6,5000
27,3,1,NK,-3.18419,1115,0.270027,0.000904,0.000644,6233,6,5000
27,3,1,SN,-9.115941,1106,0.270027,0.000904,0.000644,6233,6,5000
36,4,1,AN,-4.200378,1112,0.260036,0.000975,0.001798,8727,8,5000
36,4,1,BN,-8.011775,1111,0.260036,0.000975,0.001798,8727,8,5000
36,4,1,CN,-4.215909,1104,0.260036,0.000975,0.001798,8727,8,5000
36,4,1,DX,-7.821394,1115,0.260036,0.000975,0.001798,8727,8,5000
36,4,1,FN,-9.464134,1105,0.260036,0.000975,0.001798,8727,8,5000
36,4,1,JN,-7.922233,1106,0.260036,0.000975,0.001798,8727,8,5000
36,4,1,MP,-10.336689,1103,0.260036,0.000975,0.001798,8727,8,5000
36,4,1,NK,-2.014624,1115,0.260036,0.000975,0.001798,8727,8,5000
36,4,1,SN,-8.915357,1106,0.260036,0.000975,0.001798,8727,8,5000
45,5,1,AN,-6.989356,1112,0.250045,0.001188,0.00118,11221,11,5000
45,5,1,BN,-6.612261,1111,0.250045,0.001188,0.00118,11221,11,5000
45,5,1,CN,-3.542152,1104,0.250045,0.001188,0.00118,11221,11,5000
45,5,1,DX,-7.389239,1115,0.250045,0.001188,0.00118,11221,11,5000
45,5,1,FN,-7.961994,1105,0.250045,0.001188,0.00118,11221,11,5000
45,5,1,JN,-8.355085,1106,0.250045,0.001188,0.00118,11221,11,5000
45,5,1,MP,-7.619576,1103,0.250045,0.001188,0.00118,11221,11,5000
45,5,1,NK,-1.578028,1115,0.250045,0.001188,0.00118,11221,11,5000
45,5,1,SN,-7.531302,1106,0.250045,0.001188,0.00118,11221,11,5000
54,6,1,AN,-3.067482,1112,0.240054,0.001448,0.000946,13715,13,5000
54,6,1,BN,-5.364979,1111,0.240054,0.001448,0.000946,13715,13,5000
54,6,1,CN,-6.723621,1104,0.240054,0.001448,0.000946,13715,13,5000
54,6,1,DX,-6.325362,1115,0.240054,0.001448,0.000946,13715,13,5000
54,6,1,FN,-6.234554,1105,0.240054,0.001448,0.000946,13715,13,5000
54,6,1,JN,-8.735017,1106,0.240054,0.001448,0.000946,13715,13,5000
54,6,1,MP,-9.734285,1103,0.240054,0.001448,0.000946,13715,13,5000
54,6,1,NK,-0.279644,1115,0.240054,0.001448,0.000946,13715,13,5000
54,6,1,SN,-9.245355,1106,0.240054,0.001448,0.000946,13715,13,5000
63,7,1,AN,-2.789018,1112,0.230063,0.001422,0.002104,16209,16,5000
63,7,1,BN,-6.388586,1111,0.230063,0.001422,0.002104,16209,16,5000
63,7,1,CN,-6.388954,1104,0.230063,0.001422,0.002104,16209,16,5000
63,7,1,DX,-8.325338,1115,0.230063,0.001422,0.002104,16209,16,5000
63,7,1,FN,-6.024683,1105,0.230063,0.001422,0.002104,16209,16,5000
63,7,1,JN,-9.851576,1106,0.230063,0.001422,0.002104,16209,16,5000
63,7,1,MP,-5.171888,1103,0.230063,0.001422,0.002104,16209,16,5000
63,7,1,NK,-1.005364,1115,0.230063,0.001422,0.002104,16209,16,5000
63,7,1,SN,-9.071342,1106,0.230063,0.001422,0.002104,16209,16,5000
72,8,1,AN,-2.818385,1112,0.220072,0.001513,0.001957,18703,18,5000
72,8,1,BN,-4.702182,1111,0.220072,0.001513,0.001957,18703,18,5000
72,8,1,CN,-5.107273,1104,0.220072,0.001513,0.001957,18703,18,5000
72,8,1,DX,-8.392241,1115,0.220072,0.001513,0.001957,18703,18,5000
72,8,1,FN,-6.281221,1105,0.220072,0.001513,0.001957,18703,18,5000
72,8,1,JN,-9.041001,1106,0.220072,0.001513,0.001957,18703,18,5000
72,8,1,MP,-7.733948,1103,0.220072,0.001513,0.001957,18703,18,5000
72,8,1,NK,1.264641,1115,0.220072,0.001513,0.001957,18703,18,5000
72,8,1,SN,-10.028085,1106,0.220072,0.001513,0.001957,18703,18,5000
81,9,1,AN,-2.662991,1112,0.210081,0.001281,0.002125,21197,21,5000
81,9,1,BN,-5.44443,1111,0.210081,0.001281,0.002125,21197,21,5000
81,9,1,CN,-6.980484,1104,0.210081,0.001281,0.002125,21197,21,5000
81,9,1,DX,-5.853784,1115,0.210081,0.001281,0.002125,21197,21,5000
81,9,1,FN,-8.049239,1105,0.210081,0.001281,0.002125,21197,21,5000
81,9,1,JN,-8.535532,1106,0.210081,0.001281,0.002125,21197,21,5000
81,9,1,MP,-3.854656,1103,0.210081,0.001281,0.002125,21197,21,5000
81,9,1,NK,-1.060189,1115,0.210081,0.001281,0.002125,21197,21,5000
81,9,1,SN,-9.085084,1106,0.210081,0.001281,0.002125,21197,21,5000
90,10,1,AN,-3.401602,1112,0.20009,0.001273,0.001243,23691,23,5000
90,10,1,BN,-4.559047,1111,0.20009,0.001273,0.001243,23691,23,5000
90,10,1,CN,-5.372306,1104,0.20009,0.001273,0.001243,23691,23,5000
90,10,1,DX,-5.685926,1115,0.20009,0.001273,0.001243,23691,23,5000
90,10,1,FN,-6.378371,1105,0.20009,0.001273,0.001243,23691,23,5000
90,10,1,JN,-8.448834,1106,0.20009,0.001273,0.001243,23691,23,5000
90,10,1,MP,-5.197993,1103,0.20009,0.001273,0.001243,23691,23,5000
90,10,1,NK,0.760568,1115,0.20009,0.001273,0.001243,23691,23,5000
90,10,1,SN,-8.680765,1106,0.20009,0.001273,0.001243,23691,23,5000
99,11,1,AN,-1.878287,1112,0.190099,0.001336,0.002748,26185,26,5000
99,11,1,BN,-3.155181,1111,0.190099,0.001336,0.002748,26185,26,5000
99,11,1,CN,-4.867361,1104,0.190099,0.001336,0.002748,26185,26,5000
99,11,1,DX,-6.862344,1115,0.190099,0.001336,0.002748,26185,26,5000
99,11,1,FN,-4.599371,1105,0.190099,0.001336,0.002748,26185,26,5000
99,11,1,JN,-6.746353,1106,0.190099,0.001336,0.002748,26185,26,5000
99,11,1,MP,-2.835628,1103,0.190099,0.001336,0.002748,26185,26,5000
99,11,1,NK,0.329562,1115,0.190099,0.001336,0.002748,26185,26,5000
99,11,1,SN,-9.05737,1106,0.190099,0.001336,0.002748,26185,26,5000
108,12,1,AN,-2.277333,1112,0.180108,0.00127,0.001175,28679,28,5000
108,12,1,BN,-3.591318,1111,0.180108,0.00127,0.001175,28679,28,5000
108,12,1,CN,-3.000288,1104,0.180108,0.00127,0.001175,28679,28,5000
108,12,1,DX,-6.523509,1115,0.180108,0.00127,0.001175,28679,28,5000
108,12,1,FN,-5.533982,1105,0.180108,0.00127,0.001175,28679,28,5000
108,12,1,JN,-6.035855,1106,0.180108,0.00127,0.001175,28679,28,5000
108,12,1,MP,-4.965689,1103,0.180108,0.00127,0.001175,28679,28,5000
108,12,1,NK,0.522128,1115,0.180108,0.00127,0.001175,28679,28,5000
108,12,1,SN,-8.718507,1106,0.180108,0.00127,0.001175,28679,28,5000
117,13,1,AN,-0.915696,1112,0.170117,0.00127,0.001714,31173,31,5000
117,13,1,BN,-2.544,1111,0.170117,0.00127,0.001714,31173,31,5000
117,13,1,CN,-2.94636,1104,0.170117,0.00127,0.001714,31173,31,5000
117,13,1,DX,-4.077445,1115,0.170117,0.00127,0.001714,31173,31,5000
117,13,1,FN,-5.774719,1105,0.170117,0.00127,0.001714,31173,31,5000
117,13,1,JN,-7.182616,1106,0.170117,0.00127,0.001714,31173,31,5000
117,13,1,MP,-5.423135,1103,0.170117,0.00127,0.001714,31173,31,5000
117,13,1,NK,4.113078,1115,0.170117,0.00127,0.001714,31173,31,5000
117,13,1,SN,-5.671207,1106,0.170117,0.00127,0.001714,31173,31,5000
126,14,1,AN,-1.693855,1112,0.160126,0.001227,0.001677,33667,33,5000
126,14,1,BN,-1.091185,1111,0.160126,0.001227,0.001677,33667,33,5000
126,14,1,CN,-3.320783,1104,0.160126,0.001227,0.001677,33667,33,5000
126,14,1,DX,-3.899573,1115,0.160126,0.001227,0.001677,33667,33,5000
126,14,1,FN,-3.309552,1105,0.160126,0.001227,0.001677,33667,33,5000
126,14,1,JN,-5.116772,1106,0.160126,0.001227,0.001677,33667,33,5000
126,14,1,MP,-4.150674,1103,0.160126,0.001227,0.001677,33667,33,5000
126,14,1,NK,2.765894,1115,0.160126,0.001227,0.001677,33667,33,5000
126,14,1,SN,-6.17147,1106,0.160126,0.001227,0.001677,33667,33,5000
135,15,1,AN,-0.70771,1112,0.150135,0.001147,0.001426,36161,36,5000
135,15,1,BN,-2.459137,1111,0.150135,0.001147,0.001426,36161,36,5000
135,15,1,CN,-4.504835,1104,0.150135,0.001147,0.001426,36161,36,5000
135,15,1,DX,-5.095269,1115,0.150135,0.001147,0.001426,36161,36,5000
135,15,1,FN,-2.008375,1105,0.150135,0.001147,0.001426,36161,36,5000
135,15,1,JN,-5.219969,1106,0.150135,0.001147,0.001426,36161,36,5000
135,15,1,MP,-3.597855,1103,0.150135,0.001147,0.001426,36161,36,5000
135,15,1,NK,0.545865,1115,0.150135,0.001147,0.001426,36161,36,5000
135,15,1,SN,-4.712852,1106,0.150135,0.001147,0.001426,36161,36,5000
144,16,1,AN,0.403947,1112,0.140144,0.001141,0.001649,38655,38,5000
144,16,1,BN,-0.695653,1111,0.140144,0.001141,0.001649,38655,38,5000
144,16,1,CN,-2.911015,1104,0.140144,0.001141,0.001649,38655,38,5000
144,16,1,DX,-3.896513,1115,0.140144,0.001141,0.001649,38655,38,5000
144,16,1,FN,-3.489752,1105,0.140144,0.001141,0.001649,38655,38,5000
144,16,1,JN,-4.820375,1106,0.140144,0.001141,0.001649,38655,38,5000
144,16,1,MP,-3.621287,1103,0.140144,0.001141,0.001649,38655,38,5000
144,16,1,NK,4.787999,1115,0.140144,0.001141,0.001649,38655,38,5000
144,16,1,SN,-5.138031,1106,0.140144,0.001141,0.001649,38655,38,5000
153,17,1,AN,-0.637965,1112,0.130153,0.001106,0.001005,41149,41,5000
153,17,1,BN,-0.463809,1111,0.130153,0.001106,0.001005,41149,41,5000
153,17,1,CN,-3.215284,1104,0.130153,0.001106,0.001005,41149,41,5000
153,17,1,DX,-5.032525,1115,0.130153,0.001106,0.001005,41149,41,5000
153,17,1,FN,-4.758985,1105,0.130153,0.001106,0.001005,41149,41,5000
153,17,1,JN,-5.310298,1106,0.130153,0.001106,0.001005,41149,41,5000
153,17,1,MP,-3.352727,1103,0.130153,0.001106,0.001005,41149,41,5000
153,17,1,NK,1.736138,1115,0.130153,0.001106,0.001005,41149,41,5000
153,17,1,SN,-6.000174,1106,0.130153,0.001106,0.001005,41149,41,5000
162,18,1,AN,-0.338121,1112,0.120162,0.001085,0.001666,43643,43,5000
