date,asset,DQN_cum_return,Long_cum_return
2011-01-03,Fixed Income,0.0,0.001595
2011-01-04,Fixed Income,-0.037244,0.007418
2011-01-05,Fixed Income,-0.325595,-0.100292
2011-01-06,Fixed Income,-0.178769,-0.040123
2011-01-07,Fixed Income,-0.007667,0.01641
2011-01-10,Fixed Income,0.019174,0.023711
2011-01-11,Fixed Income,-0.057371,-0.004832
2011-01-12,Fixed Income,-0.20346,-0.077404
2011-01-13,Fixed Income,-0.094276,-0.069048
2011-01-14,Fixed Income,-0.181714,-0.099093
2011-01-17,Fixed Income,-0.170657,-0.090586
2011-01-18,Fixed Income,-0.27575,-0.130517
2011-01-19,Fixed Income,-0.214109,-0.11299
2011-01-20,Fixed Income,-0.47363,-0.213036
2011-01-21,Fixed Income,-0.405815,-0.199881
2011-01-24,Fixed Income,-0.375071,-0.18372
2011-01-25,Fixed Income,-0.188112,-0.126565
2011-01-26,Fixed Income,-0.42306,-0.21463
2011-01-27,Fixed Income,-0.348958,-0.200327
2011-01-28,Fixed Income,-0.226046,-0.159024
2011-01-31,Fixed Income,-0.342344,-0.204541
2011-02-01,Fixed Income,-0.490072,-0.250031
2011-02-02,Fixed Income,-0.584091,-0.28725
2011-02-03,Fixed Income,-0.618949,-0.268343
2011-02-04,Fixed Income,-0.845526,-0.354175
2011-02-07,Fixed Income,-0.805736,-0.330233
2011-02-08,Fixed Income,-0.945312,-0.38131
2011-02-09,Fixed Income,-0.815165,-0.347276
2011-02-10,Fixed Income,-0.957138,-0.390005
2011-02-11,Fixed Income,-0.828319,-0.340281
2011-02-14,Fixed Income,-0.784412,-0.329434
2011-02-15,Fixed Income,-0.750655,-0.313725
2011-02-16,Fixed Income,-0.697591,-0.287202
2011-02-17,Fixed Income,-0.540896,-0.219121
2011-02-18,Fixed Income,-0.623154,-0.259198
2011-02-21,Fixed Income,-0.468974,-0.191718
2011-02-22,Fixed Income,-0.195603,-0.114092
2011-02-23,Fixed Income,-0.231224,-0.129511
2011-02-24,Fixed Income,-0.187351,-0.110803
2011-02-25,Fixed Income,-0.145927,-0.101566
2011-02-28,Fixed Income,-0.146366,-0.106105
2011-03-01,Fixed Income,-0.123064,-0.105547
2011-03-02,Fixed Income,-0.321127,-0.179333
2011-03-03,Fixed Income,-0.641201,-0.319691
2011-03-04,Fixed Income,-0.411375,-0.240454
2011-03-07,Fixed Income,-0.444331,-0.25917
2011-03-08,Fixed Income,-0.558496,-0.293532
2011-03-09,Fixed Income,-0.40414,-0.239917
2011-03-10,Fixed Income,-0.187175,-0.160238
2011-03-11,Fixed Income,-0.165407,-0.153074
2011-03-14,Fixed Income,-0.092918,-0.13321
2011-03-15,Fixed Income,0.070769,-0.063353
2011-03-16,Fixed Income,0.365626,0.058476
2011-03-17,Fixed Income,0.192605,-0.02126
2011-03-18,Fixed Income,0.104846,-0.059977
2011-03-21,Fixed Income,0.001408,-0.114584
2011-03-22,Fixed Income,-0.012326,-0.123351
2011-03-23,Fixed Income,0.010161,-0.109893
2011-03-24,Fixed Income,-0.077485,-0.159805
2011-03-25,Fixed Income,-0.216007,-0.200174
2011-03-28,Fixed Income,-0.210674,-0.200069
2011-03-29,Fixed Income,-0.379972,-0.267029
2011-03-30,Fixed Income,-0.275531,-0.230113
2011-03-31,Fixed Income,-0.32171,-0.255525
2011-04-01,Fixed Income,-0.322648,-0.258429
2011-04-04,Fixed Income,-0.303289,-0.253282
2011-04-05,Fixed Income,-0.431826,-0.296922
2011-04-06,Fixed Income,-0.610178,-0.355118
2011-04-07,Fixed Income,-0.613518,-0.346845
2011-04-08,Fixed Income,-0.717227,-0.400016
2011-04-11,Fixed Income,-0.729846,-0.406356
2011-04-12,Fixed Income,-0.489669,-0.315622
2011-04-13,Fixed Income,-0.372753,-0.275697
2011-04-14,Fixed Income,-0.428831,-0.30071
2011-04-15,Fixed Income,-0.158753,-0.207155
2011-04-18,Fixed Income,0.098721,-0.099835
2011-04-19,Fixed Income,0.092847,-0.114863
2011-04-20,Fixed Income,-0.028224,-0.161804
2011-04-21,Fixed Income,-0.014965,-0.129822
2011-04-25,Fixed Income,0.164763,-0.080036
2011-04-26,Fixed Income,0.273079,-0.024054
2011-04-27,Fixed Income,0.165325,-0.090836
2011-04-28,Fixed Income,0.199264,-0.026935
2011-04-29,Fixed Income,0.221901,0.012243
2011-05-02,Fixed Income,0.241735,0.012105
2011-05-03,Fixed Income,0.28822,0.02024
2011-05-04,Fixed Income,0.329369,0.009362
2011-05-05,Fixed Income,0.400808,0.125304
2011-05-06,Fixed Income,0.40375,0.163923
2011-05-09,Fixed Income,0.415487,0.203214
2011-05-10,Fixed Income,0.391341,0.151849
2011-05-11,Fixed Income,0.391341,0.203968
2011-05-12,Fixed Income,0.391341,0.160967
2011-05-13,Fixed Income,0.391341,0.222496
2011-05-16,Fixed Income,0.391341,0.235083
2011-05-17,Fixed Income,0.391341,0.258705
2011-05-18,Fixed Income,0.391341,0.199359
2011-05-19,Fixed Income,0.391341,0.206881
2011-05-20,Fixed Income,0.391341,0.262698
2011-05-23,Fixed Income,0.391341,0.313152
2011-05-24,Fixed Income,0.391341,0.307073
2011-05-25,Fixed Income,0.391341,0.312187
2011-05-26,Fixed Income,0.391341,0.411538
2011-05-27,Fixed Income,0.391341,0.420154
2011-05-30,Fixed Income,0.391341,0.421558
2011-05-31,Fixed Income,0.391341,0.395398
2011-06-01,Fixed Income,0.391341,0.516734
2011-06-02,Fixed Income,0.391341,0.424323
2011-06-03,Fixed Income,0.391341,0.437347
