date,asset,DQN_drawdown,Long_drawdown
2011-01-03,Commodity,0.0,0.0
2011-01-04,Commodity,-0.17911,-0.810661
2011-01-05,Commodity,-0.208107,-0.630885
2011-01-06,Commodity,-0.502757,-0.913724
2011-01-07,Commodity,-0.902589,-1.148826
2011-01-10,Commodity,-0.522912,-0.875916
2011-01-11,Commodity,-0.088823,-0.432711
2011-01-12,Commodity,0.0,-0.022889
2011-01-13,Commodity,0.0,-0.020549
2011-01-14,Commodity,0.0,-0.082344
2011-01-18,Commodity,0.0,0.0
2011-01-19,Commodity,0.0,-0.094472
2011-01-20,Commodity,-0.486748,-0.22045
2011-01-21,Commodity,-0.31078,0.0
2011-01-24,Commodity,-0.250207,0.0
2011-01-25,Commodity,-0.650611,-0.530513
2011-01-26,Commodity,-0.305606,0.0
2011-01-27,Commodity,-0.507291,-0.135574
2011-01-28,Commodity,-0.096696,0.0
2011-01-31,Commodity,0.0,0.0
2011-02-01,Commodity,0.0,0.0
2011-02-02,Commodity,0.0,0.0
2011-02-03,Commodity,0.0,-0.012718
2011-02-04,Commodity,-0.391704,-0.207361
2011-02-07,Commodity,-0.63609,-0.406432
2011-02-08,Commodity,-0.440881,-0.249491
2011-02-09,Commodity,-0.435074,-0.014398
2011-02-10,Commodity,-0.312642,-0.041859
2011-02-11,Commodity,-0.192014,-0.19414
2011-02-14,Commodity,-0.024839,0.0
2011-02-15,Commodity,0.0,-0.350011
2011-02-16,Commodity,0.0,-0.296542
2011-02-17,Commodity,0.0,0.0
2011-02-18,Commodity,-0.05394,-0.157257
2011-02-22,Commodity,0.0,-0.506032
2011-02-23,Commodity,0.0,-0.530907
2011-02-24,Commodity,-0.126807,-0.749292
2011-02-25,Commodity,0.0,-0.150161
2011-02-28,Commodity,0.0,-0.107148
2011-03-01,Commodity,0.0,0.0
2011-03-02,Commodity,0.0,0.0
2011-03-03,Commodity,-0.081236,0.0
2011-03-04,Commodity,-0.016788,0.0
2011-03-07,Commodity,-0.106599,-0.207122
2011-03-08,Commodity,-0.240001,-0.356961
2011-03-09,Commodity,-0.721252,-0.389141
2011-03-10,Commodity,-1.046078,-1.132938
2011-03-11,Commodity,-1.195675,-1.376833
2011-03-14,Commodity,-1.35005,-1.587689
2011-03-15,Commodity,-1.961747,-2.889604
2011-03-16,Commodity,-2.142157,-3.038357
2011-03-17,Commodity,-1.370477,-2.10606
2011-03-18,Commodity,-1.252621,-1.842311
2011-03-21,Commodity,-1.219033,-1.626866
2011-03-22,Commodity,-1.22882,-1.531017
2011-03-23,Commodity,-1.157452,-1.45837
2011-03-24,Commodity,-1.356448,-1.200664
2011-03-25,Commodity,-1.16901,-0.944656
2011-03-28,Commodity,-1.15991,-1.251407
2011-03-29,Commodity,-1.242023,-1.411788
2011-03-30,Commodity,-1.290059,-1.395454
2011-03-31,Commodity,-1.012784,-0.830258
2011-04-01,Commodity,-1.011414,-0.832347
2011-04-04,Commodity,-1.052048,-0.604163
2011-04-05,Commodity,-1.157544,-0.477946
2011-04-06,Commodity,-1.099761,-0.622619
2011-04-07,Commodity,-0.82641,-0.812335
2011-04-08,Commodity,-0.745414,-0.387397
2011-04-11,Commodity,-0.852126,-0.463702
2011-04-12,Commodity,-0.985503,-1.18377
2011-04-13,Commodity,-1.053247,-1.02613
2011-04-14,Commodity,-0.824746,-0.867942
2011-04-15,Commodity,-0.758614,-0.781993
2011-04-18,Commodity,-1.175398,-0.901838
2011-04-19,Commodity,-1.162817,-0.632367
2011-04-20,Commodity,-0.970923,-0.325172
2011-04-21,Commodity,-1.168767,-0.252169
2011-04-25,Commodity,-1.564018,-0.208191
2011-04-26,Commodity,-1.430547,-0.448895
2011-04-27,Commodity,-1.404279,-0.54721
2011-04-28,Commodity,-1.197879,-0.596664
2011-04-29,Commodity,-1.32244,-0.08177
2011-05-02,Commodity,-1.054884,-0.256064
2011-05-03,Commodity,-0.921573,-0.620417
2011-05-04,Commodity,-1.033145,-1.280102
2011-05-05,Commodity,-1.676039,-2.56237
2011-05-06,Commodity,-1.803678,-2.605118
2011-05-09,Commodity,-1.636596,-2.343252
2011-05-10,Commodity,-1.628406,-2.062961
2011-05-11,Commodity,-2.157049,-2.716058
2011-05-12,Commodity,-2.368404,-2.611547
2011-05-13,Commodity,-2.383475,-2.644641
2011-05-16,Commodity,-2.390197,-2.725367
2011-05-17,Commodity,-2.470064,-2.684284
2011-05-18,Commodity,-2.144059,-2.195447
2011-05-19,Commodity,-2.053659,-2.336446
2011-05-20,Commodity,-2.011125,-2.240098
2011-05-23,Commodity,-1.811387,-2.701157
2011-05-24,Commodity,-1.719123,-2.619469
2011-05-25,Commodity,-1.687965,-2.032926
2011-05-26,Commodity,-1.749476,-1.983435
2011-05-27,Commodity,-1.754512,-1.787311
2011-05-31,Commodity,-1.787521,-1.617091
2011-06-01,Commodity,-1.661303,-2.025786
2011-06-02,Commodity,-1.803101,-1.967918
2011-06-03,Commodity,-1.775039,-1.908743
2011-06-06,Commodity,-1.768956,-2.078614
2011-06-07,Commodity,-1.650301,-1.978089
2011-06-08,Commodity,-1.705661,-1.771791
2011-06-09,Commodity,-1.706039,-1.582206
2011-06-10,Commodity,-1.804233,-1.785943
2011-06-13,Commodity,-1.935304,-2.052199
2011-06-14,Commodity,-1.921216,-1.946664
2011-06-15,Commodity,-2.082602,-2.467346
2011-06-16,Commodity,-2.21036,-2.602041
2011-06-17,Commodity,-2.280168,-2.607491
2011-06-20,Commodity,-2.403632,-2.453107
2011-06-21,Commodity,-2.205908,-2.115831
2011-06-22,Commodity,-2.230032,-2.296524
2011-06-23,Commodity,-2.550649,-2.862701
2011-06-24,Commodity,-2.809331,-2.96138
2011-06-27,Commodity,-2.625059,-3.256477
2011-06-28,Commodity,-2.825173,-2.867158
2011-06-29,Commodity,-2.759571,-2.508006
2011-06-30,Commodity,-2.234981,-2.661
2011-07-01,Commodity,-2.26487,-2.638216
2011-07-05,Commodity,-2.364837,-2.131862
2011-07-06,Commodity,-2.106932,-2.196922
2011-07-07,Commodity,-2.322883,-1.546103
2011-07-08,Commodity,-2.371864,-1.565909
2011-07-11,Commodity,-2.369591,-1.773984
2011-07-12,Commodity,-2.514259,-1.41515
2011-07-13,Commodity,-2.373882,-0.815786
2011-07-14,Commodity,-2.223828,-1.004115
2011-07-15,Commodity,-2.253375,-0.874849
2011-07-18,Commodity,-2.306639,-0.937103
2011-07-19,Commodity,-2.424108,-0.827937
