year,asset,DQN_return,Long_return
2011,Commodity,-0.111554,-0.640434
2012,Commodity,-3.320964,-0.30733
2013,Commodity,0.727632,-1.506048
2014,Commodity,-1.785963,-0.842105
2015,Commodity,-2.834121,-2.222953
2016,Commodity,-0.632245,-0.148713
2017,Commodity,-0.413952,-0.03177
2018,Commodity,0.443292,-1.121449
2019,Commodity,-1.658536,0.851636
2011,Equity Index,-0.109735,-0.376132
2012,Equity Index,-0.320323,0.710684
2013,Equity Index,0.59436,2.067815
2014,Equity Index,-1.541718,0.408378
2015,Equity Index,-0.778756,-0.255598
2016,Equity Index,0.564768,0.694139
2017,Equity Index,-1.714842,2.152767
2018,Equity Index,-1.813347,-0.759713
2019,Equity Index,0.97346,1.53411
2011,Fixed Income,1.378413,1.876019
2012,Fixed Income,0.550959,0.765028
2013,Fixed Income,-1.312291,-1.140777
2014,Fixed Income,2.0608,2.683461
2015,Fixed Income,-0.751153,-0.097801
2016,Fixed Income,-0.980166,0.523384
2017,Fixed Income,-0.161063,0.032769
2018,Fixed Income,-1.319744,0.159127
2019,Fixed Income,0.018009,1.097009
2011,Forex,-0.8327,0.0182
2012,Forex,-2.18307,0.335578
2013,Forex,-1.986273,-0.419753
2014,Forex,-3.18823,-2.145758
2015,Forex,-1.650398,-0.80808
2016,Forex,-0.369286,-0.74059
2017,Forex,-4.197692,1.258337
2018,Forex,-0.503919,-0.99639
2019,Forex,-0.161814,0.001166
