episode,reward,steps,epsilon_end,last_loss
1,-10.383344,1261,0.293695,0.00089
2,-7.937603,1261,0.28739,0.0004
3,-10.013495,1261,0.281085,0.001486
4,-6.851791,1261,0.27478,0.000422
5,-8.488484,1261,0.268475,0.001182
6,-8.561442,1261,0.26217,0.000475
7,-9.051658,1261,0.255865,0.000519
8,-7.775323,1261,0.24956,0.000574
9,-8.624747,1261,0.243255,0.000958
10,-6.348002,1261,0.23695,0.000609
11,-7.299433,1261,0.230645,0.000641
12,-5.562375,1261,0.22434,0.00021
13,-8.039227,1261,0.218035,0.000617
14,-5.479271,1261,0.21173,0.000583
15,-6.001663,1261,0.205425,0.000608
16,-4.664077,1261,0.19912,0.000313
17,-6.187376,1261,0.192815,0.001003
18,-5.234246,1261,0.18651,0.00062
19,-5.784344,1261,0.180205,0.00055
20,-7.318685,1261,0.1739,0.000806
21,-5.168787,1261,0.167595,0.000214
22,-6.013246,1261,0.16129,0.000311
23,-6.227287,1261,0.154985,0.000336
24,-4.349633,1261,0.14868,0.000185
25,-4.674732,1261,0.142375,0.000336
26,-4.664253,1261,0.13607,0.00018
27,-4.258619,1261,0.129765,0.000169
28,-4.729626,1261,0.12346,0.000647
29,-3.017006,1261,0.117155,0.000153
30,-4.254955,1261,0.11085,0.000299
31,-3.427123,1261,0.104545,0.000122
32,-3.03846,1261,0.09824,0.000233
33,-1.533943,1261,0.091935,0.001066
34,-2.954444,1261,0.08563,0.000481
35,-2.237653,1261,0.079325,0.00027
36,-2.52565,1261,0.07302,0.000229
37,-3.724877,1261,0.066715,0.00016
38,-2.061595,1261,0.06041,2.5e-05
39,-1.829139,1261,0.054105,0.000133
40,-1.563676,1261,0.05,0.000123
41,-1.692402,1261,0.05,0.000282
42,-1.618412,1261,0.05,2.9e-05
43,-1.379109,1261,0.05,0.000117
44,-1.4124,1261,0.05,6.1e-05
45,-1.70696,1261,0.05,0.000855
46,-1.841404,1261,0.05,2.3e-05
47,-1.546439,1261,0.05,0.00034
48,-1.45712,1261,0.05,2.5e-05
49,-2.359934,1261,0.05,0.000142
50,-2.85951,1261,0.05,0.000277
51,-2.634432,1261,0.05,0.000166
52,-1.593491,1261,0.05,2.9e-05
53,-1.368416,1261,0.05,0.000394
54,-1.033412,1261,0.05,0.000103
55,-1.257512,1261,0.05,4.7e-05
56,-1.351167,1261,0.05,2e-05
57,-1.471597,1261,0.05,0.000497
58,-2.141714,1261,0.05,2.6e-05
59,-1.826766,1261,0.05,0.000198
60,-2.063278,1261,0.05,0.000147
61,-2.165743,1261,0.05,9.2e-05
62,-2.353573,1261,0.05,0.000113
63,-1.424043,1261,0.05,0.000518
64,-2.126526,1261,0.05,0.000273
65,-1.313914,1261,0.05,0.000219
66,-0.940661,1261,0.05,9.4e-05
67,-1.555413,1261,0.05,0.000239
68,-1.170408,1261,0.05,0.000191
69,-1.590957,1261,0.05,5.3e-05
70,-1.567621,1261,0.05,0.000332
71,-1.566715,1261,0.05,0.000752
72,-2.361263,1261,0.05,0.000606
73,-2.032298,1261,0.05,6e-05
74,-1.315595,1261,0.05,0.000293
75,-2.072029,1261,0.05,0.000535
76,-1.131797,1261,0.05,6e-05
77,-1.762815,1261,0.05,0.000195
78,-1.812096,1261,0.05,7.1e-05
79,-1.962649,1261,0.05,0.000109
80,-1.234534,1261,0.05,6.9e-05
81,-1.06009,1261,0.05,0.000152
82,-2.115715,1261,0.05,0.000343
83,-1.551885,1261,0.05,0.000103
84,-1.894547,1261,0.05,0.00054
85,-1.807607,1261,0.05,0.000273
86,-1.971472,1261,0.05,5.1e-05
