episode,reward,steps,epsilon_end,last_loss
1,-1.387238,1500,0.2925,0.002385
2,2.551861,1500,0.285,0.002277
3,-1.071262,1500,0.2775,0.001857
4,2.213876,1500,0.27,0.003199
5,-2.029108,1500,0.2625,0.003047
6,-4.122668,1500,0.255,0.00311
7,0.233627,1500,0.2475,0.002149
8,-1.592307,1500,0.24,0.002632
9,0.439367,1500,0.2325,0.002479
10,-1.386668,1500,0.225,0.002718
11,-1.491237,1500,0.2175,0.003677
12,-2.29018,1500,0.21,0.002799
13,1.993305,1500,0.2025,0.002132
14,1.018031,1500,0.195,0.003611
15,2.789075,1500,0.1875,0.002919
16,-0.199556,1500,0.18,0.002525
17,0.730656,1500,0.1725,0.002703
18,1.415017,1500,0.165,0.003068
19,0.46247,1500,0.1575,0.002207
20,1.99938,1500,0.15,0.002954
21,0.780649,1500,0.1425,0.00223
22,1.535643,1500,0.135,0.002767
23,1.86837,1500,0.1275,0.002973
24,1.199,1500,0.12,0.002865
25,1.016542,1500,0.1125,0.00252
26,2.983396,1500,0.105,0.003777
27,2.176139,1500,0.0975,0.002266
28,1.471971,1500,0.09,0.003305
29,4.263613,1500,0.0825,0.003121
30,3.283596,1500,0.075,0.003861
31,3.241852,1500,0.0675,0.003546
32,2.680856,1500,0.06,0.003173
33,3.408027,1500,0.0525,0.002357
34,4.009854,1500,0.05,0.002932
35,2.050119,1500,0.05,0.002842
36,2.891827,1500,0.05,0.004267
37,4.707266,1500,0.05,0.004473
38,3.2174,1500,0.05,0.003472
39,3.059911,1500,0.05,0.002741
40,3.180789,1500,0.05,0.002956
41,3.608231,1500,0.05,0.002543
42,3.814783,1500,0.05,0.003675
43,3.083351,1500,0.05,0.004503
44,2.092935,1500,0.05,0.004185
45,4.300501,1500,0.05,0.0038
46,2.44062,1500,0.05,0.003131
47,3.697884,1500,0.05,0.005207
48,3.434617,1500,0.05,0.003625
49,3.20237,1500,0.05,0.002173
50,3.134091,1500,0.05,0.002996
51,3.761793,1500,0.05,0.002632
52,3.938475,1500,0.05,0.007214
53,3.744713,1500,0.05,0.003795
54,3.715643,1500,0.05,0.00507
55,3.139714,1500,0.05,0.003042
56,3.234668,1500,0.05,0.003043
57,3.495362,1500,0.05,0.003891
