episode,cycle,round,ticker,reward,steps,epsilon_end,mean_loss,last_loss,learn_steps,target_updates,replay_size
1,1,1,ZN,-4.275301,1102,0.29449,0.002746,0.002604,1039,1,1102
2,1,1,ZF,-17.872341,1106,0.28896,0.003111,0.00477,2145,2,2208
3,1,1,ZU,-5.723695,1101,0.283455,0.003139,0.003506,3246,3,3309
4,1,1,ZK,-5.021041,1104,0.277935,0.002828,0.002168,4350,4,4413
5,1,1,ZG,-6.914828,1105,0.27241,0.002537,0.003131,5455,5,5000
6,1,1,DA,-3.318677,1100,0.26691,0.002286,0.00154,6555,6,5000
7,1,1,ZO,-3.891377,1105,0.261385,0.001847,0.001613,7660,7,5000
8,1,1,KW,-3.95447,1106,0.255855,0.001627,0.000884,8766,8,5000
9,1,1,ZZ,-4.003934,1106,0.250325,0.001436,0.002507,9872,9,5000
10,1,1,ZI,-7.107777,1105,0.2448,0.001338,0.001219,10977,10,5000
11,1,1,ZW,-4.912656,1106,0.23927,0.001209,0.000645,12083,12,5000
12,1,1,ZT,-6.296551,1106,0.23374,0.001049,0.000641,13189,13,5000
13,1,1,ZR,-8.083535,1106,0.22821,0.000965,0.00039,14295,14,5000
14,1,1,SB,-3.796311,1100,0.22271,0.000951,0.000828,15395,15,5000
15,1,1,LB,-3.194937,1106,0.21718,0.00093,0.00102,16501,16,5000
16,1,1,CC,-0.166349,1100,0.21168,0.000932,0.001124,17601,17,5000
17,1,1,ZP,-2.536104,1105,0.206155,0.001072,0.001478,18706,18,5000
18,1,1,GI,-0.228558,1106,0.200625,0.001152,0.00059,19812,19,5000
19,1,1,KC,-3.325222,1100,0.195125,0.001192,0.000945,20912,20,5000
20,1,1,ZL,-1.336331,1106,0.189595,0.00127,0.001356,22018,22,5000
21,1,1,ZH,-1.921215,1103,0.18408,0.001396,0.001464,23121,23,5000
22,1,1,JO,-3.84144,1100,0.17858,0.001575,0.001498,24221,24,5000
23,1,1,ZC,0.786809,1106,0.17305,0.001751,0.001777,25327,25,5000
24,1,1,NR,-3.800138,1106,0.16752,0.00178,0.003299,26433,26,5000
25,2,1,ZR,-7.7785,1106,0.16199,0.0019,0.001146,27539,27,5000
26,2,1,ZP,1.545574,1105,0.156465,0.001861,0.00158,28644,28,5000
27,2,1,ZG,-3.508221,1105,0.15094,0.001809,0.001791,29749,29,5000
28,2,1,ZN,-5.099595,1102,0.14543,0.001779,0.002262,30851,30,5000
29,2,1,KW,-5.455593,1106,0.1399,0.001733,0.001584,31957,31,5000
30,2,1,LB,-1.738795,1106,0.13437,0.001582,0.001336,33063,33,5000
31,2,1,ZF,-5.246897,1106,0.12884,0.001476,0.001987,34169,34,5000
32,2,1,CC,0.805997,1100,0.12334,0.001346,0.002392,35269,35,5000
33,2,1,ZK,-3.76151,1104,0.11782,0.00134,0.000812,36373,36,5000
34,2,1,JO,1.23822,1100,0.11232,0.001493,0.002228,37473,37,5000
35,2,1,NR,-2.61091,1106,0.10679,0.001582,0.001646,38579,38,5000
36,2,1,ZW,-2.855484,1106,0.10126,0.001807,0.0017,39685,39,5000
37,2,1,ZL,0.880414,1106,0.09573,0.001944,0.003011,40791,40,5000
38,2,1,GI,0.982286,1106,0.0902,0.001944,0.001583,41897,41,5000
39,2,1,SB,-1.534059,1100,0.0847,0.001944,0.003153,42997,42,5000
40,2,1,ZU,1.081445,1101,0.079195,0.00201,0.001966,44098,44,5000
41,2,1,ZT,-4.486758,1106,0.073665,0.002044,0.001881,45204,45,5000
42,2,1,KC,-1.49492,1100,0.068165,0.00207,0.001298,46304,46,5000
43,2,1,ZI,0.03907,1105,0.06264,0.002049,0.001846,47409,47,5000
44,2,1,DA,-1.950371,1100,0.05714,0.002127,0.001545,48509,48,5000
45,2,1,ZO,-1.334614,1105,0.051615,0.002109,0.002592,49614,49,5000
46,2,1,ZC,0.320619,1106,0.05,0.002057,0.001464,50720,50,5000
47,2,1,ZZ,-2.241066,1106,0.05,0.002014,0.002074,51826,51,5000
48,2,1,ZH,0.4939,1103,0.05,0.001937,0.002548,52929,52,5000
49,3,1,SB,2.622981,1100,0.05,0.001853,0.001227,54029,54,5000
50,3,1,DA,7.089277,1100,0.05,0.001792,0.001583,55129,55,5000
51,3,1,ZU,2.899375,1101,0.05,0.001961,0.001678,56230,56,5000
52,3,1,LB,-0.090918,1106,0.05,0.002119,0.001886,57336,57,5000
53,3,1,ZL,1.72478,1106,0.05,0.002325,0.00301,58442,58,5000
54,3,1,ZW,-4.352376,1106,0.05,0.002593,0.002719,59548,59,5000
55,3,1,ZK,-0.297108,1104,0.05,0.002666,0.002656,60652,60,5000
56,3,1,ZP,2.687389,1105,0.05,0.002639,0.002984,61757,61,5000
57,3,1,ZH,3.229277,1103,0.05,0.002685,0.001838,62860,62,5000
58,3,1,NR,-1.83719,1106,0.05,0.002552,0.002055,63966,63,5000
59,3,1,KW,0.813737,1106,0.05,0.002329,0.001911,65072,65,5000
60,3,1,ZN,-2.912412,1102,0.05,0.002153,0.001741,66174,66,5000
61,3,1,ZG,1.569648,1105,0.05,0.002097,0.001557,67279,67,5000
62,3,1,CC,2.104648,1100,0.05,0.002111,0.002156,68379,68,5000
63,3,1,ZC,-1.882364,1106,0.05,0.002227,0.002338,69485,69,5000
64,3,1,ZO,-0.867308,1105,0.05,0.002393,0.00234,70590,70,5000
65,3,1,KC,0.191542,1100,0.05,0.002465,0.002274,71690,71,5000
66,3,1,GI,-0.610864,1106,0.05,0.00247,0.001945,72796,72,5000
67,3,1,ZF,-5.607077,1106,0.05,0.002347,0.002483,73902,73,5000
68,3,1,ZT,-2.769318,1106,0.05,0.002076,0.002308,75008,75,5000
69,3,1,ZZ,-0.029263,1106,0.05,0.001932,0.001364,76114,76,5000
70,3,1,ZI,1.430115,1105,0.05,0.001844,0.001224,77219,77,5000
71,3,1,JO,4.261309,1100,0.05,0.001906,0.002599,78319,78,5000
72,3,1,ZR,-0.900488,1106,0.05,0.002049,0.001281,79425,79,5000
73,4,1,ZR,0.627912,1106,0.05,0.001999,0.001098,80531,80,5000
74,4,1,ZP,1.916882,1105,0.05,0.002088,0.00165,81636,81,5000
75,4,1,ZG,2.677665,1105,0.05,0.002046,0.001966,82741,82,5000
76,4,1,ZZ,0.571309,1106,0.05,0.002035,0.001115,83847,83,5000
77,4,1,DA,0.08288,1100,0.05,0.002268,0.003912,84947,84,5000
78,4,1,ZT,-1.628486,1106,0.05,0.002361,0.002211,86053,86,5000
79,4,1,SB,2.518221,1100,0.05,0.002366,0.001745,87153,87,5000
80,4,1,KW,-2.479296,1106,0.05,0.002285,0.002162,88259,88,5000
81,4,1,LB,-2.589301,1106,0.05,0.002178,0.00222,89365,89,5000
82,4,1,KC,-2.999498,1100,0.05,0.002028,0.001912,90465,90,5000
83,4,1,GI,2.032305,1106,0.05,0.00183,0.001899,91571,91,5000
84,4,1,NR,0.61632,1106,0.05,0.001736,0.001624,92677,92,5000
85,4,1,ZN,-0.661306,1102,0.05,0.001583,0.001929,93779,93,5000
86,4,1,ZF,-2.974687,1106,0.05,0.001349,0.000675,94885,94,5000
87,4,1,ZO,0.021915,1105,0.05,0.001191,0.00123,95990,95,5000
88,4,1,ZW,-1.536402,1106,0.05,0.0012,0.000673,97096,97,5000
89,4,1,ZH,2.572567,1103,0.05,0.001276,0.001549,98199,98,5000
90,4,1,ZC,-2.320575,1106,0.05,0.001394,0.001785,99305,99,5000
91,4,1,JO,2.405539,1100,0.05,0.001538,0.000681,100405,100,5000
92,4,1,CC,-0.920963,1100,0.05,0.001565,0.002149,101505,101,5000
93,4,1,ZU,0.974385,1101,0.05,0.001497,0.001417,102606,102,5000
94,4,1,ZK,-3.263819,1104,0.05,0.001403,0.001018,103710,103,5000
95,4,1,ZI,1.058829,1105,0.05,0.001361,0.001399,104815,104,5000
96,4,1,ZL,1.013403,1106,0.05,0.001488,0.001566,105921,105,5000
97,5,1,SB,-1.06756,1100,0.05,0.00166,0.001543,107021,107,5000
98,5,1,KW,-0.443216,1106,0.05,0.001676,0.001213,108127,108,5000
99,5,1,LB,-3.446582,1106,0.05,0.001762,0.001662,109233,109,5000
100,5,1,ZU,1.675562,1101,0.05,0.001805,0.00207,110334,110,5000
101,5,1,ZL,5.09811,1106,0.05,0.001682,0.001667,111440,111,5000
102,5,1,ZC,2.354592,1106,0.05,0.00161,0.001059,112546,112,5000
103,5,1,ZW,0.442366,1106,0.05,0.00152,0.001646,113652,113,5000
104,5,1,ZF,-4.718936,1106,0.05,0.001455,0.000979,114758,114,5000
105,5,1,ZN,-2.273979,1102,0.05,0.001326,0.001607,115860,115,5000
106,5,1,JO,3.618271,1100,0.05,0.001255,0.000908,116960,116,5000
107,5,1,ZK,-2.181339,1104,0.05,0.001353,0.001654,118064,118,5000
108,5,1,ZI,2.616768,1105,0.05,0.001351,0.00062,119169,119,5000
109,5,1,ZH,2.759869,1103,0.05,0.001443,0.001101,120272,120,5000
110,5,1,DA,-0.332948,1100,0.05,0.001697,0.001154,121372,121,5000
111,5,1,CC,-0.151599,1100,0.05,0.001804,0.000799,122472,122,5000
112,5,1,ZG,2.329792,1105,0.05,0.001877,0.003155,123577,123,5000
113,5,1,NR,0.868051,1106,0.05,0.001963,0.002619,124683,124,5000
114,5,1,ZP,1.562542,1105,0.05,0.002119,0.001926,125788,125,5000
115,5,1,ZR,-1.819864,1106,0.05,0.001938,0.002858,126894,126,5000
116,5,1,ZO,-1.207504,1105,0.05,0.00187,0.002049,127999,127,5000
117,5,1,KC,-0.842505,1100,0.05,0.001856,0.001743,129099,129,5000
118,5,1,ZT,-3.278681,1106,0.05,0.001647,0.00147,130205,130,5000
119,5,1,GI,0.907621,1106,0.05,0.001638,0.002159,131311,131,5000
120,5,1,ZZ,0.141448,1106,0.05,0.001717,0.001785,132417,132,5000
121,6,1,GI,5.095392,1106,0.05,0.001804,0.002533,133523,133,5000
122,6,1,ZO,3.353077,1105,0.05,0.001952,0.001835,134628,134,5000
123,6,1,ZP,0.223577,1105,0.05,0.002013,0.002278,135733,135,5000
124,6,1,ZZ,3.556259,1106,0.05,0.002084,0.001047,136839,136,5000
125,6,1,ZW,-0.156392,1106,0.05,0.002006,0.002035,137945,137,5000
126,6,1,ZU,2.018499,1101,0.05,0.001919,0.001535,139046,139,5000
127,6,1,KC,-1.522991,1100,0.05,0.002024,0.001912,140146,140,5000
