ticker,round,episodes_seen,transitions_added,avg_reward,avg_loss,last_reward,last_loss
CC,1,1,1100,1.295875,0.001834,1.295875,2e-06
DA,1,1,1100,2.088252,0.001834,2.088252,2e-06
GI,1,1,1106,2.352959,0.001834,2.352959,2e-06
JO,1,1,1100,-0.423873,0.001834,-0.423873,2e-06
KC,1,1,1100,-1.387243,0.001834,-1.387243,2e-06
KW,1,1,1106,-0.366317,0.001834,-0.366317,2e-06
LB,1,1,1106,-2.178365,0.001834,-2.178365,2e-06
NR,1,1,1106,1.324753,0.001834,1.324753,2e-06
SB,1,1,1100,2.91499,0.001834,2.91499,2e-06
ZC,1,1,1106,0.880584,0.001834,0.880584,2e-06
ZF,1,1,1106,-2.924078,0.001834,-2.924078,2e-06
ZG,1,1,1105,0.844643,0.001834,0.844643,2e-06
ZH,1,1,1103,0.089781,0.001834,0.089781,2e-06
ZI,1,1,1105,0.515903,0.001834,0.515903,2e-06
ZK,1,1,1104,-1.164726,0.001834,-1.164726,2e-06
ZL,1,1,1106,0.229252,0.001834,0.229252,2e-06
ZN,1,1,1102,1.067187,0.001834,1.067187,2e-06
ZO,1,1,1105,-0.336401,0.001834,-0.336401,2e-06
ZP,1,1,1105,0.164244,0.001834,0.164244,2e-06
ZR,1,1,1106,2.668224,0.001834,2.668224,2e-06
ZT,1,1,1106,-1.693439,0.001834,-1.693439,2e-06
ZU,1,1,1101,1.358011,0.001834,1.358011,2e-06
ZW,1,1,1106,-0.14526,0.001834,-0.14526,2e-06
ZZ,1,1,1106,-2.5866,0.001834,-2.5866,2e-06
