ticker,round,episodes_seen,transitions_added,avg_reward,avg_loss,last_reward,last_loss
CC,2,21,31500,-1.72526,0.001995,-4.651886,0.003023
DA,2,21,31500,-3.462635,0.001937,-6.341482,0.002447
GI,2,21,31500,-1.037989,0.001852,0.744752,0.001217
JO,2,21,31500,-1.361295,0.001844,-4.248188,0.00229
KC,2,21,31500,-1.936845,0.001915,-0.984821,0.00253
KW,2,21,31500,-3.016552,0.00184,-0.675823,0.002616
LB,2,21,31500,-0.766242,0.00177,0.425596,0.002102
NR,2,21,31500,-1.281816,0.001875,-3.66651,0.002409
SB,2,21,31500,-1.640578,0.001892,0.075296,0.004526
ZC,2,21,31500,-1.161316,0.001833,0.719267,0.002342
ZF,2,21,31500,-8.480184,0.001722,-12.79495,0.001111
ZG,2,21,31500,-3.002563,0.001893,-5.627428,0.002401
ZH,2,21,31500,-1.744967,0.001913,0.745144,0.001431
ZI,2,21,31500,-2.058904,0.001824,-2.377457,0.002821
ZK,2,21,31500,-1.726445,0.001798,-2.050443,0.002886
ZL,2,21,31500,-2.306929,0.001877,-3.527994,0.002446
ZN,2,21,31500,-5.221961,0.001806,-6.555228,0.002034
ZO,2,21,31500,0.064344,0.001839,0.281564,0.001738
ZP,2,21,31500,-2.551753,0.001958,-5.67153,0.002455
ZR,2,21,31500,-3.901309,0.001857,-4.210141,0.001614
ZT,2,21,31500,-4.586371,0.001759,-4.246082,0.001709
ZU,2,21,31500,-1.559385,0.001847,0.058695,0.001899
ZW,2,21,31500,-4.742574,0.001784,-6.154595,0.003228
ZZ,2,21,31500,-2.378671,0.001767,-3.299807,0.001987
