episode,reward,steps,epsilon_end,last_loss
1,-17.590868,1500,0.2925,0.001388
2,-17.922748,1500,0.285,0.002773
3,-17.649084,1500,0.2775,0.004404
4,-14.93453,1500,0.27,0.002322
5,-13.560728,1500,0.2625,0.001642
6,-15.8391,1500,0.255,0.001832
7,-14.509644,1500,0.2475,0.002083
8,-15.676316,1500,0.24,0.002247
9,-12.796028,1500,0.2325,0.002012
10,-11.938678,1500,0.225,0.002058
11,-13.43922,1500,0.2175,0.00079
12,-11.313293,1500,0.21,0.000998
13,-12.125018,1500,0.2025,0.001591
14,-12.303412,1500,0.195,0.001407
15,-10.486525,1500,0.1875,0.00268
16,-10.837588,1500,0.18,0.001897
17,-8.102145,1500,0.1725,0.00154
18,-9.870814,1500,0.165,0.001046
19,-11.347748,1500,0.1575,0.001666
20,-8.194799,1500,0.15,0.002435
21,-6.045997,1500,0.1425,0.001083
22,-7.562417,1500,0.135,0.001237
23,-8.605104,1500,0.1275,0.001244
24,-6.537583,1500,0.12,0.001275
25,-8.328239,1500,0.1125,0.0018
26,-8.192221,1500,0.105,0.001081
27,-6.791939,1500,0.0975,0.001718
28,-4.942152,1500,0.09,0.000768
29,-4.371144,1500,0.0825,0.001029
30,-5.10207,1500,0.075,0.001546
31,-4.524412,1500,0.0675,0.002106
32,-3.952378,1500,0.06,0.001421
33,-3.181221,1500,0.0525,0.001264
34,-3.861885,1500,0.05,0.001153
35,-3.971675,1500,0.05,0.00102
36,-3.226028,1500,0.05,0.001686
37,-3.859966,1500,0.05,0.001148
38,-4.3814,1500,0.05,0.00196
39,-2.750665,1500,0.05,0.001138
40,-3.43913,1500,0.05,0.001281
41,-1.653342,1500,0.05,0.001259
42,-4.096876,1500,0.05,0.001062
43,-3.247327,1500,0.05,0.0012
44,-3.063833,1500,0.05,0.001655
45,-3.426255,1500,0.05,0.002809
46,-3.569238,1500,0.05,0.001727
47,-2.601094,1500,0.05,0.000984
48,-3.78651,1500,0.05,0.000687
49,-3.510316,1500,0.05,0.001794
50,-2.821135,1500,0.05,0.001629
51,-3.935437,1500,0.05,0.00161
52,-2.444932,1500,0.05,0.000792
53,-3.353838,1500,0.05,0.001648
54,-4.423103,1500,0.05,0.002135
55,-3.003952,1500,0.05,0.002477
56,-4.178859,1500,0.05,0.000882
57,-3.622271,1500,0.05,0.001483
58,-4.112437,1500,0.05,0.003142
59,-3.250315,1500,0.05,0.00072
60,-3.714811,1500,0.05,0.00158
61,-3.401584,1500,0.05,0.001451
