episode,reward,steps,epsilon_end,last_loss
1,-6.430656,1500,0.2925,0.001891
2,-4.780308,1500,0.285,0.00288
3,-2.208682,1500,0.2775,0.002512
4,-3.435302,1500,0.27,0.001484
5,-5.596213,1500,0.2625,0.002638
6,-3.653581,1500,0.255,0.004203
7,-1.383059,1500,0.2475,0.002764
8,-2.857301,1500,0.24,0.002578
9,-1.804654,1500,0.2325,0.003381
10,-1.442866,1500,0.225,0.001291
11,-4.218001,1500,0.2175,0.002735
12,-2.784642,1500,0.21,0.003048
13,-1.741719,1500,0.2025,0.003704
14,-0.117741,1500,0.195,0.002656
15,-1.638469,1500,0.1875,0.003379
16,-1.831575,1500,0.18,0.003651
17,-1.794942,1500,0.1725,0.000993
18,-2.112538,1500,0.165,0.002751
19,-2.117438,1500,0.1575,0.001561
20,-0.56413,1500,0.15,0.002847
21,-0.851734,1500,0.1425,0.004502
22,-1.104885,1500,0.135,0.00234
23,-1.862739,1500,0.1275,0.002543
24,-0.630055,1500,0.12,0.00299
25,-0.674941,1500,0.1125,0.003811
26,0.561188,1500,0.105,0.003346
27,1.02419,1500,0.0975,0.002516
28,0.127022,1500,0.09,0.001579
29,0.119098,1500,0.0825,0.00377
30,0.610208,1500,0.075,0.002736
31,-0.086353,1500,0.0675,0.003815
32,0.610405,1500,0.06,0.002437
33,0.900791,1500,0.0525,0.001888
34,0.176148,1500,0.05,0.00357
35,0.782594,1500,0.05,0.003401
36,0.933399,1500,0.05,0.002479
37,0.135303,1500,0.05,0.00203
38,0.706224,1500,0.05,0.002895
39,1.176978,1500,0.05,0.002922
40,0.918685,1500,0.05,0.001994
41,0.383638,1500,0.05,0.002461
42,0.854244,1500,0.05,0.003594
43,0.828071,1500,0.05,0.002288
44,2.934471,1500,0.05,0.001494
45,1.719223,1500,0.05,0.002103
46,0.900206,1500,0.05,0.003415
47,1.092823,1500,0.05,0.002424
48,2.069002,1500,0.05,0.002873
49,1.852156,1500,0.05,0.001764
50,1.253528,1500,0.05,0.002355
51,1.165425,1500,0.05,0.002637
52,0.030548,1500,0.05,0.003268
53,1.594483,1500,0.05,0.002372
54,0.401715,1500,0.05,0.004198
55,1.430004,1500,0.05,0.003414
56,1.195124,1500,0.05,0.002678
57,2.950113,1500,0.05,0.004065
58,1.115817,1500,0.05,0.002527
59,0.775316,1500,0.05,0.003461
60,1.002167,1500,0.05,0.001476
61,1.411079,1500,0.05,0.003103
62,0.692971,1500,0.05,0.002079
63,1.192172,1500,0.05,0.003107
64,1.0045,1500,0.05,0.003384
65,1.451566,1500,0.05,0.002384
66,0.556043,1500,0.05,0.002252
67,1.438033,1500,0.05,0.002879
68,1.464653,1500,0.05,0.002704
69,1.315325,1500,0.05,0.003647
70,0.837647,1500,0.05,0.003018
71,1.596515,1500,0.05,0.002982
72,0.301434,1500,0.05,0.002301
73,0.514739,1500,0.05,0.002717
74,2.115005,1500,0.05,0.002475
75,1.933726,1500,0.05,0.002613
76,2.463594,1500,0.05,0.003117
77,1.263969,1500,0.05,0.002566
