episode,reward,steps,epsilon_end,last_loss
1,-7.262424,1500,0.2925,0.002773
2,-6.003121,1500,0.285,0.003888
3,-7.534622,1500,0.2775,0.007123
4,-7.466128,1500,0.27,0.002141
5,-7.569651,1500,0.2625,0.005556
6,-5.582689,1500,0.255,0.004062
7,-4.313754,1500,0.2475,0.002538
8,-7.488165,1500,0.24,0.004597
9,-3.180177,1500,0.2325,0.003278
10,-4.370824,1500,0.225,0.002693
11,-5.906982,1500,0.2175,0.00323
12,-7.392569,1500,0.21,0.004996
13,-4.432272,1500,0.2025,0.002861
14,-2.752515,1500,0.195,0.003405
15,-6.501938,1500,0.1875,0.002899
16,-4.44991,1500,0.18,0.002908
17,-4.267296,1500,0.1725,0.003361
18,-2.898644,1500,0.165,0.004449
19,-0.765018,1500,0.1575,0.003356
20,-4.371217,1500,0.15,0.00311
21,-4.897813,1500,0.1425,0.002383
22,-2.592782,1500,0.135,0.002927
23,-3.25786,1500,0.1275,0.00287
24,-1.592771,1500,0.12,0.003692
25,-2.702807,1500,0.1125,0.003464
26,-1.226467,1500,0.105,0.003193
27,-1.104459,1500,0.0975,0.002003
28,-2.692303,1500,0.09,0.004717
29,-0.961526,1500,0.0825,0.003775
30,0.730015,1500,0.075,0.003191
31,0.904087,1500,0.0675,0.002858
32,0.31872,1500,0.06,0.002088
33,0.607491,1500,0.0525,0.002974
34,-0.131942,1500,0.05,0.003986
35,-0.875166,1500,0.05,0.008774
36,0.091495,1500,0.05,0.008
37,1.220117,1500,0.05,0.002744
38,1.735799,1500,0.05,0.002857
39,-0.542564,1500,0.05,0.003429
40,-0.194325,1500,0.05,0.001528
41,0.52828,1500,0.05,0.003936
42,1.204893,1500,0.05,0.004537
43,-0.361364,1500,0.05,0.004243
44,-0.21106,1500,0.05,0.004213
45,-1.263834,1500,0.05,0.003992
46,0.873458,1500,0.05,0.004069
47,0.524989,1500,0.05,0.005556
48,-1.203507,1500,0.05,0.008117
49,0.269944,1500,0.05,0.008281
50,0.558917,1500,0.05,0.002853
51,0.830965,1500,0.05,0.003433
52,-1.354779,1500,0.05,0.003409
53,-0.797327,1500,0.05,0.003432
54,0.647321,1500,0.05,0.001876
55,0.152469,1500,0.05,0.002958
56,-0.448225,1500,0.05,0.003007
57,-0.580586,1500,0.05,0.001893
58,-0.667203,1500,0.05,0.003552
