ticker,round,episodes_seen,transitions_added,avg_reward,avg_loss,last_reward,last_loss
CA,1,67,75978,21.652766,0.002067,27.550022,0.002285
EN,1,67,74169,4.79241,0.002063,12.593955,0.001647
ER,1,67,74236,21.86289,0.002038,31.040528,0.001315
ES,1,67,74236,24.142563,0.002007,30.591762,0.001387
LX,1,67,74839,18.786197,0.002055,25.954836,0.001362
MD,1,67,74102,22.067799,0.002037,29.002376,0.000841
SC,1,67,74169,24.049235,0.002016,30.554099,0.00164
SP,1,67,74102,23.528343,0.002032,29.417922,0.001397
XU,1,67,75442,21.318871,0.002056,28.240486,0.001232
XX,1,67,75442,20.251601,0.002055,27.229899,0.001924
YM,1,67,74236,20.457407,0.002072,26.587634,0.001252
