episode,cycle,round,ticker,reward,steps,epsilon_end,mean_loss,last_loss,learn_steps,target_updates,replay_size
1,1,2,XU,-6.251772,1500,0.2925,0.001479,0.001531,1437,1,1500
2,1,2,XX,-6.03415,1500,0.285,0.001339,0.000611,2937,2,3000
3,1,2,EN,-14.002549,1500,0.2775,0.001304,0.000808,4437,4,4500
4,1,2,ER,-2.346165,1500,0.27,0.00123,0.000859,5937,5,5000
5,1,2,MD,-4.337782,1500,0.2625,0.001297,0.001688,7437,7,5000
6,1,2,ES,-3.945114,1500,0.255,0.001311,0.000368,8937,8,5000
7,1,2,SP,-5.677008,1500,0.2475,0.001445,0.002238,10437,10,5000
8,1,2,LX,-5.125421,1500,0.24,0.001512,0.001096,11937,11,5000
9,1,2,CA,-1.026602,1500,0.2325,0.001616,0.000935,13437,13,5000
10,1,2,YM,-3.441235,1500,0.225,0.001736,0.00119,14937,14,5000
11,1,2,SC,-4.273063,1500,0.2175,0.001724,0.001909,16437,16,5000
12,2,2,ES,-1.673783,1500,0.21,0.001844,0.001743,17937,17,5000
13,2,2,MD,-2.061569,1500,0.2025,0.00191,0.002372,19437,19,5000
14,2,2,SC,4.181627,1500,0.195,0.002041,0.002426,20937,20,5000
15,2,2,SP,4.225612,1500,0.1875,0.002152,0.002561,22437,22,5000
16,2,2,XU,0.928782,1500,0.18,0.002293,0.002083,23937,23,5000
17,2,2,XX,1.152204,1500,0.1725,0.002613,0.004039,25437,25,5000
18,2,2,LX,-1.14023,1500,0.165,0.002691,0.00272,26937,26,5000
19,2,2,EN,-14.179655,1500,0.1575,0.002879,0.003514,28437,28,5000
20,2,2,CA,3.523854,1500,0.15,0.002835,0.004785,29937,29,5000
21,2,2,ER,-2.851089,1500,0.1425,0.002907,0.002284,31437,31,5000
22,2,2,YM,0.802504,1500,0.135,0.002937,0.002769,32937,32,5000
23,3,2,EN,-9.237134,1500,0.1275,0.002811,0.002573,34437,34,5000
24,3,2,LX,4.864677,1500,0.12,0.002649,0.003042,35937,35,5000
25,3,2,CA,7.817785,1500,0.1125,0.002599,0.002858,37437,37,5000
26,3,2,SC,3.054145,1500,0.105,0.002716,0.003384,38937,38,5000
27,3,2,ES,2.958644,1500,0.0975,0.002934,0.002391,40437,40,5000
28,3,2,YM,3.471044,1500,0.09,0.003035,0.002493,41937,41,5000
29,3,2,SP,12.992067,1500,0.0825,0.003026,0.004045,43437,43,5000
30,3,2,XX,6.945509,1500,0.075,0.003166,0.004842,44937,44,5000
31,3,2,ER,4.517422,1500,0.0675,0.003215,0.003021,46437,46,5000
32,3,2,MD,6.877074,1500,0.06,0.003341,0.002512,47937,47,5000
33,3,2,XU,8.466573,1500,0.0525,0.003398,0.004064,49437,49,5000
34,4,2,LX,12.173063,1500,0.05,0.003388,0.003437,50937,50,5000
35,4,2,SP,10.555494,1500,0.05,0.003375,0.002379,52437,52,5000
36,4,2,YM,8.603728,1500,0.05,0.003426,0.002936,53937,53,5000
37,4,2,EN,-1.486646,1500,0.05,0.00347,0.005056,55437,55,5000
38,4,2,CA,10.661959,1500,0.05,0.003523,0.003662,56937,56,5000
39,4,2,ES,13.847061,1500,0.05,0.003445,0.003275,58437,58,5000
40,4,2,XU,10.234666,1500,0.05,0.003389,0.002472,59937,59,5000
41,4,2,XX,9.990844,1500,0.05,0.003337,0.003915,61437,61,5000
42,4,2,ER,3.766925,1500,0.05,0.003364,0.004129,62937,62,5000
43,4,2,SC,12.221411,1500,0.05,0.003391,0.003917,64437,64,5000
44,4,2,MD,5.95601,1500,0.05,0.003328,0.002288,65937,65,5000
45,5,2,CA,12.847424,1500,0.05,0.003311,0.004442,67437,67,5000
46,5,2,ER,11.066656,1500,0.05,0.003289,0.003524,68937,68,5000
47,5,2,EN,-7.197327,1500,0.05,0.003266,0.001783,70437,70,5000
48,5,2,ES,14.490877,1500,0.05,0.003302,0.002249,71937,71,5000
49,5,2,MD,16.046507,1500,0.05,0.003277,0.003604,73437,73,5000
50,5,2,YM,9.250331,1500,0.05,0.003296,0.002373,74937,74,5000
51,5,2,SC,18.634377,1500,0.05,0.00323,0.003641,76437,76,5000
52,5,2,XX,7.092045,1500,0.05,0.003241,0.007609,77937,77,5000
53,5,2,LX,7.210439,1500,0.05,0.003272,0.003322,79437,79,5000
54,5,2,XU,12.837262,1500,0.05,0.0033,0.00225,80937,80,5000
55,5,2,SP,15.625031,1500,0.05,0.003304,0.003164,82437,82,5000
56,6,2,YM,13.61128,1500,0.05,0.003287,0.002992,83937,83,5000
57,6,2,EN,-6.155414,1500,0.05,0.003273,0.002296,85437,85,5000
58,6,2,CA,15.616721,1500,0.05,0.003277,0.00217,86937,86,5000
59,6,2,XX,11.514759,1500,0.05,0.003235,0.003669,88437,88,5000
60,6,2,MD,13.321833,1500,0.05,0.003269,0.004494,89937,89,5000
61,6,2,ER,7.752156,1500,0.05,0.003286,0.00265,91437,91,5000
62,6,2,SC,15.623545,1500,0.05,0.003277,0.003376,92937,92,5000
63,6,2,LX,9.984546,1500,0.05,0.003178,0.003195,94437,94,5000
64,6,2,SP,19.905038,1500,0.05,0.00313,0.003605,95937,95,5000
65,6,2,XU,14.295002,1500,0.05,0.003179,0.001612,97437,97,5000
66,6,2,ES,20.663226,1500,0.05,0.003155,0.003886,98937,98,5000
67,7,2,XX,15.117399,1500,0.05,0.003164,0.003443,100437,100,5000
68,7,2,XU,18.449455,1500,0.05,0.00315,0.003427,101937,101,5000
69,7,2,ES,22.610559,1500,0.05,0.003106,0.004217,103437,103,5000
70,7,2,YM,12.604037,1500,0.05,0.003186,0.004096,104937,104,5000
71,7,2,SC,23.404078,1500,0.05,0.003106,0.001815,106437,106,5000
72,7,2,MD,16.531578,1500,0.05,0.003074,0.003546,107937,107,5000
73,7,2,CA,16.933803,1500,0.05,0.003072,0.003961,109437,109,5000
74,7,2,EN,-2.331995,1500,0.05,0.003106,0.002494,110937,110,5000
75,7,2,LX,14.506475,1500,0.05,0.003131,0.001962,112437,112,5000
76,7,2,SP,16.823751,1500,0.05,0.003097,0.00387,113937,113,5000
77,7,2,ER,14.027936,1500,0.05,0.003125,0.004239,115437,115,5000
78,8,2,ES,20.597489,1500,0.05,0.003105,0.003105,116937,116,5000
79,8,2,MD,17.623449,1500,0.05,0.003061,0.002256,118437,118,5000
80,8,2,XU,16.05753,1500,0.05,0.003095,0.002544,119937,119,5000
81,8,2,CA,18.697787,1500,0.05,0.003059,0.002597,121437,121,5000
82,8,2,EN,-0.130169,1500,0.05,0.003038,0.002397,122937,122,5000
83,8,2,XX,12.854441,1500,0.05,0.003091,0.004539,124437,124,5000
84,8,2,SP,20.282629,1500,0.05,0.003108,0.003237,125937,125,5000
85,8,2,SC,21.142985,1500,0.05,0.003121,0.002657,127437,127,5000
86,8,2,ER,12.169445,1500,0.05,0.003083,0.003374,128937,128,5000
87,8,2,YM,12.015541,1500,0.05,0.003175,0.002631,130437,130,5000
88,8,2,LX,11.844584,1500,0.05,0.003191,0.002788,131937,131,5000
89,9,2,MD,18.602425,1500,0.05,0.00315,0.002956,133437,133,5000
90,9,2,XX,11.746844,1500,0.05,0.003165,0.003909,134937,134,5000
91,9,2,SP,20.809206,1500,0.05,0.003125,0.001775,136437,136,5000
92,9,2,ER,18.689632,1500,0.05,0.0031,0.003557,137937,137,5000
93,9,2,SC,24.24426,1500,0.05,0.003036,0.002963,139437,139,5000
94,9,2,LX,14.186719,1500,0.05,0.002995,0.002083,140937,140,5000
95,9,2,ES,25.795267,1500,0.05,0.002957,0.002298,142437,142,5000
96,9,2,YM,15.948249,1500,0.05,0.002989,0.002683,143937,143,5000
97,9,2,CA,14.223462,1500,0.05,0.003085,0.00295,145437,145,5000
98,9,2,XU,16.879648,1500,0.05,0.003075,0.002855,146937,146,5000
99,9,2,EN,-4.290616,1500,0.05,0.003171,0.003106,148437,148,5000
100,10,2,LX,14.131229,1500,0.05,0.00316,0.003506,149937,149,5000
101,10,2,XX,11.543758,1500,0.05,0.003169,0.003035,151437,151,5000
102,10,2,CA,18.766732,1500,0.05,0.003071,0.002989,152937,152,5000
103,10,2,ER,17.329938,1500,0.05,0.003036,0.003184,154437,154,5000
104,10,2,SC,18.264147,1500,0.05,0.002991,0.003354,155937,155,5000
105,10,2,YM,15.504236,1500,0.05,0.002949,0.003152,157437,157,5000
106,10,2,ES,26.924378,1500,0.05,0.002954,0.002418,158937,158,5000
107,10,2,MD,18.349271,1500,0.05,0.002918,0.002774,160437,160,5000
108,10,2,XU,18.534303,1500,0.05,0.002976,0.002531,161937,161,5000
109,10,2,SP,27.311032,1500,0.05,0.002932,0.003604,163437,163,5000
110,10,2,EN,-0.895808,1500,0.05,0.002948,0.003187,164937,164,5000
111,11,2,LX,16.634626,1500,0.05,0.003079,0.002367,166437,166,5000
112,11,2,XX,13.242436,1500,0.05,0.003129,0.002446,167937,167,5000
113,11,2,YM,16.764533,1500,0.05,0.003189,0.00287,169437,169,5000
114,11,2,MD,18.601714,1500,0.05,0.003073,0.003014,170937,170,5000
115,11,2,EN,3.802637,1500,0.05,0.003021,0.002697,172437,172,5000
116,11,2,CA,16.842632,1500,0.05,0.00304,0.004727,173937,173,5000
117,11,2,SC,22.730224,1500,0.05,0.003006,0.003449,175437,175,5000
118,11,2,ES,24.473454,1500,0.05,0.002949,0.00204,176937,176,5000
119,11,2,SP,27.45112,1500,0.05,0.002765,0.002072,178437,178,5000
