episode,cycle,round,ticker,reward,steps,epsilon_end,mean_loss,last_loss,learn_steps,target_updates,replay_size
11,1,2,CA,-11.171506,2283,0.290004,0.00111,0.001007,4950,4,5000
11,1,2,EN,-30.898636,2243,0.290004,0.00111,0.001007,4950,4,5000
11,1,2,ER,-9.627151,2262,0.290004,0.00111,0.001007,4950,4,5000
11,1,2,ES,-14.385085,2244,0.290004,0.00111,0.001007,4950,4,5000
11,1,2,LX,-16.115001,2259,0.290004,0.00111,0.001007,4950,4,5000
11,1,2,MD,-13.843595,2241,0.290004,0.00111,0.001007,4950,4,5000
11,1,2,SC,-14.61436,2243,0.290004,0.00111,0.001007,4950,4,5000
11,1,2,SP,-13.340343,2242,0.290004,0.00111,0.001007,4950,4,5000
11,1,2,XU,-11.458788,2268,0.290004,0.00111,0.001007,4950,4,5000
11,1,2,XX,-10.95335,2268,0.290004,0.00111,0.001007,4950,4,5000
11,1,2,YM,-15.473542,2244,0.290004,0.00111,0.001007,4950,4,5000
22,2,2,CA,-7.36779,2283,0.280009,0.001716,0.0008,11149,11,5000
22,2,2,EN,-23.187613,2243,0.280009,0.001716,0.0008,11149,11,5000
22,2,2,ER,-8.76378,2262,0.280009,0.001716,0.0008,11149,11,5000
22,2,2,ES,-11.298189,2244,0.280009,0.001716,0.0008,11149,11,5000
22,2,2,LX,-9.541904,2259,0.280009,0.001716,0.0008,11149,11,5000
22,2,2,MD,-8.991127,2241,0.280009,0.001716,0.0008,11149,11,5000
22,2,2,SC,-10.152861,2243,0.280009,0.001716,0.0008,11149,11,5000
22,2,2,SP,-10.834812,2242,0.280009,0.001716,0.0008,11149,11,5000
22,2,2,XU,-6.864475,2268,0.280009,0.001716,0.0008,11149,11,5000
22,2,2,XX,-7.983473,2268,0.280009,0.001716,0.0008,11149,11,5000
22,2,2,YM,-13.891197,2244,0.280009,0.001716,0.0008,11149,11,5000
33,3,2,CA,-8.15386,2283,0.270013,0.001836,0.001044,17348,17,5000
33,3,2,EN,-20.996652,2243,0.270013,0.001836,0.001044,17348,17,5000
33,3,2,ER,-9.525831,2262,0.270013,0.001836,0.001044,17348,17,5000
33,3,2,ES,-10.899213,2244,0.270013,0.001836,0.001044,17348,17,5000
33,3,2,LX,-12.154629,2259,0.270013,0.001836,0.001044,17348,17,5000
33,3,2,MD,-10.082574,2241,0.270013,0.001836,0.001044,17348,17,5000
33,3,2,SC,-10.564816,2243,0.270013,0.001836,0.001044,17348,17,5000
33,3,2,SP,-8.945629,2242,0.270013,0.001836,0.001044,17348,17,5000
33,3,2,XU,-10.440864,2268,0.270013,0.001836,0.001044,17348,17,5000
33,3,2,XX,-11.796896,2268,0.270013,0.001836,0.001044,17348,17,5000
33,3,2,YM,-9.08571,2244,0.270013,0.001836,0.001044,17348,17,5000
44,4,2,CA,-8.354968,2283,0.260018,0.001868,0.000724,23547,23,5000
44,4,2,EN,-24.086483,2243,0.260018,0.001868,0.000724,23547,23,5000
44,4,2,ER,-6.118344,2262,0.260018,0.001868,0.000724,23547,23,5000
44,4,2,ES,-10.319733,2244,0.260018,0.001868,0.000724,23547,23,5000
44,4,2,LX,-10.689047,2259,0.260018,0.001868,0.000724,23547,23,5000
44,4,2,MD,-8.420078,2241,0.260018,0.001868,0.000724,23547,23,5000
44,4,2,SC,-7.816923,2243,0.260018,0.001868,0.000724,23547,23,5000
44,4,2,SP,-12.257313,2242,0.260018,0.001868,0.000724,23547,23,5000
44,4,2,XU,-5.412505,2268,0.260018,0.001868,0.000724,23547,23,5000
44,4,2,XX,-10.107997,2268,0.260018,0.001868,0.000724,23547,23,5000
44,4,2,YM,-11.424982,2244,0.260018,0.001868,0.000724,23547,23,5000
55,5,2,CA,-7.229088,2283,0.250022,0.002429,0.002884,29746,29,5000
55,5,2,EN,-23.287083,2243,0.250022,0.002429,0.002884,29746,29,5000
55,5,2,ER,-4.317761,2262,0.250022,0.002429,0.002884,29746,29,5000
55,5,2,ES,-8.039261,2244,0.250022,0.002429,0.002884,29746,29,5000
55,5,2,LX,-11.008367,2259,0.250022,0.002429,0.002884,29746,29,5000
55,5,2,MD,-5.479268,2241,0.250022,0.002429,0.002884,29746,29,5000
55,5,2,SC,-9.208969,2243,0.250022,0.002429,0.002884,29746,29,5000
