episode,reward,steps,epsilon_end,last_loss
1,-12.004392,1500,0.2925,0.001078
2,-13.457481,1500,0.285,0.001404
3,-9.782626,1500,0.2775,0.000906
4,-10.715569,1500,0.27,0.000569
5,-11.466253,1500,0.2625,0.00089
6,-11.680428,1500,0.255,0.000759
7,-11.200652,1500,0.2475,0.00168
8,-8.540329,1500,0.24,0.00142
9,-11.626213,1500,0.2325,0.001012
10,-9.892271,1500,0.225,0.000908
11,-7.381669,1500,0.2175,0.001267
12,-8.90427,1500,0.21,0.000497
13,-7.987216,1500,0.2025,0.000957
14,-9.225624,1500,0.195,0.000731
15,-9.485076,1500,0.1875,0.00074
16,-8.566403,1500,0.18,0.001098
17,-8.426288,1500,0.1725,0.000835
18,-6.943337,1500,0.165,0.001619
19,-5.621492,1500,0.1575,0.0005
20,-5.445528,1500,0.15,0.001074
21,-7.645804,1500,0.1425,0.000909
22,-5.497643,1500,0.135,0.001159
23,-6.298275,1500,0.1275,0.000881
24,-6.541383,1500,0.12,0.001155
25,-5.034629,1500,0.1125,0.000643
26,-5.931209,1500,0.105,0.000777
27,-3.451634,1500,0.0975,0.000999
28,-4.415973,1500,0.09,0.000607
29,-5.944095,1500,0.0825,0.000218
30,-4.079516,1500,0.075,0.000569
31,-4.232933,1500,0.0675,0.000673
32,-4.84319,1500,0.06,0.000557
33,-2.678933,1500,0.0525,0.000662
34,-2.662238,1500,0.05,0.000208
35,-3.113028,1500,0.05,0.000625
36,-2.870358,1500,0.05,0.000818
37,-2.966425,1500,0.05,0.000208
38,-3.740727,1500,0.05,0.00033
39,-1.763285,1500,0.05,0.000677
40,-2.26877,1500,0.05,0.000245
41,-2.134409,1500,0.05,0.000351
42,-2.442451,1500,0.05,0.001096
43,-2.882264,1500,0.05,0.001113
44,-3.958973,1500,0.05,0.000677
45,-2.231579,1500,0.05,0.00033
46,-2.502539,1500,0.05,0.000178
47,-2.822682,1500,0.05,0.000253
48,-3.094499,1500,0.05,0.000515
49,-2.398129,1500,0.05,0.00032
50,-2.655756,1500,0.05,0.000256
51,-1.892517,1500,0.05,0.000499
52,-2.693372,1500,0.05,0.00059
53,-2.043548,1500,0.05,9.3e-05
54,-3.357735,1500,0.05,0.000505
55,-2.118431,1500,0.05,0.000855
56,-2.234545,1500,0.05,0.000277
57,-2.942196,1500,0.05,0.000494
58,-2.276405,1500,0.05,0.000678
59,-2.163097,1500,0.05,0.000307
