episode,cycle,round,ticker,reward,steps,epsilon_end,mean_loss,last_loss,learn_steps,target_updates,replay_size
1,1,2,TY,-17.649143,1500,0.2925,0.001514,0.001202,1437,1,1500
2,1,2,UB,-27.474369,1500,0.285,0.001244,0.000418,2937,2,3000
3,1,2,US,-7.982867,1500,0.2775,0.001097,0.000778,4437,4,4500
4,1,2,DT,-19.207143,1500,0.27,0.001033,0.001181,5937,5,5000
5,2,2,DT,-19.631191,1500,0.2625,0.000949,0.000406,7437,7,5000
6,2,2,UB,-25.193349,1500,0.255,0.000988,0.000927,8937,8,5000
7,2,2,TY,-16.65876,1500,0.2475,0.000997,0.001099,10437,10,5000
8,2,2,US,-7.340728,1500,0.24,0.000985,0.000817,11937,11,5000
9,3,2,UB,-25.444802,1500,0.2325,0.000985,0.000718,13437,13,5000
10,3,2,DT,-14.348397,1500,0.225,0.000994,0.001081,14937,14,5000
11,3,2,US,-6.651479,1500,0.2175,0.001025,0.001174,16437,16,5000
12,3,2,TY,-12.725403,1500,0.21,0.001144,0.001781,17937,17,5000
13,4,2,DT,-14.224067,1500,0.2025,0.001185,0.00056,19437,19,5000
14,4,2,TY,-13.724516,1500,0.195,0.001269,0.000857,20937,20,5000
15,4,2,US,-3.961878,1500,0.1875,0.001238,0.001735,22437,22,5000
16,4,2,UB,-19.668278,1500,0.18,0.001329,0.001049,23937,23,5000
17,5,2,DT,-10.046342,1500,0.1725,0.001226,0.00092,25437,25,5000
18,5,2,TY,-8.045087,1500,0.165,0.001199,0.001162,26937,26,5000
19,5,2,US,-3.262799,1500,0.1575,0.001141,0.00105,28437,28,5000
20,5,2,UB,-15.295028,1500,0.15,0.001324,0.001132,29937,29,5000
21,6,2,DT,-10.057494,1500,0.1425,0.001294,0.000939,31437,31,5000
22,6,2,TY,-5.809971,1500,0.135,0.001238,0.001729,32937,32,5000
23,6,2,UB,-15.166707,1500,0.1275,0.001075,0.001447,34437,34,5000
24,6,2,US,-1.684669,1500,0.12,0.001057,0.001298,35937,35,5000
25,7,2,TY,-3.260592,1500,0.1125,0.001139,0.000609,37437,37,5000
26,7,2,US,1.296378,1500,0.105,0.001162,0.001166,38937,38,5000
27,7,2,DT,-6.481627,1500,0.0975,0.001199,0.001244,40437,40,5000
28,7,2,UB,-9.724558,1500,0.09,0.001075,0.000957,41937,41,5000
29,8,2,TY,-2.025643,1500,0.0825,0.000937,0.001339,43437,43,5000
30,8,2,UB,-7.756401,1500,0.075,0.000808,0.000811,44937,44,5000
31,8,2,US,2.973152,1500,0.0675,0.000771,0.001032,46437,46,5000
32,8,2,DT,-3.522315,1500,0.06,0.000934,0.002069,47937,47,5000
33,9,2,US,5.883794,1500,0.0525,0.001107,0.001833,49437,49,5000
34,9,2,TY,-0.00937,1500,0.05,0.001324,0.000639,50937,50,5000
35,9,2,UB,-5.101049,1500,0.05,0.00114,0.001515,52437,52,5000
36,9,2,DT,-2.737782,1500,0.05,0.000965,0.001238,53937,53,5000
37,10,2,DT,-1.046997,1500,0.05,0.000782,0.000152,55437,55,5000
38,10,2,UB,-5.182782,1500,0.05,0.000691,0.000731,56937,56,5000
39,10,2,US,3.976698,1500,0.05,0.000802,0.000763,58437,58,5000
40,10,2,TY,-1.916769,1500,0.05,0.000988,0.001979,59937,59,5000
41,11,2,US,7.04476,1500,0.05,0.00116,0.000994,61437,61,5000
42,11,2,UB,-3.900487,1500,0.05,0.001271,0.002873,62937,62,5000
43,11,2,TY,-0.245312,1500,0.05,0.001066,0.001392,64437,64,5000
44,11,2,DT,0.161185,1500,0.05,0.001018,0.000709,65937,65,5000
45,12,2,TY,1.528663,1500,0.05,0.001017,0.000868,67437,67,5000
46,12,2,DT,-2.198133,1500,0.05,0.001286,0.000959,68937,68,5000
47,12,2,US,4.75382,1500,0.05,0.001618,0.001228,70437,70,5000
48,12,2,UB,-5.68737,1500,0.05,0.001653,0.001569,71937,71,5000
49,13,2,TY,1.787743,1500,0.05,0.001584,0.001173,73437,73,5000
50,13,2,US,7.332653,1500,0.05,0.001569,0.00245,74937,74,5000
51,13,2,UB,-6.010586,1500,0.05,0.001494,0.001142,76437,76,5000
52,13,2,DT,1.992966,1500,0.05,0.00156,0.001619,77937,77,5000
53,14,2,TY,0.46638,1500,0.05,0.001564,0.001449,79437,79,5000
54,14,2,US,6.920474,1500,0.05,0.001645,0.003816,80937,80,5000
55,14,2,DT,0.929377,1500,0.05,0.001856,0.001432,82437,82,5000
56,14,2,UB,-4.176453,1500,0.05,0.001751,0.001661,83937,83,5000
57,15,2,UB,-3.184425,1500,0.05,0.001464,0.000938,85437,85,5000
58,15,2,TY,1.993267,1500,0.05,0.001264,0.0015,86937,86,5000
59,15,2,US,9.070807,1500,0.05,0.001531,0.001462,88437,88,5000
60,15,2,DT,-0.740322,1500,0.05,0.001866,0.002259,89937,89,5000
61,16,2,UB,-5.846619,1500,0.05,0.002053,0.002474,91437,91,5000
62,16,2,TY,3.229541,1500,0.05,0.001956,0.001715,92937,92,5000
63,16,2,US,12.280079,1500,0.05,0.001979,0.002877,94437,94,5000
64,16,2,DT,2.841228,1500,0.05,0.002138,0.002078,95937,95,5000
65,17,2,UB,-5.693351,1500,0.05,0.002218,0.002346,97437,97,5000
66,17,2,US,12.875211,1500,0.05,0.002252,0.002635,98937,98,5000
67,17,2,DT,6.311464,1500,0.05,0.002204,0.001582,100437,100,5000
68,17,2,TY,0.395459,1500,0.05,0.002365,0.002997,101937,101,5000
69,18,2,UB,-5.468664,1500,0.05,0.002459,0.002602,103437,103,5000
70,18,2,US,12.158014,1500,0.05,0.00236,0.00258,104937,104,5000
71,18,2,DT,6.369317,1500,0.05,0.002404,0.001839,106437,106,5000
72,18,2,TY,2.715055,1500,0.05,0.002384,0.003441,107937,107,5000
73,19,2,UB,-6.491338,1500,0.05,0.002455,0.001502,109437,109,5000
74,19,2,DT,3.663138,1500,0.05,0.00225,0.001847,110937,110,5000
75,19,2,US,15.675143,1500,0.05,0.002393,0.002215,112437,112,5000
76,19,2,TY,3.446186,1500,0.05,0.002402,0.002268,113937,113,5000
77,20,2,US,15.88923,1500,0.05,0.002683,0.003204,115437,115,5000
78,20,2,UB,-5.614425,1500,0.05,0.002627,0.001753,116937,116,5000
79,20,2,DT,2.752468,1500,0.05,0.00236,0.002513,118437,118,5000
80,20,2,TY,4.340679,1500,0.05,0.002331,0.001989,119937,119,5000
81,21,2,UB,-4.030938,1500,0.05,0.002145,0.003246,121437,121,5000
82,21,2,US,13.70458,1500,0.05,0.002321,0.002131,122937,122,5000
83,21,2,TY,4.757233,1500,0.05,0.002462,0.001992,124437,124,5000
84,21,2,DT,4.548385,1500,0.05,0.002578,0.003595,125937,125,5000
85,22,2,UB,-4.696674,1500,0.05,0.002678,0.003045,127437,127,5000
86,22,2,DT,7.688356,1500,0.05,0.002579,0.002997,128937,128,5000
87,22,2,US,16.590045,1500,0.05,0.00273,0.003029,130437,130,5000
88,22,2,TY,4.383121,1500,0.05,0.002837,0.002482,131937,131,5000
89,23,2,UB,-5.231298,1500,0.05,0.00291,0.002832,133437,133,5000
90,23,2,DT,9.392176,1500,0.05,0.002878,0.002814,134937,134,5000
91,23,2,TY,5.091648,1500,0.05,0.002911,0.004144,136437,136,5000
92,23,2,US,12.752785,1500,0.05,0.002998,0.003392,137937,137,5000
93,24,2,DT,10.031754,1500,0.05,0.003073,0.002042,139437,139,5000
94,24,2,UB,-3.244265,1500,0.05,0.002986,0.00369,140937,140,5000
95,24,2,US,19.509348,1500,0.05,0.002961,0.00239,142437,142,5000
96,24,2,TY,5.67372,1500,0.05,0.002915,0.002559,143937,143,5000
97,25,2,DT,10.791055,1500,0.05,0.002955,0.002916,145437,145,5000
98,25,2,UB,-2.695298,1500,0.05,0.002929,0.002648,146937,146,5000
99,25,2,US,19.258925,1500,0.05,0.002966,0.002762,148437,148,5000
100,25,2,TY,5.03537,1500,0.05,0.002929,0.002252,149937,149,5000
101,26,2,US,18.275314,1500,0.05,0.002982,0.003179,151437,151,5000
102,26,2,TY,7.453387,1500,0.05,0.002956,0.004943,152937,152,5000
103,26,2,UB,-4.256222,1500,0.05,0.00288,0.002384,154437,154,5000
104,26,2,DT,8.600438,1500,0.05,0.002909,0.003513,155937,155,5000
105,27,2,DT,8.35527,1500,0.05,0.002962,0.002777,157437,157,5000
106,27,2,US,18.656117,1500,0.05,0.003022,0.003075,158937,158,5000
107,27,2,UB,-3.052815,1500,0.05,0.002888,0.001813,160437,160,5000
108,27,2,TY,4.800067,1500,0.05,0.002906,0.002855,161937,161,5000
109,28,2,US,20.25278,1500,0.05,0.002811,0.001719,163437,163,5000
110,28,2,TY,6.609421,1500,0.05,0.00284,0.003829,164937,164,5000
