episode,cycle,round,ticker,reward,steps,epsilon_end,mean_loss,last_loss,learn_steps,target_updates,replay_size
4,1,2,DT,-45.197803,2268,0.290004,0.00169,0.001197,1505,1,3000
4,1,2,TY,-43.536737,2240,0.290004,0.00169,0.001197,1505,1,3000
4,1,2,UB,-70.755058,2268,0.290004,0.00169,0.001197,1505,1,3000
4,1,2,US,-27.358298,2240,0.290004,0.00169,0.001197,1505,1,3000
8,2,2,DT,-26.367547,2268,0.280009,0.000966,0.001065,3759,3,3000
8,2,2,TY,-28.743316,2240,0.280009,0.000966,0.001065,3759,3,3000
8,2,2,UB,-45.222032,2268,0.280009,0.000966,0.001065,3759,3,3000
8,2,2,US,-15.576165,2240,0.280009,0.000966,0.001065,3759,3,3000
12,3,2,DT,-26.545916,2268,0.270013,0.000913,0.000935,6013,6,3000
12,3,2,TY,-25.991277,2240,0.270013,0.000913,0.000935,6013,6,3000
12,3,2,UB,-44.286046,2268,0.270013,0.000913,0.000935,6013,6,3000
12,3,2,US,-19.001417,2240,0.270013,0.000913,0.000935,6013,6,3000
16,4,2,DT,-26.891165,2268,0.260018,0.000893,0.001384,8267,8,3000
16,4,2,TY,-25.110503,2240,0.260018,0.000893,0.001384,8267,8,3000
16,4,2,UB,-44.338477,2268,0.260018,0.000893,0.001384,8267,8,3000
16,4,2,US,-15.499406,2240,0.260018,0.000893,0.001384,8267,8,3000
20,5,2,DT,-22.948891,2268,0.250022,0.000884,0.0009,10521,10,3000
20,5,2,TY,-22.579129,2240,0.250022,0.000884,0.0009,10521,10,3000
20,5,2,UB,-43.840151,2268,0.250022,0.000884,0.0009,10521,10,3000
20,5,2,US,-14.039139,2240,0.250022,0.000884,0.0009,10521,10,3000
24,6,2,DT,-25.955837,2268,0.240027,0.001177,0.000626,12775,12,3000
24,6,2,TY,-25.041632,2240,0.240027,0.001177,0.000626,12775,12,3000
24,6,2,UB,-46.905306,2268,0.240027,0.001177,0.000626,12775,12,3000
24,6,2,US,-15.646527,2240,0.240027,0.001177,0.000626,12775,12,3000
28,7,2,DT,-23.716584,2268,0.230031,0.00093,0.000841,15029,15,3000
28,7,2,TY,-24.147715,2240,0.230031,0.00093,0.000841,15029,15,3000
28,7,2,UB,-41.366713,2268,0.230031,0.00093,0.000841,15029,15,3000
28,7,2,US,-16.589613,2240,0.230031,0.00093,0.000841,15029,15,3000
32,8,2,DT,-24.368317,2268,0.220035,0.000878,0.000406,17283,17,3000
32,8,2,TY,-22.070057,2240,0.220035,0.000878,0.000406,17283,17,3000
