episode,cycle,round,ticker,reward,steps,epsilon_end,mean_loss,last_loss,learn_steps,target_updates,replay_size
9,1,1,AN,-9.971388,1112,0.290009,0.00196,0.001342,1245,1,5000
9,1,1,BN,-15.581362,1111,0.290009,0.00196,0.001342,1245,1,5000
9,1,1,CN,-12.129833,1104,0.290009,0.00196,0.001342,1245,1,5000
9,1,1,DX,-19.27378,1115,0.290009,0.00196,0.001342,1245,1,5000
9,1,1,FN,-17.48925,1105,0.290009,0.00196,0.001342,1245,1,5000
9,1,1,JN,-15.788717,1106,0.290009,0.00196,0.001342,1245,1,5000
9,1,1,MP,-16.524183,1103,0.290009,0.00196,0.001342,1245,1,5000
9,1,1,NK,-8.063658,1115,0.290009,0.00196,0.001342,1245,1,5000
9,1,1,SN,-21.28847,1106,0.290009,0.00196,0.001342,1245,1,5000
18,2,1,AN,-6.386796,1112,0.280018,0.000796,0.000511,3739,3,5000
18,2,1,BN,-7.877157,1111,0.280018,0.000796,0.000511,3739,3,5000
18,2,1,CN,-7.868153,1104,0.280018,0.000796,0.000511,3739,3,5000
18,2,1,DX,-10.097685,1115,0.280018,0.000796,0.000511,3739,3,5000
18,2,1,FN,-9.660635,1105,0.280018,0.000796,0.000511,3739,3,5000
18,2,1,JN,-7.852819,1106,0.280018,0.000796,0.000511,3739,3,5000
18,2,1,MP,-9.835441,1103,0.280018,0.000796,0.000511,3739,3,5000
18,2,1,NK,-5.056153,1115,0.280018,0.000796,0.000511,3739,3,5000
18,2,1,SN,-11.786141,1106,0.280018,0.000796,0.000511,3739,3,5000
27,3,1,AN,-6.235149,1112,0.270027,0.000994,0.004686,6233,6,5000
27,3,1,BN,-5.753894,1111,0.270027,0.000994,0.004686,6233,6,5000
27,3,1,CN,-6.049393,1104,0.270027,0.000994,0.004686,6233,6,5000
27,3,1,DX,-8.806202,1115,0.270027,0.000994,0.004686,6233,6,5000
27,3,1,FN,-10.025332,1105,0.270027,0.000994,0.004686,6233,6,5000
27,3,1,JN,-9.233598,1106,0.270027,0.000994,0.004686,6233,6,5000
27,3,1,MP,-7.719836,1103,0.270027,0.000994,0.004686,6233,6,5000
27,3,1,NK,-1.436808,1115,0.270027,0.000994,0.004686,6233,6,5000
27,3,1,SN,-11.137851,1106,0.270027,0.000994,0.004686,6233,6,5000
36,4,1,AN,-4.137361,1112,0.260036,0.001028,0.001291,8727,8,5000
36,4,1,BN,-8.079289,1111,0.260036,0.001028,0.001291,8727,8,5000
36,4,1,CN,-7.279662,1104,0.260036,0.001028,0.001291,8727,8,5000
36,4,1,DX,-10.28828,1115,0.260036,0.001028,0.001291,8727,8,5000
36,4,1,FN,-8.092929,1105,0.260036,0.001028,0.001291,8727,8,5000
36,4,1,JN,-8.35658,1106,0.260036,0.001028,0.001291,8727,8,5000
36,4,1,MP,-7.541937,1103,0.260036,0.001028,0.001291,8727,8,5000
36,4,1,NK,-4.997649,1115,0.260036,0.001028,0.001291,8727,8,5000
36,4,1,SN,-11.832361,1106,0.260036,0.001028,0.001291,8727,8,5000
45,5,1,AN,-4.943468,1112,0.250045,0.000953,0.000998,11221,11,5000
45,5,1,BN,-7.140348,1111,0.250045,0.000953,0.000998,11221,11,5000
45,5,1,CN,-6.768173,1104,0.250045,0.000953,0.000998,11221,11,5000
45,5,1,DX,-7.479559,1115,0.250045,0.000953,0.000998,11221,11,5000
45,5,1,FN,-7.975529,1105,0.250045,0.000953,0.000998,11221,11,5000
45,5,1,JN,-7.930639,1106,0.250045,0.000953,0.000998,11221,11,5000
45,5,1,MP,-6.878639,1103,0.250045,0.000953,0.000998,11221,11,5000
45,5,1,NK,-1.758251,1115,0.250045,0.000953,0.000998,11221,11,5000
