episode,cycle,round,ticker,reward,steps,epsilon_end,mean_loss,last_loss,learn_steps,target_updates,replay_size
9,1,1,AN,-11.478902,1112,0.290009,0.002052,0.000612,1245,1,5000
9,1,1,BN,-16.595382,1111,0.290009,0.002052,0.000612,1245,1,5000
9,1,1,CN,-15.132018,1104,0.290009,0.002052,0.000612,1245,1,5000
9,1,1,DX,-18.10387,1115,0.290009,0.002052,0.000612,1245,1,5000
9,1,1,FN,-18.658088,1105,0.290009,0.002052,0.000612,1245,1,5000
9,1,1,JN,-18.061809,1106,0.290009,0.002052,0.000612,1245,1,5000
9,1,1,MP,-18.487762,1103,0.290009,0.002052,0.000612,1245,1,5000
9,1,1,NK,-5.438983,1115,0.290009,0.002052,0.000612,1245,1,5000
9,1,1,SN,-19.791157,1106,0.290009,0.002052,0.000612,1245,1,5000
18,2,1,AN,-6.992861,1112,0.280018,0.000955,0.001373,3739,3,5000
18,2,1,BN,-6.630079,1111,0.280018,0.000955,0.001373,3739,3,5000
18,2,1,CN,-6.434476,1104,0.280018,0.000955,0.001373,3739,3,5000
18,2,1,DX,-10.142842,1115,0.280018,0.000955,0.001373,3739,3,5000
18,2,1,FN,-8.557539,1105,0.280018,0.000955,0.001373,3739,3,5000
18,2,1,JN,-10.080937,1106,0.280018,0.000955,0.001373,3739,3,5000
18,2,1,MP,-8.973809,1103,0.280018,0.000955,0.001373,3739,3,5000
18,2,1,NK,-2.769553,1115,0.280018,0.000955,0.001373,3739,3,5000
18,2,1,SN,-10.800682,1106,0.280018,0.000955,0.001373,3739,3,5000
27,3,1,AN,-6.193328,1112,0.270027,0.000963,0.000617,6233,6,5000
27,3,1,BN,-6.748637,1111,0.270027,0.000963,0.000617,6233,6,5000
27,3,1,CN,-5.264449,1104,0.270027,0.000963,0.000617,6233,6,5000
27,3,1,DX,-10.356474,1115,0.270027,0.000963,0.000617,6233,6,5000
27,3,1,FN,-9.147451,1105,0.270027,0.000963,0.000617,6233,6,5000
27,3,1,JN,-8.859073,1106,0.270027,0.000963,0.000617,6233,6,5000
27,3,1,MP,-9.198079,1103,0.270027,0.000963,0.000617,6233,6,5000
27,3,1,NK,-4.143808,1115,0.270027,0.000963,0.000617,6233,6,5000
27,3,1,SN,-9.427641,1106,0.270027,0.000963,0.000617,6233,6,5000
36,4,1,AN,-5.608476,1112,0.260036,0.000908,0.000405,8727,8,5000
36,4,1,BN,-8.455944,1111,0.260036,0.000908,0.000405,8727,8,5000
36,4,1,CN,-6.217685,1104,0.260036,0.000908,0.000405,8727,8,5000
36,4,1,DX,-7.537946,1115,0.260036,0.000908,0.000405,8727,8,5000
36,4,1,FN,-10.220954,1105,0.260036,0.000908,0.000405,8727,8,5000
36,4,1,JN,-8.246105,1106,0.260036,0.000908,0.000405,8727,8,5000
36,4,1,MP,-8.952758,1103,0.260036,0.000908,0.000405,8727,8,5000
36,4,1,NK,-3.360074,1115,0.260036,0.000908,0.000405,8727,8,5000
36,4,1,SN,-10.097894,1106,0.260036,0.000908,0.000405,8727,8,5000
45,5,1,AN,-4.566068,1112,0.250045,0.000929,0.001574,11221,11,5000
45,5,1,BN,-5.949558,1111,0.250045,0.000929,0.001574,11221,11,5000
45,5,1,CN,-4.348898,1104,0.250045,0.000929,0.001574,11221,11,5000
45,5,1,DX,-8.743956,1115,0.250045,0.000929,0.001574,11221,11,5000
45,5,1,FN,-9.17999,1105,0.250045,0.000929,0.001574,11221,11,5000
45,5,1,JN,-9.801571,1106,0.250045,0.000929,0.001574,11221,11,5000
45,5,1,MP,-8.058797,1103,0.250045,0.000929,0.001574,11221,11,5000
45,5,1,NK,-2.608233,1115,0.250045,0.000929,0.001574,11221,11,5000
45,5,1,SN,-8.097366,1106,0.250045,0.000929,0.001574,11221,11,5000
54,6,1,AN,-6.35672,1112,0.240054,0.000972,0.000892,13715,13,5000
54,6,1,BN,-6.189052,1111,0.240054,0.000972,0.000892,13715,13,5000
54,6,1,CN,-5.885439,1104,0.240054,0.000972,0.000892,13715,13,5000
54,6,1,DX,-9.104216,1115,0.240054,0.000972,0.000892,13715,13,5000
54,6,1,FN,-6.670874,1105,0.240054,0.000972,0.000892,13715,13,5000
54,6,1,JN,-8.08594,1106,0.240054,0.000972,0.000892,13715,13,5000
54,6,1,MP,-5.348126,1103,0.240054,0.000972,0.000892,13715,13,5000
54,6,1,NK,-2.054484,1115,0.240054,0.000972,0.000892,13715,13,5000
54,6,1,SN,-9.291238,1106,0.240054,0.000972,0.000892,13715,13,5000
63,7,1,AN,-4.813859,1112,0.230063,0.000964,0.002717,16209,16,5000
63,7,1,BN,-7.047438,1111,0.230063,0.000964,0.002717,16209,16,5000
63,7,1,CN,-5.819488,1104,0.230063,0.000964,0.002717,16209,16,5000
63,7,1,DX,-8.476408,1115,0.230063,0.000964,0.002717,16209,16,5000
63,7,1,FN,-4.517228,1105,0.230063,0.000964,0.002717,16209,16,5000
63,7,1,JN,-8.187797,1106,0.230063,0.000964,0.002717,16209,16,5000
63,7,1,MP,-8.164574,1103,0.230063,0.000964,0.002717,16209,16,5000
63,7,1,NK,-1.150501,1115,0.230063,0.000964,0.002717,16209,16,5000
63,7,1,SN,-8.90109,1106,0.230063,0.000964,0.002717,16209,16,5000
72,8,1,AN,-4.221113,1112,0.220072,0.001008,0.001344,18703,18,5000
72,8,1,BN,-5.492053,1111,0.220072,0.001008,0.001344,18703,18,5000
72,8,1,CN,-5.798252,1104,0.220072,0.001008,0.001344,18703,18,5000
72,8,1,DX,-8.560457,1115,0.220072,0.001008,0.001344,18703,18,5000
72,8,1,FN,-7.021813,1105,0.220072,0.001008,0.001344,18703,18,5000
72,8,1,JN,-7.087573,1106,0.220072,0.001008,0.001344,18703,18,5000
72,8,1,MP,-6.594764,1103,0.220072,0.001008,0.001344,18703,18,5000
72,8,1,NK,-3.977516,1115,0.220072,0.001008,0.001344,18703,18,5000
72,8,1,SN,-9.267584,1106,0.220072,0.001008,0.001344,18703,18,5000
81,9,1,AN,-3.637384,1112,0.210081,0.000803,0.000642,21197,21,5000
81,9,1,BN,-4.986762,1111,0.210081,0.000803,0.000642,21197,21,5000
81,9,1,CN,-5.150881,1104,0.210081,0.000803,0.000642,21197,21,5000
81,9,1,DX,-6.995806,1115,0.210081,0.000803,0.000642,21197,21,5000
81,9,1,FN,-5.33469,1105,0.210081,0.000803,0.000642,21197,21,5000
81,9,1,JN,-5.679634,1106,0.210081,0.000803,0.000642,21197,21,5000
81,9,1,MP,-8.262311,1103,0.210081,0.000803,0.000642,21197,21,5000
81,9,1,NK,-1.654153,1115,0.210081,0.000803,0.000642,21197,21,5000
81,9,1,SN,-7.357691,1106,0.210081,0.000803,0.000642,21197,21,5000
90,10,1,AN,-2.503946,1112,0.20009,0.000922,0.001453,23691,23,5000
90,10,1,BN,-4.739404,1111,0.20009,0.000922,0.001453,23691,23,5000
90,10,1,CN,-4.370351,1104,0.20009,0.000922,0.001453,23691,23,5000
90,10,1,DX,-7.283564,1115,0.20009,0.000922,0.001453,23691,23,5000
90,10,1,FN,-6.111963,1105,0.20009,0.000922,0.001453,23691,23,5000
90,10,1,JN,-7.567229,1106,0.20009,0.000922,0.001453,23691,23,5000
90,10,1,MP,-5.526789,1103,0.20009,0.000922,0.001453,23691,23,5000
90,10,1,NK,-4.028374,1115,0.20009,0.000922,0.001453,23691,23,5000
90,10,1,SN,-7.704444,1106,0.20009,0.000922,0.001453,23691,23,5000
99,11,1,AN,-0.780556,1112,0.190099,0.000867,0.000892,26185,26,5000
99,11,1,BN,-3.954529,1111,0.190099,0.000867,0.000892,26185,26,5000
99,11,1,CN,-3.602573,1104,0.190099,0.000867,0.000892,26185,26,5000
99,11,1,DX,-6.281074,1115,0.190099,0.000867,0.000892,26185,26,5000
99,11,1,FN,-6.088699,1105,0.190099,0.000867,0.000892,26185,26,5000
99,11,1,JN,-5.305733,1106,0.190099,0.000867,0.000892,26185,26,5000
99,11,1,MP,-5.85652,1103,0.190099,0.000867,0.000892,26185,26,5000
99,11,1,NK,1.216862,1115,0.190099,0.000867,0.000892,26185,26,5000
99,11,1,SN,-8.687326,1106,0.190099,0.000867,0.000892,26185,26,5000
108,12,1,AN,-4.77164,1112,0.180108,0.00111,0.00127,28679,28,5000
108,12,1,BN,-4.105516,1111,0.180108,0.00111,0.00127,28679,28,5000
108,12,1,CN,-5.386692,1104,0.180108,0.00111,0.00127,28679,28,5000
108,12,1,DX,-6.039697,1115,0.180108,0.00111,0.00127,28679,28,5000
108,12,1,FN,-5.11773,1105,0.180108,0.00111,0.00127,28679,28,5000
108,12,1,JN,-7.040074,1106,0.180108,0.00111,0.00127,28679,28,5000
108,12,1,MP,-5.514722,1103,0.180108,0.00111,0.00127,28679,28,5000
108,12,1,NK,-1.908159,1115,0.180108,0.00111,0.00127,28679,28,5000
108,12,1,SN,-6.867444,1106,0.180108,0.00111,0.00127,28679,28,5000
117,13,1,AN,-4.506771,1112,0.170117,0.001064,0.001137,31173,31,5000
117,13,1,BN,-4.278911,1111,0.170117,0.001064,0.001137,31173,31,5000
117,13,1,CN,-4.084832,1104,0.170117,0.001064,0.001137,31173,31,5000
117,13,1,DX,-5.641338,1115,0.170117,0.001064,0.001137,31173,31,5000
117,13,1,FN,-5.986022,1105,0.170117,0.001064,0.001137,31173,31,5000
117,13,1,JN,-5.701858,1106,0.170117,0.001064,0.001137,31173,31,5000
117,13,1,MP,-5.937553,1103,0.170117,0.001064,0.001137,31173,31,5000
117,13,1,NK,0.290905,1115,0.170117,0.001064,0.001137,31173,31,5000
117,13,1,SN,-7.034696,1106,0.170117,0.001064,0.001137,31173,31,5000
126,14,1,AN,-3.735699,1112,0.160126,0.001103,0.001105,33667,33,5000
126,14,1,BN,-2.958721,1111,0.160126,0.001103,0.001105,33667,33,5000
126,14,1,CN,-2.509714,1104,0.160126,0.001103,0.001105,33667,33,5000
126,14,1,DX,-6.428762,1115,0.160126,0.001103,0.001105,33667,33,5000
126,14,1,FN,-4.737173,1105,0.160126,0.001103,0.001105,33667,33,5000
126,14,1,JN,-5.133815,1106,0.160126,0.001103,0.001105,33667,33,5000
126,14,1,MP,-6.035594,1103,0.160126,0.001103,0.001105,33667,33,5000
126,14,1,NK,-0.486628,1115,0.160126,0.001103,0.001105,33667,33,5000
126,14,1,SN,-4.60545,1106,0.160126,0.001103,0.001105,33667,33,5000
135,15,1,AN,-1.327226,1112,0.150135,0.001051,0.000935,36161,36,5000
135,15,1,BN,-4.112168,1111,0.150135,0.001051,0.000935,36161,36,5000
135,15,1,CN,-2.745132,1104,0.150135,0.001051,0.000935,36161,36,5000
135,15,1,DX,-4.927813,1115,0.150135,0.001051,0.000935,36161,36,5000
135,15,1,FN,-2.841296,1105,0.150135,0.001051,0.000935,36161,36,5000
135,15,1,JN,-5.046272,1106,0.150135,0.001051,0.000935,36161,36,5000
135,15,1,MP,-4.835874,1103,0.150135,0.001051,0.000935,36161,36,5000
135,15,1,NK,1.728333,1115,0.150135,0.001051,0.000935,36161,36,5000
135,15,1,SN,-3.940385,1106,0.150135,0.001051,0.000935,36161,36,5000
144,16,1,AN,-2.475501,1112,0.140144,0.000973,0.001373,38655,38,5000
144,16,1,BN,-2.693914,1111,0.140144,0.000973,0.001373,38655,38,5000
144,16,1,CN,-1.795284,1104,0.140144,0.000973,0.001373,38655,38,5000
144,16,1,DX,-5.646324,1115,0.140144,0.000973,0.001373,38655,38,5000
144,16,1,FN,-3.1144,1105,0.140144,0.000973,0.001373,38655,38,5000
144,16,1,JN,-5.377769,1106,0.140144,0.000973,0.001373,38655,38,5000
144,16,1,MP,-3.826477,1103,0.140144,0.000973,0.001373,38655,38,5000
144,16,1,NK,1.761921,1115,0.140144,0.000973,0.001373,38655,38,5000
144,16,1,SN,-3.531293,1106,0.140144,0.000973,0.001373,38655,38,5000
153,17,1,AN,-0.837869,1112,0.130153,0.001012,0.002161,41149,41,5000
153,17,1,BN,-1.472637,1111,0.130153,0.001012,0.002161,41149,41,5000
153,17,1,CN,-3.136902,1104,0.130153,0.001012,0.002161,41149,41,5000
153,17,1,DX,-3.319588,1115,0.130153,0.001012,0.002161,41149,41,5000
153,17,1,FN,-1.136213,1105,0.130153,0.001012,0.002161,41149,41,5000
153,17,1,JN,-4.449112,1106,0.130153,0.001012,0.002161,41149,41,5000
153,17,1,MP,-3.420765,1103,0.130153,0.001012,0.002161,41149,41,5000
153,17,1,NK,2.570991,1115,0.130153,0.001012,0.002161,41149,41,5000
153,17,1,SN,-5.131035,1106,0.130153,0.001012,0.002161,41149,41,5000
162,18,1,AN,0.761396,1112,0.120162,0.001063,0.00185,43643,43,5000
162,18,1,BN,-0.596707,1111,0.120162,0.001063,0.00185,43643,43,5000
162,18,1,CN,-3.065053,1104,0.120162,0.001063,0.00185,43643,43,5000
162,18,1,DX,-3.937383,1115,0.120162,0.001063,0.00185,43643,43,5000
162,18,1,FN,-2.314604,1105,0.120162,0.001063,0.00185,43643,43,5000
162,18,1,JN,-4.55004,1106,0.120162,0.001063,0.00185,43643,43,5000
162,18,1,MP,-3.502425,1103,0.120162,0.001063,0.00185,43643,43,5000
162,18,1,NK,2.61223,1115,0.120162,0.001063,0.00185,43643,43,5000
162,18,1,SN,-7.206891,1106,0.120162,0.001063,0.00185,43643,43,5000
171,19,1,AN,0.01177,1112,0.110171,0.001099,0.001793,46137,46,5000
171,19,1,BN,-0.822026,1111,0.110171,0.001099,0.001793,46137,46,5000
171,19,1,CN,-1.567887,1104,0.110171,0.001099,0.001793,46137,46,5000
171,19,1,DX,-4.66176,1115,0.110171,0.001099,0.001793,46137,46,5000
171,19,1,FN,-1.128246,1105,0.110171,0.001099,0.001793,46137,46,5000
171,19,1,JN,-3.610895,1106,0.110171,0.001099,0.001793,46137,46,5000
171,19,1,MP,-2.746901,1103,0.110171,0.001099,0.001793,46137,46,5000
171,19,1,NK,2.811375,1115,0.110171,0.001099,0.001793,46137,46,5000
171,19,1,SN,-3.265278,1106,0.110171,0.001099,0.001793,46137,46,5000
180,20,1,AN,0.295132,1112,0.10018,0.001029,0.000837,48631,48,5000
180,20,1,BN,-0.938696,1111,0.10018,0.001029,0.000837,48631,48,5000
180,20,1,CN,-1.086124,1104,0.10018,0.001029,0.000837,48631,48,5000
180,20,1,DX,-3.00602,1115,0.10018,0.001029,0.000837,48631,48,5000
180,20,1,FN,-1.24055,1105,0.10018,0.001029,0.000837,48631,48,5000
180,20,1,JN,-3.52521,1106,0.10018,0.001029,0.000837,48631,48,5000
180,20,1,MP,-1.735311,1103,0.10018,0.001029,0.000837,48631,48,5000
180,20,1,NK,4.094722,1115,0.10018,0.001029,0.000837,48631,48,5000
180,20,1,SN,-4.233792,1106,0.10018,0.001029,0.000837,48631,48,5000
189,21,1,AN,0.545443,1112,0.097711,0.000994,0.00111,51125,51,5000
189,21,1,BN,-1.316387,1111,0.097711,0.000994,0.00111,51125,51,5000
189,21,1,CN,0.150386,1104,0.097711,0.000994,0.00111,51125,51,5000
189,21,1,DX,-2.849572,1115,0.097711,0.000994,0.00111,51125,51,5000
189,21,1,FN,-0.892574,1105,0.097711,0.000994,0.00111,51125,51,5000
189,21,1,JN,-3.972873,1106,0.097711,0.000994,0.00111,51125,51,5000
189,21,1,MP,-0.531299,1103,0.097711,0.000994,0.00111,51125,51,5000
189,21,1,NK,5.734561,1115,0.097711,0.000994,0.00111,51125,51,5000
189,21,1,SN,-3.610764,1106,0.097711,0.000994,0.00111,51125,51,5000
198,22,1,AN,-0.141848,1112,0.09538,0.00112,0.001756,53619,53,5000
198,22,1,BN,1.79542,1111,0.09538,0.00112,0.001756,53619,53,5000
198,22,1,CN,0.165336,1104,0.09538,0.00112,0.001756,53619,53,5000
198,22,1,DX,-1.750155,1115,0.09538,0.00112,0.001756,53619,53,5000
198,22,1,FN,1.184302,1105,0.09538,0.00112,0.001756,53619,53,5000
198,22,1,JN,-2.932962,1106,0.09538,0.00112,0.001756,53619,53,5000
198,22,1,MP,-1.448075,1103,0.09538,0.00112,0.001756,53619,53,5000
198,22,1,NK,5.759882,1115,0.09538,0.00112,0.001756,53619,53,5000
198,22,1,SN,-3.43242,1106,0.09538,0.00112,0.001756,53619,53,5000
