episode,reward,steps,epsilon_end,last_loss
1,-7.565185,1256,0.29372,0.00312
2,-2.634223,1256,0.28744,0.002206
3,-4.279117,1256,0.28116,0.001639
4,-4.116948,1256,0.27488,0.001081
5,-1.124854,1256,0.2686,0.002255
6,-3.807946,1256,0.26232,0.001201
7,-4.474241,1256,0.25604,0.001723
8,-2.154611,1256,0.24976,0.002085
9,-3.770342,1256,0.24348,0.002354
10,-4.490493,1256,0.2372,0.001208
11,-1.472085,1256,0.23092,0.001396
12,-3.321478,1256,0.22464,0.001279
13,-2.674414,1256,0.21836,0.00164
14,-2.526604,1256,0.21208,0.001444
15,-1.785293,1256,0.2058,0.001135
16,-2.377802,1256,0.19952,0.001601
17,0.123727,1256,0.19324,0.001757
18,-1.84186,1256,0.18696,0.000636
19,-2.1927,1256,0.18068,0.002347
20,-1.524911,1256,0.1744,0.001528
21,-0.475689,1256,0.16812,0.002385
22,-0.568039,1256,0.16184,0.001912
23,-0.132453,1256,0.15556,0.00104
24,-1.548388,1256,0.14928,0.001177
25,-0.283515,1256,0.143,0.001698
26,0.069838,1256,0.13672,0.001576
27,-0.503021,1256,0.13044,0.001098
28,-0.689007,1256,0.12416,0.001741
29,-1.377947,1256,0.11788,0.00077
30,-1.257858,1256,0.1116,0.001169
31,-1.708565,1256,0.10532,0.001816
32,0.908034,1256,0.09904,0.001598
33,-1.552531,1256,0.09276,0.000822
34,0.219154,1256,0.08648,0.001518
35,0.550327,1256,0.0802,0.001569
36,0.353696,1256,0.07392,0.002452
37,0.217714,1256,0.06764,0.002274
38,0.649473,1256,0.06136,0.000898
39,0.354156,1256,0.05508,0.001101
40,0.492457,1256,0.05,0.001079
41,0.540821,1256,0.05,0.001154
42,1.162773,1256,0.05,0.002641
43,0.149001,1256,0.05,0.001956
44,-0.064192,1256,0.05,0.000932
45,0.562879,1256,0.05,0.000876
46,0.516608,1256,0.05,0.000851
47,-0.387248,1256,0.05,0.000773
48,0.259483,1256,0.05,0.001564
49,-0.431191,1256,0.05,0.001961
50,-0.105098,1256,0.05,0.002282
51,-0.772169,1256,0.05,0.001066
52,0.463946,1256,0.05,0.000766
53,-0.098641,1256,0.05,0.001105
54,0.690189,1256,0.05,0.00187
55,0.070315,1256,0.05,0.002227
56,0.220708,1256,0.05,0.000766
57,0.728687,1256,0.05,0.001821
58,0.500407,1256,0.05,0.001529
59,-0.753213,1256,0.05,0.001213
60,0.181578,1256,0.05,0.000923
61,-0.409083,1256,0.05,0.000937
62,0.492405,1256,0.05,0.001056
