episode,reward,steps,epsilon_end,last_loss
1,-15.789713,1500,0.2925,0.002355
2,-13.436861,1500,0.285,0.002319
3,-13.37142,1500,0.2775,0.000986
4,-11.344674,1500,0.27,0.000775
5,-14.992332,1500,0.2625,0.000321
6,-14.439732,1500,0.255,0.00115
7,-10.928581,1500,0.2475,0.000906
8,-11.215777,1500,0.24,0.001795
9,-11.105222,1500,0.2325,0.00106
10,-11.698476,1500,0.225,0.001657
11,-10.2637,1500,0.2175,0.000642
12,-11.756755,1500,0.21,0.00097
13,-9.673985,1500,0.2025,0.001159
14,-9.727544,1500,0.195,0.000919
15,-9.57753,1500,0.1875,0.000873
16,-10.937878,1500,0.18,0.000698
17,-8.958544,1500,0.1725,0.000624
18,-6.741323,1500,0.165,0.001336
19,-7.190625,1500,0.1575,0.000689
20,-7.558269,1500,0.15,0.002302
21,-6.98508,1500,0.1425,0.001126
22,-7.399763,1500,0.135,0.000552
23,-5.22092,1500,0.1275,0.000948
24,-5.89662,1500,0.12,0.00097
25,-6.921102,1500,0.1125,0.000755
26,-6.176561,1500,0.105,0.002239
27,-4.202967,1500,0.0975,0.00055
28,-5.164158,1500,0.09,0.000456
29,-3.742269,1500,0.0825,0.002995
30,-4.306428,1500,0.075,0.000711
31,-3.936094,1500,0.0675,0.002006
32,-4.174425,1500,0.06,0.001843
33,-2.538877,1500,0.0525,0.001235
34,-1.287408,1500,0.05,0.000906
35,-3.751038,1500,0.05,0.000905
36,-2.790621,1500,0.05,0.000713
37,-3.377214,1500,0.05,0.000651
38,-3.555971,1500,0.05,0.000707
39,-3.010174,1500,0.05,0.000846
40,-4.427422,1500,0.05,0.000399
41,-2.978635,1500,0.05,0.00062
42,-3.420375,1500,0.05,0.001919
43,-3.334008,1500,0.05,0.001055
44,-2.820547,1500,0.05,0.000814
45,-2.283111,1500,0.05,0.002598
46,-3.414057,1500,0.05,0.001466
47,-4.320278,1500,0.05,0.001332
48,-2.3552,1500,0.05,0.003503
49,-2.170576,1500,0.05,0.001619
50,-2.734649,1500,0.05,0.000626
51,-3.718356,1500,0.05,0.000681
52,-1.050418,1500,0.05,0.001226
53,-2.506573,1500,0.05,0.000757
54,-3.594171,1500,0.05,0.000663
55,-3.718562,1500,0.05,0.000741
56,-2.801445,1500,0.05,0.003132
57,-3.364226,1500,0.05,0.000288
58,-3.721854,1500,0.05,0.000825
59,-2.598302,1500,0.05,0.000432
60,-3.07696,1500,0.05,0.000854
61,-2.817304,1500,0.05,0.000465
62,-2.465381,1500,0.05,0.0009
63,-2.872673,1500,0.05,0.000561
64,-2.991549,1500,0.05,0.000589
65,-2.236561,1500,0.05,0.001068
66,-4.247525,1500,0.05,0.001052
67,-3.147269,1500,0.05,0.001307
68,-3.063475,1500,0.05,0.003357
69,-2.326782,1500,0.05,0.001336
70,-2.351192,1500,0.05,0.001552
71,-1.296783,1500,0.05,0.000349
72,-2.615529,1500,0.05,0.000691
