episode,reward,steps,epsilon_end,last_loss
1,-1.183512,1253,0.293735,0.002123
2,0.85128,1253,0.28747,0.002649
3,-1.79662,1253,0.281205,0.002487
4,0.549595,1253,0.27494,0.002687
5,-0.275697,1253,0.268675,0.002303
6,-0.453596,1253,0.26241,0.002007
7,-0.885029,1253,0.256145,0.003632
8,1.462543,1253,0.24988,0.003287
9,-1.031938,1253,0.243615,0.004015
10,-0.158603,1253,0.23735,0.001349
11,-0.774579,1253,0.231085,0.006749
12,-0.47131,1253,0.22482,0.002153
13,3.314104,1253,0.218555,0.001736
14,0.75392,1253,0.21229,0.001901
15,1.900311,1253,0.206025,0.00382
16,-0.555234,1253,0.19976,0.00264
17,1.33045,1253,0.193495,0.002837
18,0.127163,1253,0.18723,0.002208
19,0.797394,1253,0.180965,0.002517
20,0.865072,1253,0.1747,0.001595
21,2.227539,1253,0.168435,0.002442
22,2.534997,1253,0.16217,0.002379
23,0.314811,1253,0.155905,0.003018
24,2.871569,1253,0.14964,0.002827
25,1.093097,1253,0.143375,0.004029
26,1.659112,1253,0.13711,0.00133
27,3.134039,1253,0.130845,0.00156
28,1.124249,1253,0.12458,0.003402
29,2.104348,1253,0.118315,0.002583
30,2.364808,1253,0.11205,0.001998
31,2.3714,1253,0.105785,0.002213
32,2.275634,1253,0.09952,0.008122
33,3.384241,1253,0.093255,0.002636
34,2.680344,1253,0.08699,0.003849
35,2.19956,1253,0.080725,0.002407
36,2.0069,1253,0.07446,0.002895
37,3.899567,1253,0.068195,0.002375
38,2.801154,1253,0.06193,0.002312
39,2.251309,1253,0.055665,0.002143
40,3.595492,1253,0.05,0.004292
41,3.11462,1253,0.05,0.003217
42,3.346092,1253,0.05,0.005439
43,4.171529,1253,0.05,0.001638
44,4.067049,1253,0.05,0.000874
45,4.436311,1253,0.05,0.003259
46,4.263952,1253,0.05,0.002392
47,3.22184,1253,0.05,0.003491
48,3.024091,1253,0.05,0.004392
49,3.426143,1253,0.05,0.002144
50,3.57227,1253,0.05,0.002481
51,3.068149,1253,0.05,0.00368
52,3.617191,1253,0.05,0.00717
53,3.4081,1253,0.05,0.002945
54,3.435383,1253,0.05,0.001123
55,3.462922,1253,0.05,0.001174
56,2.208985,1253,0.05,0.003499
57,3.76379,1253,0.05,0.002939
58,3.964221,1253,0.05,0.007827
59,3.630711,1253,0.05,0.003669
60,4.252355,1253,0.05,0.004269
61,3.337317,1253,0.05,0.001963
62,2.715926,1253,0.05,0.001899
63,3.87411,1253,0.05,0.003664
64,3.463127,1253,0.05,0.001885
65,2.617181,1253,0.05,0.002379
