episode,reward,steps,epsilon_end,last_loss
1,-6.01716,1253,0.293735,0.002187
2,-2.701762,1253,0.28747,0.001468
3,-3.693764,1253,0.281205,0.00167
4,-1.245467,1253,0.27494,0.001635
5,-0.269434,1253,0.268675,0.001727
6,-3.128214,1253,0.26241,0.000893
7,-1.747858,1253,0.256145,0.000948
8,-4.269812,1253,0.24988,0.001535
9,-3.77337,1253,0.243615,0.001758
10,-3.860486,1253,0.23735,0.001257
11,-3.230305,1253,0.231085,0.000834
12,-2.175969,1253,0.22482,0.000393
13,-1.74502,1253,0.218555,0.001425
14,-3.078946,1253,0.21229,0.000963
15,-2.742216,1253,0.206025,0.001095
16,-1.437384,1253,0.19976,0.00078
17,-1.688825,1253,0.193495,0.001257
18,-1.353312,1253,0.18723,0.001009
19,-1.696053,1253,0.180965,0.001068
20,-4.032023,1253,0.1747,0.000914
21,-1.412502,1253,0.168435,0.001539
22,-0.898318,1253,0.16217,0.001355
23,-0.849145,1253,0.155905,0.000543
24,-0.129586,1253,0.14964,0.00101
25,-0.962882,1253,0.143375,0.001441
26,-0.741479,1253,0.13711,0.001043
27,-0.62625,1253,0.130845,0.001088
28,-1.176186,1253,0.12458,0.000733
29,-0.521063,1253,0.118315,0.000982
30,-1.191674,1253,0.11205,0.000577
31,-2.39163,1253,0.105785,0.000429
32,-0.559593,1253,0.09952,0.001513
33,-0.829343,1253,0.093255,0.001112
34,-2.054726,1253,0.08699,0.000643
35,-1.063304,1253,0.080725,0.000703
36,-0.254491,1253,0.07446,0.000978
37,-0.331362,1253,0.068195,0.000568
38,-0.57582,1253,0.06193,0.000722
39,-0.323119,1253,0.055665,0.000361
40,-0.435283,1253,0.05,0.000621
41,-0.552182,1253,0.05,0.000836
42,-0.873663,1253,0.05,0.001464
43,-0.359563,1253,0.05,0.000768
44,-1.741226,1253,0.05,0.000517
