episode,reward,steps,epsilon_end,last_loss
1,-9.159532,1257,0.293715,0.002006
2,-8.317676,1257,0.28743,0.00258
3,-6.623912,1257,0.281145,0.002117
4,-7.251295,1257,0.27486,0.002669
5,-7.257165,1257,0.268575,0.00139
6,-6.659414,1257,0.26229,0.001992
7,-5.123244,1257,0.256005,0.001918
8,-4.101786,1257,0.24972,0.001697
9,-5.970377,1257,0.243435,0.0015
10,-4.510376,1257,0.23715,0.001804
11,-2.823818,1257,0.230865,0.001461
12,-5.040232,1257,0.22458,0.002201
13,-4.491493,1257,0.218295,0.0022
14,-5.067115,1257,0.21201,0.001901
15,-4.353447,1257,0.205725,0.002208
16,-4.404338,1257,0.19944,0.001697
17,-4.256856,1257,0.193155,0.001262
18,-3.4737,1257,0.18687,0.001997
19,-3.706908,1257,0.180585,0.001519
20,-2.755177,1257,0.1743,0.000914
21,-4.016748,1257,0.168015,0.001249
22,-1.33901,1257,0.16173,0.00093
23,-2.490765,1257,0.155445,0.001735
24,-2.339799,1257,0.14916,0.001381
25,-3.058999,1257,0.142875,0.001592
26,-1.797319,1257,0.13659,0.002942
27,-3.470584,1257,0.130305,0.001183
28,-2.581354,1257,0.12402,0.001928
29,-1.966627,1257,0.117735,0.001
30,-1.157732,1257,0.11145,0.000827
31,-1.860041,1257,0.105165,0.001805
32,-2.180147,1257,0.09888,0.001642
33,-0.954425,1257,0.092595,0.002027
34,-1.700684,1257,0.08631,0.001022
35,-0.320393,1257,0.080025,0.000538
36,-0.241667,1257,0.07374,0.001334
37,-0.057454,1257,0.067455,0.001188
38,0.800813,1257,0.06117,0.002202
39,-0.415399,1257,0.054885,0.000978
40,0.641325,1257,0.05,0.000943
41,0.345111,1257,0.05,0.001288
42,0.587822,1257,0.05,0.001663
43,0.924464,1257,0.05,0.001177
44,-0.355308,1257,0.05,0.001522
45,1.234329,1257,0.05,0.003309
46,0.076972,1257,0.05,0.001013
47,-0.476626,1257,0.05,0.001942
48,0.489446,1257,0.05,0.001019
49,1.006059,1257,0.05,0.001821
50,1.062703,1257,0.05,0.002497
51,0.50918,1257,0.05,0.002065
52,0.204192,1257,0.05,0.001535
53,1.342719,1257,0.05,0.001968
54,-0.167815,1257,0.05,0.001777
55,-0.464183,1257,0.05,0.001269
56,-0.022754,1257,0.05,0.000773
57,0.387171,1257,0.05,0.001277
58,0.037599,1257,0.05,0.00147
59,-0.377531,1257,0.05,0.001344
60,1.222935,1257,0.05,0.00091
61,0.142888,1257,0.05,0.001094
62,-0.34786,1257,0.05,0.001254
63,0.78794,1257,0.05,0.001086
64,0.223033,1257,0.05,0.001199
65,0.780255,1257,0.05,0.001774
66,0.791738,1257,0.05,0.000902
67,0.032538,1257,0.05,0.001689
68,0.952678,1257,0.05,0.00112
69,0.69309,1257,0.05,0.002374
70,0.821555,1257,0.05,0.001869
71,0.441573,1257,0.05,0.001253
72,0.148034,1257,0.05,0.001316
73,0.523635,1257,0.05,0.000609
