episode,reward,steps,epsilon_end,last_loss
1,-3.428035,1257,0.293715,0.002499
2,1.572099,1257,0.28743,0.001462
3,2.449027,1257,0.281145,0.002613
4,2.457423,1257,0.27486,0.003308
5,-0.497123,1257,0.268575,0.001879
6,1.448744,1257,0.26229,0.002613
7,1.226987,1257,0.256005,0.002513
8,0.593817,1257,0.24972,0.00259
9,2.883517,1257,0.243435,0.002937
10,1.32795,1257,0.23715,0.002549
11,1.284013,1257,0.230865,0.002114
12,2.6205,1257,0.22458,0.001808
13,0.843498,1257,0.218295,0.001761
14,1.865749,1257,0.21201,0.003092
15,1.959017,1257,0.205725,0.002907
16,2.849112,1257,0.19944,0.003053
17,2.184316,1257,0.193155,0.00235
18,4.619585,1257,0.18687,0.002444
19,2.530463,1257,0.180585,0.003693
20,0.830168,1257,0.1743,0.002355
21,3.915186,1257,0.168015,0.003209
22,1.35829,1257,0.16173,0.001738
23,4.308734,1257,0.155445,0.003788
24,2.172407,1257,0.14916,0.003092
25,1.356542,1257,0.142875,0.003166
26,4.25113,1257,0.13659,0.002826
27,2.560251,1257,0.130305,0.003103
28,1.830146,1257,0.12402,0.003148
29,5.222864,1257,0.117735,0.002353
30,3.242309,1257,0.11145,0.003951
31,4.696297,1257,0.105165,0.002658
32,4.27146,1257,0.09888,0.002556
33,3.819754,1257,0.092595,0.002218
34,5.940502,1257,0.08631,0.002503
35,4.772732,1257,0.080025,0.002933
36,3.739349,1257,0.07374,0.002469
37,4.045086,1257,0.067455,0.00242
38,4.760178,1257,0.06117,0.002877
39,4.830497,1257,0.054885,0.003587
40,4.442681,1257,0.05,0.002197
41,5.109844,1257,0.05,0.00266
42,5.05337,1257,0.05,0.003356
43,4.663998,1257,0.05,0.002759
44,3.037124,1257,0.05,0.004305
45,4.456824,1257,0.05,0.003572
46,5.011092,1257,0.05,0.003826
47,4.992586,1257,0.05,0.003032
48,6.381623,1257,0.05,0.002821
49,5.043017,1257,0.05,0.002511
50,4.732554,1257,0.05,0.00281
51,4.853162,1257,0.05,0.002469
52,5.279168,1257,0.05,0.00391
53,4.235119,1257,0.05,0.003754
54,5.068058,1257,0.05,0.002744
55,5.075685,1257,0.05,0.003768
56,5.876146,1257,0.05,0.003237
57,5.510338,1257,0.05,0.002426
58,4.390923,1257,0.05,0.003788
59,5.160857,1257,0.05,0.002827
60,5.600121,1257,0.05,0.002048
61,4.665069,1257,0.05,0.002653
62,5.53901,1257,0.05,0.003216
63,5.065633,1257,0.05,0.002763
64,4.849253,1257,0.05,0.002514
65,4.91787,1257,0.05,0.003136
66,5.229298,1257,0.05,0.002834
67,5.159964,1257,0.05,0.002828
68,5.679284,1257,0.05,0.003318
