episode,reward,steps,epsilon_end,last_loss
1,-6.786915,1257,0.293715,0.00129
2,-4.584584,1257,0.28743,0.000918
3,-4.973409,1257,0.281145,0.000766
4,-4.635689,1257,0.27486,0.000666
5,-6.58412,1257,0.268575,0.000938
6,-3.780547,1257,0.26229,0.000326
7,-4.013306,1257,0.256005,0.001118
8,-3.108198,1257,0.24972,0.001189
9,-4.25205,1257,0.243435,0.002805
10,-4.908084,1257,0.23715,0.001114
11,-3.959935,1257,0.230865,0.001102
12,-3.882717,1257,0.22458,0.000405
13,-2.305471,1257,0.218295,0.001148
14,-3.755661,1257,0.21201,0.001057
15,-2.138362,1257,0.205725,0.002186
16,-3.548674,1257,0.19944,0.000327
17,-3.341501,1257,0.193155,0.000585
18,-2.916478,1257,0.18687,0.00122
19,-2.219316,1257,0.180585,0.000839
20,-1.551428,1257,0.1743,0.000386
21,-2.28796,1257,0.168015,0.000628
22,-1.986477,1257,0.16173,0.000968
23,-1.037451,1257,0.155445,0.000966
24,-3.392696,1257,0.14916,0.000841
25,-1.679965,1257,0.142875,0.001062
26,-2.610687,1257,0.13659,0.000308
27,-0.914173,1257,0.130305,0.000643
28,-2.816779,1257,0.12402,0.000634
29,-2.214792,1257,0.117735,0.0011
30,-2.895357,1257,0.11145,0.000448
31,-2.743197,1257,0.105165,0.00052
32,-1.94836,1257,0.09888,0.000576
33,-1.720386,1257,0.092595,0.00155
34,-0.912718,1257,0.08631,0.000348
35,-1.18096,1257,0.080025,0.000131
36,-2.544278,1257,0.07374,0.000422
37,-1.535461,1257,0.067455,0.00094
38,-0.657156,1257,0.06117,0.00032
39,-1.126823,1257,0.054885,0.000428
40,-0.187562,1257,0.05,0.000275
41,-1.107022,1257,0.05,0.000724
42,-0.774959,1257,0.05,0.000322
43,-0.977717,1257,0.05,0.000317
44,-0.478083,1257,0.05,0.000313
45,-0.770116,1257,0.05,0.00049
46,-0.655443,1257,0.05,0.000467
47,-1.029692,1257,0.05,0.000623
48,-0.782361,1257,0.05,0.00067
49,-0.810021,1257,0.05,9.6e-05
50,-0.772058,1257,0.05,0.000143
51,0.622933,1257,0.05,0.000319
52,-0.971392,1257,0.05,0.000904
53,-0.859664,1257,0.05,0.000849
54,-0.217306,1257,0.05,0.00055
55,-0.636131,1257,0.05,0.000528
56,-0.562339,1257,0.05,0.000991
57,-0.256337,1257,0.05,0.000638
58,-0.517899,1257,0.05,0.001313
59,-0.210666,1257,0.05,0.000444
60,-0.341323,1257,0.05,0.000215
61,-1.12681,1257,0.05,0.000344
62,-0.581055,1257,0.05,0.000141
63,-0.529805,1257,0.05,1.4e-05
64,-0.649862,1257,0.05,1.2e-05
65,-0.625702,1257,0.05,0.000327
66,-0.494993,1257,0.05,0.00084
67,-0.864469,1257,0.05,0.000629
68,-0.187511,1257,0.05,0.000583
69,-1.337356,1257,0.05,0.000357
70,0.172218,1257,0.05,0.000177
71,-0.480494,1257,0.05,0.000157
