episode,reward,steps,epsilon_end,last_loss
1,-10.261007,1255,0.293725,0.001198
2,-8.12871,1255,0.28745,0.000526
3,-12.969446,1255,0.281175,0.001233
4,-11.034692,1255,0.2749,0.001181
5,-10.302263,1255,0.268625,0.000693
6,-9.569517,1255,0.26235,0.002642
7,-8.918164,1255,0.256075,0.001021
8,-9.569102,1255,0.2498,0.000606
9,-8.757376,1255,0.243525,0.001924
10,-7.732242,1255,0.23725,0.000599
11,-9.368877,1255,0.230975,0.000545
12,-8.078443,1255,0.2247,0.001213
13,-6.200862,1255,0.218425,0.000386
14,-7.709762,1255,0.21215,0.000454
15,-6.848104,1255,0.205875,0.000436
16,-8.86057,1255,0.1996,0.000342
17,-6.731758,1255,0.193325,0.000919
18,-6.901406,1255,0.18705,0.001065
19,-8.111654,1255,0.180775,0.000955
20,-6.599548,1255,0.1745,0.000498
21,-5.256548,1255,0.168225,0.002795
22,-6.511391,1255,0.16195,0.001164
23,-6.846963,1255,0.155675,0.000686
24,-4.53093,1255,0.1494,0.000136
25,-6.467637,1255,0.143125,0.000772
26,-5.355955,1255,0.13685,0.000354
27,-3.833697,1255,0.130575,0.000543
28,-5.233671,1255,0.1243,0.000444
29,-5.03142,1255,0.118025,0.000967
30,-5.498139,1255,0.11175,0.000663
31,-3.052033,1255,0.105475,0.000348
32,-5.262183,1255,0.0992,0.000222
33,-3.370595,1255,0.092925,0.000676
34,-3.114991,1255,0.08665,0.000168
35,-3.414012,1255,0.080375,0.001023
36,-4.184721,1255,0.0741,0.00057
37,-3.498318,1255,0.067825,0.000274
38,-1.923635,1255,0.06155,0.000484
39,-2.575622,1255,0.055275,0.000261
40,-2.565602,1255,0.05,0.000166
41,-1.707789,1255,0.05,0.000288
42,-1.802497,1255,0.05,0.000928
43,-1.697129,1255,0.05,0.000173
44,-2.654991,1255,0.05,0.000693
45,-2.137082,1255,0.05,0.000246
46,-1.63679,1255,0.05,0.000202
47,-1.638368,1255,0.05,0.000116
48,-2.953017,1255,0.05,0.000365
49,-2.438528,1255,0.05,0.000201
50,-2.012634,1255,0.05,0.000256
51,-1.646238,1255,0.05,0.000224
52,-2.014961,1255,0.05,6.6e-05
53,-1.873756,1255,0.05,0.000201
54,-3.139926,1255,0.05,0.000152
55,-1.972947,1255,0.05,0.000577
56,-2.339783,1255,0.05,0.000252
57,-2.002902,1255,0.05,0.0004
58,-3.25278,1255,0.05,0.000465
59,-2.533036,1255,0.05,7.2e-05
60,-1.86859,1255,0.05,0.000644
61,-2.147876,1255,0.05,0.000391
62,-1.847703,1255,0.05,0.000389
63,-2.126175,1255,0.05,0.000273
64,-1.456457,1255,0.05,0.000501
65,-1.781927,1255,0.05,0.000503
66,-1.478831,1255,0.05,0.000404
67,-1.635464,1255,0.05,0.000245
68,-2.371921,1255,0.05,0.000283
69,-1.312808,1255,0.05,0.000165
70,-2.516451,1255,0.05,6.8e-05
71,-1.579432,1255,0.05,0.000238
72,-0.817692,1255,0.05,0.000267
73,-1.692549,1255,0.05,0.000693
74,-2.271862,1255,0.05,0.001162
75,-1.099441,1255,0.05,0.001182
76,-2.170042,1255,0.05,0.000793
77,-2.672857,1255,0.05,0.000276
78,-1.011069,1255,0.05,0.000217
79,-1.862916,1255,0.05,0.000425
80,-2.377068,1255,0.05,0.00048
81,-2.694819,1255,0.05,0.000735
82,-3.119966,1255,0.05,0.000375
83,-2.997752,1255,0.05,0.000393
84,-2.339565,1255,0.05,0.000117
85,-1.983589,1255,0.05,0.000453
86,-1.282143,1255,0.05,9e-05
87,-1.353558,1255,0.05,0.000187
88,-2.302403,1255,0.05,0.000118
89,-2.465073,1255,0.05,0.000519
90,-1.254691,1255,0.05,0.000162
91,-1.585354,1255,0.05,0.000207
92,-1.756238,1255,0.05,0.000174
