episode,reward,steps,epsilon_end,last_loss
1,-8.337498,1500,0.2925,0.002893
2,-5.574011,1500,0.285,0.002712
3,-3.420841,1500,0.2775,0.002459
4,-2.728304,1500,0.27,0.002698
5,-4.592844,1500,0.2625,0.001142
6,-4.174931,1500,0.255,0.004233
7,-4.105697,1500,0.2475,0.00225
8,-4.206103,1500,0.24,0.001322
9,-2.453105,1500,0.2325,0.001548
10,-4.155238,1500,0.225,0.002647
11,-2.501539,1500,0.2175,0.001793
12,-1.062727,1500,0.21,0.001656
13,-1.189346,1500,0.2025,0.001283
14,-1.409289,1500,0.195,0.001275
15,-1.969257,1500,0.1875,0.001395
16,-0.425337,1500,0.18,0.001679
17,-1.696701,1500,0.1725,0.002048
18,-2.565227,1500,0.165,0.001787
19,-1.077945,1500,0.1575,0.002227
20,-2.389161,1500,0.15,0.000625
21,-1.072906,1500,0.1425,0.002
22,-3.207349,1500,0.135,0.001206
23,0.19984,1500,0.1275,0.001279
24,0.105686,1500,0.12,0.001849
25,-1.218418,1500,0.1125,0.001628
26,-0.092425,1500,0.105,0.001786
27,-0.24582,1500,0.0975,0.001684
28,-1.00656,1500,0.09,0.001661
29,-0.208306,1500,0.0825,0.003426
30,0.518703,1500,0.075,0.001811
31,0.746434,1500,0.0675,0.000697
32,-0.614561,1500,0.06,0.001944
33,0.507792,1500,0.0525,0.001877
34,0.289349,1500,0.05,0.001344
35,0.386696,1500,0.05,0.001819
36,0.269952,1500,0.05,0.001197
37,0.029313,1500,0.05,0.002002
38,0.572294,1500,0.05,0.002278
39,1.134357,1500,0.05,0.001644
40,0.769837,1500,0.05,0.002646
41,-0.167101,1500,0.05,0.001218
42,0.114245,1500,0.05,0.002156
43,0.150854,1500,0.05,0.000935
44,0.487107,1500,0.05,0.001306
45,0.40658,1500,0.05,0.001888
46,0.943864,1500,0.05,0.00171
47,0.606134,1500,0.05,0.00155
48,0.597453,1500,0.05,0.001116
49,0.2654,1500,0.05,0.002067
50,0.168152,1500,0.05,0.002135
51,-0.018416,1500,0.05,0.002136
52,0.930976,1500,0.05,0.001566
53,-0.097362,1500,0.05,0.001302
54,0.513564,1500,0.05,0.001531
55,0.702291,1500,0.05,0.001757
56,-0.572777,1500,0.05,0.001455
57,0.24823,1500,0.05,0.001766
58,0.155944,1500,0.05,0.002463
59,0.615023,1500,0.05,0.00247
