episode,reward,steps,epsilon_end,last_loss
1,-2.961319,1257,0.293715,0.001477
2,-0.688792,1257,0.28743,0.002334
3,-0.252372,1257,0.281145,0.004196
4,-0.961459,1257,0.27486,0.001687
5,-0.911284,1257,0.268575,0.002847
6,-0.555699,1257,0.26229,0.002482
7,-1.686838,1257,0.256005,0.003617
8,-1.77253,1257,0.24972,0.002829
9,-0.823476,1257,0.243435,0.002949
10,-0.625958,1257,0.23715,0.003159
11,-0.609113,1257,0.230865,0.002813
12,-0.965216,1257,0.22458,0.002064
13,0.406299,1257,0.218295,0.002603
14,-0.067523,1257,0.21201,0.002648
15,1.55547,1257,0.205725,0.002778
16,0.582958,1257,0.19944,0.00217
17,0.561567,1257,0.193155,0.002533
18,-0.468681,1257,0.18687,0.002456
19,0.655538,1257,0.180585,0.003629
20,-0.091934,1257,0.1743,0.003009
21,0.508397,1257,0.168015,0.004163
22,0.99998,1257,0.16173,0.002973
23,0.995795,1257,0.155445,0.002219
24,1.522238,1257,0.14916,0.003065
25,1.582859,1257,0.142875,0.002409
26,-1.094235,1257,0.13659,0.002038
27,-1.037098,1257,0.130305,0.002292
28,1.865825,1257,0.12402,0.001874
29,1.851363,1257,0.117735,0.004147
30,1.216166,1257,0.11145,0.003313
31,3.441886,1257,0.105165,0.00431
32,0.996521,1257,0.09888,0.002712
33,3.053766,1257,0.092595,0.004458
34,1.348296,1257,0.08631,0.002976
35,1.903515,1257,0.080025,0.002048
36,2.193865,1257,0.07374,0.002293
37,3.958512,1257,0.067455,0.0029
38,2.039381,1257,0.06117,0.003699
39,2.193709,1257,0.054885,0.001644
40,2.179398,1257,0.05,0.002843
41,3.416585,1257,0.05,0.002846
42,3.457841,1257,0.05,0.003469
43,3.030417,1257,0.05,0.00286
44,2.391083,1257,0.05,0.002675
45,2.386546,1257,0.05,0.003078
46,2.812038,1257,0.05,0.001974
47,3.07497,1257,0.05,0.004601
48,2.814584,1257,0.05,0.003293
49,1.864875,1257,0.05,0.003027
50,2.679905,1257,0.05,0.003436
51,2.925793,1257,0.05,0.003408
52,3.177713,1257,0.05,0.002942
53,3.44019,1257,0.05,0.003134
54,3.502371,1257,0.05,0.004226
55,3.320841,1257,0.05,0.003854
56,2.96741,1257,0.05,0.00268
57,3.524522,1257,0.05,0.002991
