episode,reward,steps,epsilon_end,last_loss
1,-4.524688,1253,0.293735,0.002559
2,0.292529,1253,0.28747,0.00407
3,-2.846126,1253,0.281205,0.002117
4,2.499178,1253,0.27494,0.001566
5,-0.555779,1253,0.268675,0.003549
6,2.352354,1253,0.26241,0.001685
7,-0.119145,1253,0.256145,0.001917
8,1.286128,1253,0.24988,0.003916
9,-0.340566,1253,0.243615,0.003226
10,0.2795,1253,0.23735,0.002141
11,1.4348,1253,0.231085,0.003441
12,3.17645,1253,0.22482,0.001018
13,1.318735,1253,0.218555,0.00202
14,0.753636,1253,0.21229,0.002056
15,0.845796,1253,0.206025,0.003433
16,2.384551,1253,0.19976,0.002082
17,-0.851092,1253,0.193495,0.002129
18,-0.125462,1253,0.18723,0.002467
19,1.075056,1253,0.180965,0.002126
20,0.439751,1253,0.1747,0.004629
21,2.051274,1253,0.168435,0.003984
22,1.275128,1253,0.16217,0.00319
23,-0.042503,1253,0.155905,0.002279
24,0.923873,1253,0.14964,0.003432
25,2.902443,1253,0.143375,0.004023
26,1.872336,1253,0.13711,0.002419
27,2.427255,1253,0.130845,0.002139
28,0.633601,1253,0.12458,0.00176
29,1.816244,1253,0.118315,0.002863
30,2.965569,1253,0.11205,0.002879
31,1.234865,1253,0.105785,0.001785
32,1.685228,1253,0.09952,0.002389
