episode,reward,steps,epsilon_end,last_loss
1,-8.166409,1258,0.29371,0.006718
2,-4.108021,1258,0.28742,0.006089
3,-6.60216,1258,0.28113,0.001495
4,-6.217725,1258,0.27484,0.001788
5,-7.877528,1258,0.26855,0.001537
6,-4.921397,1258,0.26226,0.00224
7,-6.137106,1258,0.25597,0.002167
8,-4.638688,1258,0.24968,0.000863
9,-5.311107,1258,0.24339,0.001634
10,-6.220336,1258,0.2371,0.001221
11,-6.77837,1258,0.23081,0.000861
12,-7.053448,1258,0.22452,0.001054
13,-5.525002,1258,0.21823,0.001486
14,-5.265482,1258,0.21194,0.001912
15,-6.173644,1258,0.20565,0.001125
16,-4.686376,1258,0.19936,0.002421
17,-3.516681,1258,0.19307,0.001307
18,-4.76462,1258,0.18678,0.001301
19,-4.884023,1258,0.18049,0.000791
20,-3.483206,1258,0.1742,0.001035
21,-4.49559,1258,0.16791,0.001001
22,-3.082648,1258,0.16162,0.000776
23,-4.696891,1258,0.15533,0.001271
24,-3.595484,1258,0.14904,0.003337
25,-3.222567,1258,0.14275,0.001455
26,-3.082453,1258,0.13646,0.001824
27,-5.459456,1258,0.13017,0.005116
28,-4.055438,1258,0.12388,0.001154
29,-1.73691,1258,0.11759,0.001221
30,-3.281638,1258,0.1113,0.000766
31,-2.313009,1258,0.10501,0.001144
32,-3.88616,1258,0.09872,0.001288
33,-4.982093,1258,0.09243,0.000716
34,-1.926353,1258,0.08614,0.000737
35,-2.813613,1258,0.07985,0.000877
36,-2.127244,1258,0.07356,0.00152
37,-1.702888,1258,0.06727,0.001057
38,-1.591801,1258,0.06098,0.000788
39,-1.938872,1258,0.05469,0.000931
40,-1.659798,1258,0.05,0.001356
41,-1.467664,1258,0.05,0.001548
42,-0.679537,1258,0.05,0.002012
43,-1.103316,1258,0.05,0.000971
44,-1.526037,1258,0.05,0.002142
45,-0.918321,1258,0.05,0.001337
46,-2.270573,1258,0.05,0.000878
47,-1.510793,1258,0.05,0.001158
48,-1.856357,1258,0.05,0.001316
49,-2.04936,1258,0.05,0.005641
50,-2.809305,1258,0.05,0.000955
51,-0.70909,1258,0.05,0.001204
52,-1.333513,1258,0.05,0.001267
53,-1.450996,1258,0.05,0.000745
54,-1.624638,1258,0.05,0.001277
55,-1.875763,1258,0.05,0.001841
56,-1.57509,1258,0.05,0.005396
57,-2.318257,1258,0.05,0.001708
58,-1.542026,1258,0.05,0.002045
59,-1.611767,1258,0.05,0.001054
60,-0.917565,1258,0.05,0.001418
61,-1.022391,1258,0.05,0.009281
62,-2.036084,1258,0.05,0.001074
