episode,reward,steps,epsilon_end,last_loss
1,-17.595163,1500,0.2925,0.002855
2,-15.490362,1500,0.285,0.002323
3,-13.964538,1500,0.2775,0.001066
4,-13.462989,1500,0.27,0.001715
5,-14.928607,1500,0.2625,0.001273
6,-13.94123,1500,0.255,0.001039
7,-10.132476,1500,0.2475,0.000668
8,-14.922786,1500,0.24,0.002495
9,-11.832222,1500,0.2325,0.001446
10,-13.013008,1500,0.225,0.000964
11,-13.97982,1500,0.2175,0.002036
12,-13.424547,1500,0.21,0.005491
13,-12.748226,1500,0.2025,0.001401
14,-12.721587,1500,0.195,0.000929
15,-10.691943,1500,0.1875,0.001291
16,-12.776224,1500,0.18,0.002008
17,-9.759862,1500,0.1725,0.004742
18,-9.568936,1500,0.165,0.001276
19,-9.951982,1500,0.1575,0.001338
20,-9.464742,1500,0.15,0.000715
21,-8.321394,1500,0.1425,0.000708
22,-7.005686,1500,0.135,0.000548
23,-6.897334,1500,0.1275,0.000422
24,-8.594353,1500,0.12,0.000817
25,-7.754678,1500,0.1125,0.000889
26,-5.802067,1500,0.105,0.001219
27,-5.719601,1500,0.0975,0.001207
28,-6.580293,1500,0.09,0.001674
29,-6.801279,1500,0.0825,0.000984
30,-6.330836,1500,0.075,0.001296
31,-5.466794,1500,0.0675,0.001147
32,-4.909513,1500,0.06,0.000522
33,-4.122759,1500,0.0525,0.000526
34,-4.999368,1500,0.05,0.002302
35,-4.168761,1500,0.05,0.000786
36,-4.366312,1500,0.05,0.000233
37,-3.262194,1500,0.05,0.000727
38,-4.945679,1500,0.05,0.000397
39,-2.216027,1500,0.05,0.001278
40,-4.562471,1500,0.05,0.00482
41,-3.853955,1500,0.05,0.000713
42,-4.635322,1500,0.05,0.001333
43,-4.582429,1500,0.05,0.000515
44,-5.033498,1500,0.05,0.000751
45,-3.332613,1500,0.05,0.000764
46,-4.046288,1500,0.05,0.000613
47,-3.615104,1500,0.05,0.000564
48,-3.434501,1500,0.05,0.000471
49,-4.946244,1500,0.05,0.000394
50,-3.695162,1500,0.05,0.000455
51,-4.700884,1500,0.05,0.000946
52,-3.969949,1500,0.05,0.00087
53,-3.766857,1500,0.05,0.000431
54,-4.118427,1500,0.05,0.005696
55,-3.183324,1500,0.05,0.001059
56,-3.858707,1500,0.05,0.000465
57,-4.083745,1500,0.05,0.001045
58,-3.919083,1500,0.05,0.000805
59,-3.711655,1500,0.05,0.004809
