episode,reward,steps,epsilon_end,last_loss
1,-7.085333,1500,0.2925,0.001465
2,-6.088832,1500,0.285,0.000589
3,-6.369844,1500,0.2775,0.00125
4,-5.976234,1500,0.27,0.001078
5,-5.102705,1500,0.2625,0.002903
6,-4.64722,1500,0.255,0.001659
7,-6.004505,1500,0.2475,0.000903
8,-5.080896,1500,0.24,0.001934
9,-4.548016,1500,0.2325,0.000576
10,-5.962919,1500,0.225,0.000612
11,-3.682258,1500,0.2175,0.001133
12,-5.264841,1500,0.21,0.000282
13,-5.933408,1500,0.2025,0.000433
14,-4.864258,1500,0.195,0.000327
15,-3.101785,1500,0.1875,0.000844
16,-5.258723,1500,0.18,0.000671
17,-4.167167,1500,0.1725,0.000913
18,-3.957776,1500,0.165,0.000554
19,-3.890008,1500,0.1575,0.000351
20,-5.38082,1500,0.15,0.000885
21,-3.892444,1500,0.1425,0.000443
22,-3.53647,1500,0.135,0.000336
23,-4.607422,1500,0.1275,0.001269
24,-2.932312,1500,0.12,0.000434
25,-2.294391,1500,0.1125,0.000401
26,-2.193983,1500,0.105,0.000354
27,-1.903167,1500,0.0975,0.000996
28,-2.020605,1500,0.09,0.000447
29,-2.016509,1500,0.0825,0.001258
30,-1.825888,1500,0.075,0.00065
31,-0.611976,1500,0.0675,0.001176
32,-1.065692,1500,0.06,0.000952
33,-1.687477,1500,0.0525,0.000431
34,-0.755063,1500,0.05,6.8e-05
35,-0.509245,1500,0.05,0.000103
36,-0.982938,1500,0.05,0.0005
37,-2.052193,1500,0.05,0.000628
38,-0.996026,1500,0.05,0.000876
39,-0.269078,1500,0.05,0.000146
40,-0.434705,1500,0.05,0.000145
41,-0.759205,1500,0.05,0.000747
42,-0.18638,1500,0.05,0.000343
43,-0.879332,1500,0.05,0.000509
44,-0.714254,1500,0.05,0.00028
45,-0.386366,1500,0.05,0.000416
46,-0.241471,1500,0.05,0.000834
47,-0.425237,1500,0.05,0.000303
48,-0.875555,1500,0.05,0.00025
49,-1.462166,1500,0.05,0.000585
50,-0.587215,1500,0.05,0.000172
51,-0.469202,1500,0.05,0.000584
52,-0.921447,1500,0.05,0.000121
53,-1.543618,1500,0.05,0.000787
54,-1.064961,1500,0.05,0.000465
55,-1.331634,1500,0.05,0.000577
56,0.046043,1500,0.05,0.000319
57,-0.779701,1500,0.05,0.00118
58,-1.140853,1500,0.05,0.000583
59,-0.26724,1500,0.05,0.000753
60,-0.626428,1500,0.05,0.001476
61,-0.86667,1500,0.05,0.000317
62,-1.435554,1500,0.05,0.00044
63,-1.071609,1500,0.05,0.000581
64,-1.677775,1500,0.05,0.001933
65,-0.596533,1500,0.05,0.000431
66,-1.167292,1500,0.05,0.000298
67,-0.421213,1500,0.05,0.00089
68,0.066522,1500,0.05,0.000515
69,-0.409462,1500,0.05,0.000471
70,-1.137431,1500,0.05,0.000374
71,-0.784093,1500,0.05,5.7e-05
72,-0.089558,1500,0.05,0.000959
73,-1.964226,1500,0.05,0.000491
74,-1.063243,1500,0.05,0.000341
75,0.858788,1500,0.05,0.000355
76,-0.624376,1500,0.05,0.001276
77,-0.907884,1500,0.05,0.001128
78,0.079145,1500,0.05,0.000465
79,-0.70103,1500,0.05,0.000792
80,-0.365046,1500,0.05,0.000626
81,-0.961618,1500,0.05,0.000724
82,-0.658245,1500,0.05,0.000695
83,-0.667593,1500,0.05,0.001081
84,-1.286306,1500,0.05,0.0003
85,-1.442916,1500,0.05,0.00046
86,-0.824188,1500,0.05,0.000508
87,-1.843994,1500,0.05,0.000531
88,-0.812759,1500,0.05,0.000398
89,-0.363535,1500,0.05,0.000167
90,-0.324253,1500,0.05,0.00155
91,-0.816509,1500,0.05,0.000519
92,-0.977649,1500,0.05,0.000253
93,-0.704488,1500,0.05,0.000283
94,-0.710815,1500,0.05,0.000284
95,-0.286912,1500,0.05,0.000302
