episode,reward,steps,epsilon_end,last_loss
1,-17.616139,1500,0.2925,0.000587
2,-16.366679,1500,0.285,0.000591
3,-17.296635,1500,0.2775,0.001252
4,-15.93878,1500,0.27,0.000723
5,-14.915526,1500,0.2625,0.00045
6,-14.357129,1500,0.255,0.001293
7,-15.388541,1500,0.2475,0.000916
8,-11.148792,1500,0.24,0.000377
9,-16.337817,1500,0.2325,0.000191
10,-13.509584,1500,0.225,0.000204
11,-14.092479,1500,0.2175,0.001941
12,-12.626021,1500,0.21,0.000732
13,-13.643189,1500,0.2025,0.001224
14,-12.194228,1500,0.195,0.000837
15,-10.969817,1500,0.1875,0.00087
16,-13.237249,1500,0.18,0.000805
17,-11.170427,1500,0.1725,0.001104
18,-10.114249,1500,0.165,0.000436
19,-10.926888,1500,0.1575,0.000526
20,-10.761286,1500,0.15,0.000739
21,-9.047164,1500,0.1425,0.000489
22,-9.054724,1500,0.135,0.000564
23,-7.585409,1500,0.1275,0.001049
24,-9.115138,1500,0.12,0.000244
25,-6.500561,1500,0.1125,0.000555
26,-6.751268,1500,0.105,0.000223
27,-5.662815,1500,0.0975,0.000225
28,-6.611255,1500,0.09,0.000399
29,-4.106911,1500,0.0825,0.000159
30,-5.446671,1500,0.075,0.000185
31,-4.959379,1500,0.0675,0.000349
32,-3.626192,1500,0.06,0.00029
33,-3.276141,1500,0.0525,0.000182
34,-3.655494,1500,0.05,6.4e-05
35,-2.757053,1500,0.05,0.00018
36,-2.047347,1500,0.05,0.0003
37,-2.541252,1500,0.05,0.000363
38,-2.539959,1500,0.05,0.000134
39,-3.714026,1500,0.05,7e-05
40,-2.860001,1500,0.05,7.1e-05
41,-2.916856,1500,0.05,0.000146
42,-3.495321,1500,0.05,0.000559
43,-3.459907,1500,0.05,5.8e-05
44,-3.082434,1500,0.05,6.5e-05
45,-2.639543,1500,0.05,0.000237
46,-2.374797,1500,0.05,6.3e-05
47,-2.105798,1500,0.05,3.6e-05
48,-2.382667,1500,0.05,0.000292
49,-3.574378,1500,0.05,0.000137
50,-4.251887,1500,0.05,8.4e-05
51,-3.580448,1500,0.05,0.000356
52,-2.901462,1500,0.05,0.000734
53,-3.668932,1500,0.05,7.8e-05
54,-2.537945,1500,0.05,0.000157
55,-3.417414,1500,0.05,0.000127
56,-2.425283,1500,0.05,0.000125
