episode,reward,steps,epsilon_end,last_loss
1,-16.533886,1500,0.2925,0.001476
2,-10.252623,1500,0.285,0.00179
3,-10.627908,1500,0.2775,0.002082
4,-12.259272,1500,0.27,0.001053
5,-8.789828,1500,0.2625,0.00165
6,-13.111043,1500,0.255,0.003203
7,-12.394805,1500,0.2475,0.002537
8,-12.571355,1500,0.24,0.001549
9,-9.437966,1500,0.2325,0.002125
10,-7.758424,1500,0.225,0.001629
11,-8.039072,1500,0.2175,0.002063
12,-9.735682,1500,0.21,0.001422
13,-8.131835,1500,0.2025,0.001622
14,-9.304412,1500,0.195,0.001721
15,-10.297462,1500,0.1875,0.000823
16,-8.42411,1500,0.18,0.002116
17,-8.099242,1500,0.1725,0.001406
18,-9.643884,1500,0.165,0.001208
19,-7.814959,1500,0.1575,0.001707
20,-8.198874,1500,0.15,0.001413
21,-7.363664,1500,0.1425,0.000665
22,-6.426901,1500,0.135,0.002324
23,-7.071134,1500,0.1275,0.001275
24,-5.212827,1500,0.12,0.001008
25,-5.503025,1500,0.1125,0.001412
26,-4.83909,1500,0.105,0.001323
27,-7.030694,1500,0.0975,0.001813
28,-4.221139,1500,0.09,0.001686
29,-3.599328,1500,0.0825,0.001517
30,-3.731671,1500,0.075,0.001601
31,-4.379186,1500,0.0675,0.001393
32,-2.238051,1500,0.06,0.001132
33,-3.14906,1500,0.0525,0.001602
34,-3.626188,1500,0.05,0.001547
35,-2.116054,1500,0.05,0.001327
36,-4.192318,1500,0.05,0.001427
37,-2.781817,1500,0.05,0.000907
38,-3.185969,1500,0.05,0.001214
39,-2.967582,1500,0.05,0.001623
40,-3.023734,1500,0.05,0.001287
41,-2.396068,1500,0.05,0.000994
42,-1.833973,1500,0.05,0.00171
43,-2.61254,1500,0.05,0.002068
44,-2.33981,1500,0.05,0.001603
45,-1.836709,1500,0.05,0.001514
46,-4.047405,1500,0.05,0.001762
47,-2.902488,1500,0.05,0.00141
48,-2.131527,1500,0.05,0.001514
49,-2.893082,1500,0.05,0.001514
50,-2.35662,1500,0.05,0.001813
51,-2.77904,1500,0.05,0.001242
52,-3.028271,1500,0.05,0.000962
53,-2.119962,1500,0.05,0.001143
54,-3.148382,1500,0.05,0.001032
55,-2.871693,1500,0.05,0.001424
56,-4.280768,1500,0.05,0.00149
57,-3.231227,1500,0.05,0.001375
58,-2.4291,1500,0.05,0.001893
59,-3.688389,1500,0.05,0.001556
60,-2.823094,1500,0.05,0.001129
61,-3.277678,1500,0.05,0.001076
62,-2.790891,1500,0.05,0.001936
