episode,reward,steps,epsilon_end,last_loss
1,-4.729035,1500,0.2925,0.002199
2,-4.940128,1500,0.285,0.003642
3,-3.784438,1500,0.2775,0.00211
4,-2.313382,1500,0.27,0.002411
5,-7.166351,1500,0.2625,0.003856
6,-4.987092,1500,0.255,0.005167
7,-1.737724,1500,0.2475,0.003358
8,-4.49745,1500,0.24,0.003145
9,-5.148223,1500,0.2325,0.002508
10,-2.554679,1500,0.225,0.003778
11,-4.736065,1500,0.2175,0.00137
12,-2.132671,1500,0.21,0.002829
13,-4.532236,1500,0.2025,0.004421
14,-1.557861,1500,0.195,0.003604
15,-3.188142,1500,0.1875,0.004159
16,-1.297427,1500,0.18,0.002938
17,-3.334713,1500,0.1725,0.00319
18,-4.461791,1500,0.165,0.004753
19,-0.859295,1500,0.1575,0.00432
20,-2.499105,1500,0.15,0.002744
21,-0.905089,1500,0.1425,0.002024
22,-3.697252,1500,0.135,0.004186
23,-1.262213,1500,0.1275,0.002901
24,-2.237831,1500,0.12,0.002975
25,-0.107204,1500,0.1125,0.002917
26,-0.181106,1500,0.105,0.002106
27,-1.363072,1500,0.0975,0.004272
28,-1.333076,1500,0.09,0.002471
29,0.358351,1500,0.0825,0.003624
30,-0.774855,1500,0.075,0.00363
31,-0.819707,1500,0.0675,0.004965
32,0.376873,1500,0.06,0.003591
33,-0.04959,1500,0.0525,0.002882
34,1.15701,1500,0.05,0.00336
35,0.348482,1500,0.05,0.003436
36,-0.001949,1500,0.05,0.003469
37,-0.575173,1500,0.05,0.003555
38,-0.56946,1500,0.05,0.003588
39,0.59199,1500,0.05,0.001983
40,-0.254822,1500,0.05,0.004671
41,-0.749035,1500,0.05,0.003977
42,1.359906,1500,0.05,0.00398
43,1.412358,1500,0.05,0.002111
44,1.111081,1500,0.05,0.003027
45,0.564576,1500,0.05,0.003409
46,1.945802,1500,0.05,0.002997
47,0.896236,1500,0.05,0.003383
48,0.638247,1500,0.05,0.002415
49,1.215757,1500,0.05,0.005003
50,0.572899,1500,0.05,0.003408
51,-0.491719,1500,0.05,0.004163
52,-0.907548,1500,0.05,0.002486
53,1.126172,1500,0.05,0.005214
54,0.364778,1500,0.05,0.004099
55,0.414024,1500,0.05,0.003181
56,1.412735,1500,0.05,0.003953
57,-2.083351,1500,0.05,0.003496
58,-0.526751,1500,0.05,0.003461
59,1.598013,1500,0.05,0.003007
60,0.657768,1500,0.05,0.004608
61,0.217282,1500,0.05,0.002511
62,0.551482,1500,0.05,0.004019
63,0.535809,1500,0.05,0.002574
64,-0.756652,1500,0.05,0.003611
65,0.959852,1500,0.05,0.002603
66,0.769574,1500,0.05,0.002547
