episode,reward,steps,epsilon_end,last_loss
1,-8.023578,1500,0.2925,0.001169
2,-2.536692,1500,0.285,0.002152
3,-2.987977,1500,0.2775,0.00117
4,-4.825471,1500,0.27,0.001296
5,-4.985689,1500,0.2625,0.000953
6,-4.581753,1500,0.255,0.00056
7,-5.797867,1500,0.2475,0.001226
8,-6.293052,1500,0.24,0.000947
9,-5.369366,1500,0.2325,0.000697
10,-4.451746,1500,0.225,0.001443
11,-3.822224,1500,0.2175,0.001136
12,-5.509962,1500,0.21,0.00102
13,-5.365333,1500,0.2025,0.000639
14,-2.38231,1500,0.195,0.000465
15,-2.847272,1500,0.1875,0.000523
16,-4.530802,1500,0.18,0.000892
17,-3.489245,1500,0.1725,0.000927
18,-5.125108,1500,0.165,0.001146
19,-3.339337,1500,0.1575,0.000675
20,-4.320995,1500,0.15,0.001064
21,-2.384314,1500,0.1425,0.001355
22,-3.265069,1500,0.135,0.001216
23,-2.769068,1500,0.1275,0.000432
24,-2.61497,1500,0.12,0.000852
25,-1.456196,1500,0.1125,0.000964
26,-2.46675,1500,0.105,0.000795
27,-3.605059,1500,0.0975,0.000503
28,-2.011329,1500,0.09,0.000354
29,-0.841951,1500,0.0825,0.000202
30,-1.200054,1500,0.075,0.000976
31,-1.697194,1500,0.0675,0.000649
32,-1.425984,1500,0.06,0.000365
33,-0.274412,1500,0.0525,0.000471
34,-1.233996,1500,0.05,0.00104
35,-0.486842,1500,0.05,0.000528
36,-1.184633,1500,0.05,0.000417
37,-1.736162,1500,0.05,0.000823
38,-0.363007,1500,0.05,0.000706
39,-0.882166,1500,0.05,0.001028
40,-1.040783,1500,0.05,0.000806
41,-0.483146,1500,0.05,0.000349
42,-0.562692,1500,0.05,0.000321
43,-0.864059,1500,0.05,0.000661
44,-0.663045,1500,0.05,0.001007
45,-0.303322,1500,0.05,0.000727
46,-1.373217,1500,0.05,0.001341
47,-1.52483,1500,0.05,0.000632
48,-1.089755,1500,0.05,0.000631
49,-2.011666,1500,0.05,8.7e-05
50,-1.130955,1500,0.05,0.000611
51,-0.516399,1500,0.05,0.001767
52,-0.863921,1500,0.05,0.000385
53,-0.502527,1500,0.05,0.000827
