episode,reward,steps,epsilon_end,last_loss
1,-4.775571,1500,0.2925,0.001476
2,-4.455959,1500,0.285,0.001516
3,-2.108388,1500,0.2775,0.001398
4,-2.43006,1500,0.27,0.001838
5,-2.198327,1500,0.2625,0.002321
6,0.026728,1500,0.255,0.003511
7,0.421641,1500,0.2475,0.00297
8,-2.007628,1500,0.24,0.001721
9,-1.256521,1500,0.2325,0.002418
10,-1.841941,1500,0.225,0.002746
11,-1.00406,1500,0.2175,0.00183
12,-0.26696,1500,0.21,0.002179
13,0.222905,1500,0.2025,0.003456
14,1.720641,1500,0.195,0.001467
15,-1.112607,1500,0.1875,0.001755
16,-1.222338,1500,0.18,0.002944
17,-0.921928,1500,0.1725,0.001505
18,0.625079,1500,0.165,0.002614
19,1.286107,1500,0.1575,0.001821
20,0.917838,1500,0.15,0.001384
21,-1.237017,1500,0.1425,0.002651
22,2.329125,1500,0.135,0.002171
23,0.071992,1500,0.1275,0.001155
24,0.025044,1500,0.12,0.003987
25,1.19579,1500,0.1125,0.003224
26,0.931742,1500,0.105,0.002307
27,1.011133,1500,0.0975,0.001581
28,1.479304,1500,0.09,0.002566
29,3.117702,1500,0.0825,0.001522
30,1.442311,1500,0.075,0.00113
31,0.892258,1500,0.0675,0.001981
32,2.348106,1500,0.06,0.002113
33,2.410133,1500,0.0525,0.00168
34,2.839783,1500,0.05,0.002889
35,1.916396,1500,0.05,0.0012
36,3.003363,1500,0.05,0.001768
37,1.728482,1500,0.05,0.001656
38,2.756809,1500,0.05,0.001963
39,2.853903,1500,0.05,0.001255
40,3.027437,1500,0.05,0.001502
41,1.823084,1500,0.05,0.00251
42,2.039699,1500,0.05,0.002445
43,1.861808,1500,0.05,0.004926
44,2.013836,1500,0.05,0.002414
45,2.101172,1500,0.05,0.001635
46,1.889138,1500,0.05,0.002261
47,1.00861,1500,0.05,0.001262
48,1.628459,1500,0.05,0.002032
49,2.393532,1500,0.05,0.003098
