episode,reward,steps,epsilon_end,last_loss
1,-22.10387,1500,0.2925,0.004152
2,-27.924485,1500,0.285,0.003918
3,-22.692143,1500,0.2775,0.003045
4,-27.04378,1500,0.27,0.003248
5,-17.719303,1500,0.2625,0.00373
6,-16.9976,1500,0.255,0.00319
7,-19.251215,1500,0.2475,0.00454
8,-22.44463,1500,0.24,0.00429
9,-21.303555,1500,0.2325,0.004442
10,-22.1047,1500,0.225,0.003278
11,-16.220106,1500,0.2175,0.002232
12,-19.85065,1500,0.21,0.003343
13,-14.75134,1500,0.2025,0.002817
14,-18.566714,1500,0.195,0.005498
15,-17.021926,1500,0.1875,0.003631
16,-16.652712,1500,0.18,0.003904
17,-15.396039,1500,0.1725,0.004713
18,-12.398885,1500,0.165,0.003033
19,-13.705882,1500,0.1575,0.003208
20,-12.207424,1500,0.15,0.003592
21,-11.315753,1500,0.1425,0.00452
22,-13.330441,1500,0.135,0.004876
23,-11.847699,1500,0.1275,0.002764
24,-10.952188,1500,0.12,0.002148
25,-9.024131,1500,0.1125,0.004616
26,-10.984313,1500,0.105,0.002946
27,-10.036672,1500,0.0975,0.003359
28,-8.059935,1500,0.09,0.004165
29,-7.103774,1500,0.0825,0.004047
30,-5.838092,1500,0.075,0.003243
31,-6.856654,1500,0.0675,0.003477
32,-5.691779,1500,0.06,0.004192
33,-2.974102,1500,0.0525,0.003205
34,-4.42085,1500,0.05,0.003154
35,-4.077852,1500,0.05,0.003719
36,-4.31874,1500,0.05,0.003692
37,-2.621189,1500,0.05,0.003669
38,-4.78991,1500,0.05,0.002548
39,-5.784652,1500,0.05,0.002872
40,-4.475036,1500,0.05,0.003775
41,-3.031123,1500,0.05,0.003481
42,-6.74714,1500,0.05,0.002889
43,-5.633484,1500,0.05,0.003006
44,-5.253592,1500,0.05,0.003967
45,-4.198764,1500,0.05,0.003196
46,-3.183949,1500,0.05,0.002525
47,-4.030895,1500,0.05,0.004779
48,-3.832074,1500,0.05,0.004126
49,-1.676592,1500,0.05,0.00316
50,-3.576198,1500,0.05,0.002925
51,-5.049493,1500,0.05,0.003539
52,-4.118804,1500,0.05,0.003945
53,-3.501076,1500,0.05,0.003465
54,-4.251028,1500,0.05,0.004009
55,-4.969364,1500,0.05,0.004514
56,-3.550122,1500,0.05,0.002799
57,-3.199263,1500,0.05,0.004351
58,-4.903224,1500,0.05,0.003887
59,-5.644356,1500,0.05,0.003291
60,-5.25119,1500,0.05,0.002862
61,-3.873565,1500,0.05,0.003419
62,-5.444474,1500,0.05,0.004313
63,-4.233305,1500,0.05,0.002692
64,-3.605469,1500,0.05,0.004157
65,-3.394459,1500,0.05,0.003407
66,-4.8813,1500,0.05,0.004153
67,-4.314348,1500,0.05,0.004341
68,-3.958826,1500,0.05,0.003199
69,-3.588339,1500,0.05,0.003167
