episode,reward,steps,epsilon_end,last_loss
1,-5.519427,1500,0.2925,0.001244
2,-5.200405,1500,0.285,0.002296
3,-2.593081,1500,0.2775,0.001983
4,-1.865193,1500,0.27,0.001983
5,-4.95551,1500,0.2625,0.001826
6,0.4614,1500,0.255,0.002159
7,-2.050789,1500,0.2475,0.001582
8,-0.519506,1500,0.24,0.002133
9,-0.608034,1500,0.2325,0.003204
10,-2.271571,1500,0.225,0.000553
11,-5.07761,1500,0.2175,0.001746
12,0.08514,1500,0.21,0.000916
13,-0.799758,1500,0.2025,0.001894
14,-0.757429,1500,0.195,0.001964
15,-0.740726,1500,0.1875,0.001916
16,-1.18361,1500,0.18,0.001785
17,-0.970345,1500,0.1725,0.002365
18,-1.545004,1500,0.165,0.00285
19,1.694169,1500,0.1575,0.001214
20,-1.381444,1500,0.15,0.00233
21,1.59825,1500,0.1425,0.002442
22,2.02242,1500,0.135,0.002278
23,0.450317,1500,0.1275,0.00231
24,-0.46807,1500,0.12,0.001707
25,-0.422138,1500,0.1125,0.003008
26,0.99239,1500,0.105,0.00159
27,1.383901,1500,0.0975,0.002307
28,1.839632,1500,0.09,0.002018
29,3.68279,1500,0.0825,0.002249
30,1.792678,1500,0.075,0.001069
31,2.550011,1500,0.0675,0.002867
32,2.817692,1500,0.06,0.00223
33,2.922569,1500,0.0525,0.002167
34,3.370399,1500,0.05,0.001421
35,2.668314,1500,0.05,0.001434
36,2.657603,1500,0.05,0.00165
37,4.224484,1500,0.05,0.001321
38,3.262199,1500,0.05,0.001553
39,4.317884,1500,0.05,0.002014
40,2.320728,1500,0.05,0.002559
41,2.218854,1500,0.05,0.00083
42,1.890585,1500,0.05,0.001068
43,2.797926,1500,0.05,0.000983
44,2.988125,1500,0.05,0.001776
45,4.341508,1500,0.05,0.002642
46,3.338735,1500,0.05,0.001823
47,3.465264,1500,0.05,0.001361
48,3.775683,1500,0.05,0.001582
49,2.082604,1500,0.05,0.001035
50,3.421416,1500,0.05,0.001814
51,3.092124,1500,0.05,0.001857
52,3.353871,1500,0.05,0.00121
53,4.113141,1500,0.05,0.003502
54,2.848163,1500,0.05,0.001003
55,3.669246,1500,0.05,0.00116
56,3.480543,1500,0.05,0.001574
57,2.593034,1500,0.05,0.001365
58,2.600329,1500,0.05,0.001736
59,3.822749,1500,0.05,0.001514
60,3.433706,1500,0.05,0.001246
61,3.048546,1500,0.05,0.002052
62,3.141664,1500,0.05,0.002463
63,2.221316,1500,0.05,0.001322
64,3.020891,1500,0.05,0.001788
65,2.463965,1500,0.05,0.001199
