episode,reward,steps,epsilon_end,last_loss
1,-2.384199,1500,0.2925,0.002755
2,-2.21877,1500,0.285,0.002074
3,0.35563,1500,0.2775,0.002748
4,-1.70253,1500,0.27,0.002819
5,-1.509609,1500,0.2625,0.001119
6,1.703343,1500,0.255,0.002201
7,-0.274767,1500,0.2475,0.003426
8,-1.963398,1500,0.24,0.002553
9,-5.344516,1500,0.2325,0.002522
10,-1.748807,1500,0.225,0.003391
11,-2.919252,1500,0.2175,0.003499
12,-2.116808,1500,0.21,0.002599
13,-2.094875,1500,0.2025,0.002888
14,-0.87721,1500,0.195,0.004728
15,3.016427,1500,0.1875,0.004775
16,2.32038,1500,0.18,0.001902
17,-0.317837,1500,0.1725,0.00328
18,-0.017294,1500,0.165,0.003733
19,-2.183862,1500,0.1575,0.003235
20,3.00884,1500,0.15,0.002595
21,-0.33707,1500,0.1425,0.004049
22,-1.440598,1500,0.135,0.003147
23,1.588672,1500,0.1275,0.003403
24,2.755851,1500,0.12,0.002746
25,1.567553,1500,0.1125,0.002928
26,2.574362,1500,0.105,0.003266
27,1.108758,1500,0.0975,0.003594
28,2.75283,1500,0.09,0.003602
29,1.555484,1500,0.0825,0.004441
30,2.129921,1500,0.075,0.003366
31,1.907682,1500,0.0675,0.003188
32,3.617163,1500,0.06,0.00269
33,2.546121,1500,0.0525,0.002183
34,3.485787,1500,0.05,0.004369
35,3.021983,1500,0.05,0.002599
36,3.41264,1500,0.05,0.004381
37,3.508132,1500,0.05,0.002818
38,3.849672,1500,0.05,0.002585
39,2.566733,1500,0.05,0.002791
40,2.72778,1500,0.05,0.002085
41,4.148312,1500,0.05,0.003364
42,3.550946,1500,0.05,0.006021
43,2.789558,1500,0.05,0.00317
44,2.91773,1500,0.05,0.004273
45,3.101709,1500,0.05,0.002809
46,4.066391,1500,0.05,0.003443
47,4.277006,1500,0.05,0.00309
48,2.902177,1500,0.05,0.00249
49,3.455099,1500,0.05,0.001279
50,3.992186,1500,0.05,0.00221
51,4.057319,1500,0.05,0.003961
52,3.914999,1500,0.05,0.003589
53,2.861278,1500,0.05,0.003446
54,3.613517,1500,0.05,0.005643
55,3.046392,1500,0.05,0.004185
56,3.600209,1500,0.05,0.002277
57,2.544192,1500,0.05,0.00628
58,3.024684,1500,0.05,0.00399
59,2.718694,1500,0.05,0.00616
60,1.983273,1500,0.05,0.003602
61,4.840522,1500,0.05,0.003154
62,3.960927,1500,0.05,0.003083
63,2.63702,1500,0.05,0.003985
64,3.641998,1500,0.05,0.003471
65,4.90212,1500,0.05,0.003642
66,3.413993,1500,0.05,0.003204
67,3.982944,1500,0.05,0.003349
68,4.506824,1500,0.05,0.00286
69,2.72133,1500,0.05,0.003043
70,3.031131,1500,0.05,0.003
71,4.120129,1500,0.05,0.002639
72,1.997405,1500,0.05,0.003024
73,3.643269,1500,0.05,0.003139
74,2.762783,1500,0.05,0.0038
75,1.664971,1500,0.05,0.002203
76,2.399772,1500,0.05,0.003195
77,3.196335,1500,0.05,0.004057
78,2.933029,1500,0.05,0.004612
79,3.719842,1500,0.05,0.00453
80,2.469335,1500,0.05,0.002962
81,2.135024,1500,0.05,0.002755
82,3.215032,1500,0.05,0.002352
83,2.510623,1500,0.05,0.003283
84,2.231619,1500,0.05,0.003217
85,2.011072,1500,0.05,0.002505
