episode,reward,steps,epsilon_end,last_loss
1,-3.124476,1256,0.29372,0.002659
2,-1.717746,1256,0.28744,0.001532
3,-4.362869,1256,0.28116,0.001745
4,-2.143704,1256,0.27488,0.001657
5,-3.099866,1256,0.2686,0.002101
6,-2.231361,1256,0.26232,0.002569
7,-0.875816,1256,0.25604,0.00262
8,-2.502753,1256,0.24976,0.001641
9,-0.756145,1256,0.24348,0.00202
10,-0.695253,1256,0.2372,0.001994
11,-2.222414,1256,0.23092,0.001946
12,-2.269109,1256,0.22464,0.002122
13,-0.574416,1256,0.21836,0.00182
14,-1.400193,1256,0.21208,0.001499
15,-2.852031,1256,0.2058,0.001242
16,-2.856414,1256,0.19952,0.001991
17,-1.904941,1256,0.19324,0.001302
18,-2.836024,1256,0.18696,0.001187
19,-2.697565,1256,0.18068,0.001583
20,-1.601227,1256,0.1744,0.002076
21,-1.93942,1256,0.16812,0.001842
22,-0.615785,1256,0.16184,0.001077
23,-1.258926,1256,0.15556,0.001433
24,-2.21409,1256,0.14928,0.001973
25,-1.084833,1256,0.143,0.002436
26,-1.991882,1256,0.13672,0.001521
27,-2.091258,1256,0.13044,0.001613
28,-1.029792,1256,0.12416,0.003316
29,-0.551333,1256,0.11788,0.002941
30,-0.012887,1256,0.1116,0.001256
31,-0.472774,1256,0.10532,0.001462
32,-0.425693,1256,0.09904,0.002348
33,-0.606305,1256,0.09276,0.00113
34,-0.311094,1256,0.08648,0.001493
35,-0.660924,1256,0.0802,0.001454
36,-1.462404,1256,0.07392,0.000862
37,-1.029513,1256,0.06764,0.002077
38,-0.259552,1256,0.06136,0.002566
39,-1.090309,1256,0.05508,0.001737
40,-0.493858,1256,0.05,0.001294
41,0.155255,1256,0.05,0.002732
42,-0.946284,1256,0.05,0.001082
43,0.32079,1256,0.05,0.002172
44,0.283111,1256,0.05,0.002392
45,-0.234971,1256,0.05,0.001234
46,0.257617,1256,0.05,0.00096
47,0.307308,1256,0.05,0.002919
48,0.234591,1256,0.05,0.001649
49,-0.445136,1256,0.05,0.001574
50,0.255195,1256,0.05,0.001827
51,-0.529593,1256,0.05,0.002401
52,0.124047,1256,0.05,0.001865
53,0.22036,1256,0.05,0.001564
54,0.268835,1256,0.05,0.000897
55,-0.39927,1256,0.05,0.001484
56,0.461099,1256,0.05,0.001763
57,-1.242672,1256,0.05,0.001812
58,0.004735,1256,0.05,0.002135
59,-0.445152,1256,0.05,0.001074
60,-0.042472,1256,0.05,0.000994
61,0.318996,1256,0.05,0.001373
62,-0.547011,1256,0.05,0.002872
63,-1.096446,1256,0.05,0.001848
64,-0.720438,1256,0.05,0.001633
65,0.15199,1256,0.05,0.001773
66,-0.510942,1256,0.05,0.001434
67,-0.821922,1256,0.05,0.001624
68,-0.334038,1256,0.05,0.002898
69,-0.407678,1256,0.05,0.002796
70,-1.260778,1256,0.05,0.002058
71,-1.694926,1256,0.05,0.001849
72,0.532579,1256,0.05,0.001492
73,-0.535321,1256,0.05,0.001481
74,0.597321,1256,0.05,0.00137
75,0.14118,1256,0.05,0.002256
76,0.468772,1256,0.05,0.001944
77,-0.661901,1256,0.05,0.001119
78,0.579131,1256,0.05,0.001362
79,0.407261,1256,0.05,0.001349
80,-0.096079,1256,0.05,0.001585
81,-0.157141,1256,0.05,0.000805
82,1.004975,1256,0.05,0.000833
83,-0.111007,1256,0.05,0.001188
84,-0.390982,1256,0.05,0.002396
85,0.452526,1256,0.05,0.002107
86,-0.188246,1256,0.05,0.001274
87,0.425346,1256,0.05,0.001834
88,0.421715,1256,0.05,0.001627
89,-0.028501,1256,0.05,0.001951
90,1.002287,1256,0.05,0.001104
91,0.027748,1256,0.05,0.001785
92,0.603708,1256,0.05,0.000957
93,-0.257444,1256,0.05,0.001754
94,0.218213,1256,0.05,0.001256
95,-0.449232,1256,0.05,0.001946
96,-0.759987,1256,0.05,0.00271
97,0.5858,1256,0.05,0.002379
98,0.031907,1256,0.05,0.001784
99,0.543533,1256,0.05,0.001389
100,-0.094563,1256,0.05,0.001128
