episode,reward,steps,epsilon_end,last_loss
1,-9.481436,1500,0.2925,0.002006
2,-3.304679,1500,0.285,0.002818
3,-7.433225,1500,0.2775,0.002742
4,-4.935339,1500,0.27,0.002331
5,-7.243374,1500,0.2625,0.002779
6,-5.512836,1500,0.255,0.001429
7,-4.344647,1500,0.2475,0.001316
8,-6.482198,1500,0.24,0.00304
9,-3.67022,1500,0.2325,0.001693
10,-5.919161,1500,0.225,0.001769
11,-4.635226,1500,0.2175,0.001752
12,-4.066668,1500,0.21,0.002323
13,-4.693545,1500,0.2025,0.003067
14,-3.954715,1500,0.195,0.003919
15,-4.692618,1500,0.1875,0.001531
16,-2.211729,1500,0.18,0.002884
17,-3.583604,1500,0.1725,0.001966
18,-2.440164,1500,0.165,0.002347
19,-3.297522,1500,0.1575,0.002115
20,-0.89903,1500,0.15,0.003007
21,-1.585334,1500,0.1425,0.001684
22,-2.336374,1500,0.135,0.001323
23,-0.686284,1500,0.1275,0.001955
24,-2.162445,1500,0.12,0.001759
25,-2.839369,1500,0.1125,0.003072
26,0.869503,1500,0.105,0.002135
27,-1.759001,1500,0.0975,0.001218
28,0.588348,1500,0.09,0.002005
29,-0.249859,1500,0.0825,0.00438
30,0.572548,1500,0.075,0.001973
31,1.474814,1500,0.0675,0.00165
32,1.751302,1500,0.06,0.002032
33,2.540561,1500,0.0525,0.001957
34,1.293782,1500,0.05,0.00203
35,2.998827,1500,0.05,0.001872
36,2.317382,1500,0.05,0.001854
37,1.764197,1500,0.05,0.003086
38,3.033903,1500,0.05,0.001216
39,3.075587,1500,0.05,0.001245
40,2.113088,1500,0.05,0.002777
41,2.640292,1500,0.05,0.001987
42,1.630899,1500,0.05,0.002673
43,2.444763,1500,0.05,0.002659
44,2.14756,1500,0.05,0.000809
45,1.129683,1500,0.05,0.002049
46,2.692554,1500,0.05,0.002167
47,2.879557,1500,0.05,0.001296
48,2.861311,1500,0.05,0.003395
49,2.081398,1500,0.05,0.001932
50,2.876681,1500,0.05,0.001137
51,2.645942,1500,0.05,0.004103
52,1.24529,1500,0.05,0.002524
53,1.405405,1500,0.05,0.002543
54,2.226503,1500,0.05,0.000925
55,2.874619,1500,0.05,0.002249
56,3.23025,1500,0.05,0.001476
57,2.136151,1500,0.05,0.00156
58,1.680148,1500,0.05,0.002434
59,1.038232,1500,0.05,0.003458
60,0.910523,1500,0.05,0.002152
61,1.435202,1500,0.05,0.001426
62,1.911059,1500,0.05,0.00256
63,2.791921,1500,0.05,0.00204
64,2.194411,1500,0.05,0.002184
65,1.201209,1500,0.05,0.00265
66,0.750937,1500,0.05,0.002168
67,2.392528,1500,0.05,0.001874
68,2.354405,1500,0.05,0.002494
69,2.141281,1500,0.05,0.00143
70,2.78708,1500,0.05,0.001475
71,2.600794,1500,0.05,0.001174
72,2.920447,1500,0.05,0.002342
73,2.157551,1500,0.05,0.002586
74,1.456804,1500,0.05,0.002063
75,3.83328,1500,0.05,0.00293
76,2.731391,1500,0.05,0.002719
77,3.069554,1500,0.05,0.002559
78,2.631475,1500,0.05,0.001785
79,1.797729,1500,0.05,0.002384
80,0.59383,1500,0.05,0.001838
81,2.599045,1500,0.05,0.001426
82,2.292342,1500,0.05,0.001234
83,2.048299,1500,0.05,0.001202
84,2.505,1500,0.05,0.002354
85,2.409488,1500,0.05,0.001598
86,1.967524,1500,0.05,0.002042
87,1.65195,1500,0.05,0.002139
88,2.54847,1500,0.05,0.00183
89,2.949502,1500,0.05,0.001732
90,1.833943,1500,0.05,0.002271
91,2.926835,1500,0.05,0.00241
92,0.397737,1500,0.05,0.002545
93,2.397372,1500,0.05,0.002893
94,3.093538,1500,0.05,0.003214
95,1.530836,1500,0.05,0.001912
