episode,reward,steps,epsilon_end,last_loss
1,-10.050899,1500,0.2925,0.001419
2,-4.723715,1500,0.285,0.001508
3,-3.957337,1500,0.2775,0.001392
4,-5.183947,1500,0.27,0.000621
5,-2.364181,1500,0.2625,0.001655
6,-5.3257,1500,0.255,0.000783
7,-3.860877,1500,0.2475,0.001617
8,-3.231491,1500,0.24,0.000634
9,-4.144639,1500,0.2325,0.000664
10,-4.364817,1500,0.225,0.000683
11,-2.854637,1500,0.2175,0.000545
12,-2.462455,1500,0.21,0.000535
13,-4.195685,1500,0.2025,0.001269
14,-3.499775,1500,0.195,0.000511
15,-3.155985,1500,0.1875,0.000107
16,-4.797814,1500,0.18,0.000897
17,-1.880457,1500,0.1725,0.000888
18,-1.990732,1500,0.165,0.001688
19,-2.756753,1500,0.1575,0.001221
20,-1.885615,1500,0.15,0.000611
21,-2.878354,1500,0.1425,9.9e-05
22,-3.060965,1500,0.135,0.000251
23,-2.148283,1500,0.1275,0.000751
24,-1.872353,1500,0.12,0.000104
25,-2.445915,1500,0.1125,0.000548
26,-2.186123,1500,0.105,0.000887
27,-1.761225,1500,0.0975,0.000234
28,-1.65215,1500,0.09,0.000284
29,-1.783904,1500,0.0825,0.000823
30,-0.253741,1500,0.075,8.6e-05
31,-1.359554,1500,0.0675,0.00025
32,-0.748126,1500,0.06,0.000245
33,-0.242824,1500,0.0525,0.000342
34,-0.302339,1500,0.05,1.5e-05
35,-1.092546,1500,0.05,0.000459
36,-0.601723,1500,0.05,9e-05
37,-0.72927,1500,0.05,0.000471
38,-0.615181,1500,0.05,0.000304
39,-0.908213,1500,0.05,0.000278
40,-0.715126,1500,0.05,5.6e-05
41,-0.524695,1500,0.05,0.000864
42,-1.636546,1500,0.05,0.000275
43,-0.80113,1500,0.05,0.000703
44,-0.882838,1500,0.05,8.2e-05
45,-0.950169,1500,0.05,0.000265
46,-1.11073,1500,0.05,0.000134
47,-1.125797,1500,0.05,7.8e-05
48,-0.869954,1500,0.05,0.00022
49,-1.188923,1500,0.05,0.000436
50,-0.717385,1500,0.05,0.000243
51,-0.872629,1500,0.05,0.000311
52,-0.707136,1500,0.05,0.000286
53,-0.447212,1500,0.05,0.000417
