episode,reward,steps,epsilon_end,last_loss
1,-17.734494,1258,0.29371,0.001762
2,-17.676908,1258,0.28742,0.002243
3,-14.606497,1258,0.28113,0.001756
4,-16.217473,1258,0.27484,0.001288
5,-11.775246,1258,0.26855,0.002701
6,-14.837958,1258,0.26226,0.00609
7,-15.302689,1258,0.25597,0.002053
8,-13.092332,1258,0.24968,0.002467
9,-13.29139,1258,0.24339,0.001512
10,-11.742547,1258,0.2371,0.002227
11,-15.290951,1258,0.23081,0.002178
12,-11.634305,1258,0.22452,0.002435
13,-10.451532,1258,0.21823,0.002438
14,-11.869859,1258,0.21194,0.001272
15,-11.915756,1258,0.20565,0.001026
16,-10.991733,1258,0.19936,0.001551
17,-11.1685,1258,0.19307,0.001194
18,-12.263947,1258,0.18678,0.001128
